Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
sC,m_arm_l,4367,500,179.82421875,187,-29.794921875,-0.966796875,-187,29.970703125
sC,m_arm_r,4367,500,180.0,167,0.0,180.0,-167,0.0
sC,m_leg_l,4367,500,182.999267578125,167,0.0,182.999267578125,-167,0.0
sC,m_leg_r,4367,500,182.999267578125,167,0.0,182.999267578125,-167,0.0
sC,m_leg_r,4867,1567,182.999267578125,522,0.0,182.999267578125,-522,0.0
sC,m_leg_l,4867,1567,182.999267578125,522,0.0,182.999267578125,-522,0.0
sC,m_arm_l,4867,1567,-0.966796875,522,0.0,-0.966796875,-522,0.0
sC,m_arm_r,4867,1567,180.0,522,0.0,180.0,-522,0.0
sC,m_leg_l,6467,433,182.999267578125,144,0.0,182.999267578125,-144,0.0
sC,m_arm_r,6467,433,180.0,163,-28.828125,3.955078125,-153,47.373046875
sC,m_leg_r,6467,433,182.999267578125,144,0.0,182.999267578125,-144,0.0
sC,m_arm_l,6467,433,-0.966796875,144,0.0,-0.966796875,-144,0.0
sC,m_leg_r,6933,7900,182.999267578125,2633,0.0,182.999267578125,-2633,0.0
sC,m_leg_l,6933,7900,182.999267578125,2633,0.0,182.999267578125,-2633,0.0
sC,m_arm_r,6933,7900,0.0,2633,0.0,0.0,-2633,0.0
sC,m_arm_l,6933,7900,-0.966796875,2633,0.0,-0.966796875,-2633,0.0
sC,m_leg_l,14916,2266,182.999267578125,756,0.0,182.999267578125,-756,0.0
sC,m_leg_r,14916,2266,182.999267578125,756,0.0,182.999267578125,-756,0.0
sC,m_arm_l,14916,2266,-0.52734375,758,17.2265625,137.8125,-759,-18.720703125
sC,m_arm_r,14916,2266,0.3515625,758,17.05078125,137.8125,-759,-18.6328125
sC,m_arm_l,17200,33,138.076171875,22,0.3515625,138.515625,-22,-0.263671875
sC,m_arm_r,17200,33,138.076171875,22,0.3515625,138.515625,-22,-0.263671875
sC,m_leg_l,17200,33,182.999267578125,11,0.0,182.999267578125,-11,0.0
sC,m_leg_r,17200,33,182.999267578125,11,0.0,182.999267578125,-11,0.0
