Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,walk_normal,Controller name:,acrobot_travel
Start positions,ArmL ArmR legL legR,163.212890625,201.62109375,203.98681640625,167.98828125,0.0,0.0,0.0,0.0
sC,m_leg_l,0,800,203.98681640625,200,0.0,167.98828125,-200,0.0
sC,m_leg_r,0,800,167.98828125,200,0.0,203.98681640625,-200,0.0
sC,m_arm_l,0,800,163.212890625,200,0.0,201.62109375,-200,0.0
sC,m_arm_r,0,800,201.62109375,200,0.0,163.212890625,-200,0.0
sC,m_leg_l,800,800,167.98828125,200,0.0,203.98681640625,-200,0.0
sC,m_leg_r,800,800,203.98681640625,200,0.0,167.98828125,-200,0.0
sC,m_arm_l,800,800,201.62109375,200,0.0,163.212890625,-200,0.0
sC,m_arm_r,800,800,163.212890625,200,0.0,201.62109375,-200,0.0
