
Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
sC,m_arm_l,5683,383,4134,130,-39,3780,-127,214
sC,m_arm_r,5683,383,4125,130,-39,3772,-127,213

sC,m_arm_l,6116,550,3676,189,-473,1963,-194,337
sC,m_arm_r,6116,550,3668,189,-472,1959,-194,336

sC,m_arm_r,6716,66,1900,22,-18,1859,-22,10
sC,m_arm_l,6716,66,1904,22,-18,1863,-22,10

sC,m_arm_l,6833,267,1850,89,-4,1894,-89,-31
sC,m_arm_r,6833,267,1846,89,-4,1889,-89,-31

sC,m_arm_l,7149,50,1914,17,7,1937,-17,-8
sC,m_arm_r,7149,50,1910,17,7,1933,-17,-8

sC,m_arm_l,7249,233,1961,78,37,2047,-78,-15
sC,m_arm_r,7249,233,1957,78,37,2042,-78,-15

--- driver code

sC,m_arm_l,5683,383,4134,130,-39,3780,-127,214
sC,m_arm_r,5683,383,4125,130,-39,3772,-127,213

sC,m_arm_l,6116,550,3676,189,-473,1963,-194,337
sC,m_arm_r,6116,550,3668,189,-472,1959,-194,336

sC,m_arm_r,6716,66,1900,22,-18,1859,-22,10
sC,m_arm_l,6716,66,1904,22,-18,1863,-22,10
sC,m_arm_l,6833,267,1850,89,-4,1894,-89,-31
sC,m_arm_r,6833,267,1846,89,-4,1889,-89,-31
sC,m_arm_l,7149,50,1914,17,7,1937,-17,-8
sC,m_arm_r,7149,50,1910,17,7,1933,-17,-8
sC,m_arm_l,7249,233,1961,78,37,2047,-78,-15
sC,m_arm_r,7249,233,1957,78,37,2042,-78,-15
sC,m_leg_l,7500,400,4088,133,0,4088,-133,0
sC,m_leg_r,7500,400,4088,133,0,4088,-133,0
sC,m_arm_l,7500,133,2048,44,0,2048,-44,0
sC,m_arm_r,7500,133,2044,44,0,2044,-44,0
sC,m_arm_l,7683,216,2048,72,0,2048,-72,0
sC,m_arm_r,7683,216,2044,72,0,2044,-72,0
