Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,FGT_lets_dance,Controller name:,acrobot_act,Duration:,142333,Created at,08/07/2024 16:46:40,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,6200,180.0,1550,0.0,180.0,-1550,0.0
sC,m_arm_r,0,6200,180.0,1550,0.0,180.0,-1550,0.0
sC,m_leg_l,0,6267,185.01708984375,1567,0.0,185.01708984375,-1567,0.0
sC,m_leg_r,0,6267,185.01708984375,1567,0.0,185.01708984375,-1567,0.0
sC,m_arm_l,6200,1733,180.0,433,0.0,7.20703125,-433,0.0
sC,m_arm_r,6200,1733,180.0,433,0.0,180.0,-433,0.0
sC,m_leg_l,6267,866,185.01708984375,217,0.0,186.9580078125,-217,0.0
sC,m_leg_r,6267,866,185.01708984375,217,0.0,186.9580078125,-217,0.0
sC,m_leg_r,7133,1234,186.9580078125,308,0.0,186.2255859375,-308,0.0
sC,m_leg_l,7133,1234,186.9580078125,308,0.0,186.2255859375,-308,0.0
sC,m_arm_l,7933,434,7.20703125,108,0.0,7.20703125,-108,0.0
sC,m_arm_r,7933,434,180.0,108,0.0,180.0,-108,0.0
sC,m_leg_l,8367,1033,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_arm_r,8367,1700,180.0,425,0.0,7.20703125,-425,0.0
sC,m_arm_l,8367,1700,7.20703125,425,0.0,7.20703125,-425,0.0
sC,m_leg_r,8367,1033,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_leg_l,9400,5000,185.01708984375,1250,0.0,185.01708984375,-1250,0.0
sC,m_leg_r,9400,5000,185.01708984375,1250,0.0,185.01708984375,-1250,0.0
sC,m_arm_r,10067,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_l,10067,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_r,10367,466,7.20703125,117,0.0,29.53125,-117,0.0
sC,m_arm_l,10367,466,7.20703125,117,0.0,-15.1171875,-117,0.0
sC,m_arm_r,10833,2167,29.53125,542,0.0,29.53125,-542,0.0
sC,m_arm_l,10833,1134,-15.1171875,283,0.0,-15.1171875,-283,0.0
sC,m_arm_l,11967,833,-15.1171875,208,0.0,121.025390625,-208,0.0
sC,m_arm_l,12800,3767,121.025390625,942,0.0,117.0703125,-942,0.263671875
sC,m_arm_r,13000,867,29.53125,217,0.0,121.025390625,-217,0.0
sC,m_arm_r,13867,2700,121.025390625,675,0.0,117.0703125,-675,0.263671875
sC,m_leg_l,14400,567,185.01708984375,142,0.0,193.916015625,-142,0.0
sC,m_leg_r,14400,567,185.01708984375,142,0.0,174.6533203125,-142,0.0
sC,m_leg_l,14967,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,14967,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,15500,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_r,15500,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_l,16033,534,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,16033,534,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,16567,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_arm_r,16567,533,117.0703125,133,-0.087890625,116.982421875,-133,0.0
sC,m_arm_l,16567,533,117.0703125,133,0.0,116.982421875,-133,0.0
sC,m_leg_r,16567,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_l,17100,600,193.916015625,150,0.0,174.6533203125,-150,0.0
sC,m_arm_l,17100,267,116.982421875,67,0.0,116.982421875,-67,0.0
sC,m_arm_r,17100,467,116.982421875,117,0.0,116.982421875,-117,0.0
sC,m_leg_r,17100,600,174.6533203125,150,0.0,193.916015625,-150,0.0
sC,m_arm_l,17367,1066,116.982421875,267,0.0,0.0,-267,0.0
sC,m_arm_r,17567,666,116.982421875,167,0.0,143.4375,-167,-2.548828125
sC,m_leg_l,17700,600,174.6533203125,150,0.0,202.30224609375,-150,0.0
sC,m_leg_r,17700,600,193.916015625,150,0.0,180.0,-150,0.0
sC,m_arm_r,18233,600,143.4375,150,2.28515625,143.4375,-150,-2.28515625
sC,m_leg_l,18300,1033,202.30224609375,258,0.0,180.0,-258,0.0
sC,m_leg_r,18300,1033,180.0,258,0.0,180.0,-258,0.0
sC,m_arm_l,18433,1400,0.0,350,0.0,0.0,-350,0.0
sC,m_arm_r,18833,400,143.4375,100,1.494140625,181.142578125,-100,1.93359375
sC,m_arm_r,19233,600,181.142578125,150,-2.98828125,163.125,-150,5.625
sC,m_leg_r,19333,500,180.0,125,0.0,200.03173828125,-125,0.0
sC,m_leg_l,19333,500,180.0,125,0.0,200.03173828125,-125,0.0
sC,m_arm_l,19833,1100,0.0,275,0.0,-57.48046875,-275,0.0
sC,m_arm_r,19833,1100,163.125,275,-10.283203125,111.97265625,-275,0.0
sC,m_leg_l,19833,1100,200.03173828125,134,0.0,244.19677734375,-275,0.0
sC,m_leg_r,19833,1100,200.03173828125,134,0.0,243.24462890625,-275,0.0
sC,m_arm_r,20933,200,111.97265625,50,0.0,111.97265625,-50,0.0
sC,m_arm_l,20933,200,-57.48046875,50,0.0,-57.48046875,-50,0.0
sC,m_leg_l,20933,200,244.19677734375,50,0.0,244.19677734375,-50,0.0
sC,m_leg_r,20933,200,243.24462890625,50,0.0,243.24462890625,-50,0.0
sC,m_leg_l,21133,834,244.19677734375,208,0.0,244.19677734375,-208,0.0
sC,m_arm_l,21133,267,-57.48046875,67,0.0,-57.48046875,-67,0.0
sC,m_leg_r,21133,834,243.24462890625,208,0.0,243.24462890625,-208,0.0
sC,m_arm_r,21133,834,111.97265625,208,0.0,111.97265625,-208,0.0
sC,m_arm_l,21400,2400,-57.48046875,600,0.087890625,76.640625,-600,-19.072265625
sC,m_arm_r,21967,1100,111.97265625,275,0.0,180.0,-275,0.0
sC,m_leg_r,21967,1100,243.24462890625,275,0.0,185.126953125,-275,0.0
sC,m_leg_l,21967,1100,244.19677734375,275,0.0,185.126953125,-275,0.0
