Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,SAM_handstand_rotate,Controller name:,acrobot_act,Duration:,19900,Created at,28/01/2026 14:30:55,,
Start positions,ArmL ArmR legL legR,-1.0546875,-1.0546875,178.7548828125,180.0,0.0,0.0,0.0,0.0
sC,m_leg_r,0,5933,180.0,1483,0.29296875,180.0,-1483,-0.29296875
sC,m_leg_l,0,5933,178.7548828125,1483,-0.18310546875,178.7548828125,-1483,0.18310546875
sC,m_arm_r,0,5933,-1.0546875,1483,0.0,-1.0546875,-1483,0.0
sC,m_arm_l,0,5933,-1.0546875,1483,0.0,-1.0546875,-1483,0.0
sC,m_leg_r,5933,4167,180.0,1041,0.2197265625,91.3037109375,-1041,-0.2197265625
sC,m_leg_l,5933,4167,178.7548828125,1041,-0.146484375,269.90478515625,-1041,0.146484375
sC,m_arm_r,5933,4167,-1.0546875,1041,0.0,-1.0546875,-1041,0.0
sC,m_arm_l,5933,4167,-1.0546875,1041,0.0,-1.0546875,-1041,0.0
sC,m_arm_r,10100,1367,-1.0546875,341,0.0,0.0,-341,0.0
sC,m_arm_l,10100,1367,-1.0546875,341,0.0,0.0,-341,0.0
sC,m_leg_l,10100,6833,269.90478515625,1708,-0.2197265625,269.90478515625,-1708,0.2197265625
sC,m_leg_r,10100,6833,91.3037109375,1708,0.3662109375,91.3037109375,-1708,-0.32958984375
sC,m_arm_r,11467,4166,0.0,1041,0.0,360.0,-1500,0.0
sC,m_arm_l,11467,4166,0.0,1041,0.0,360.0,-1500,0.0
sC,m_arm_l,15633,1300,360.0,1500,0.0,360.0,-1500,0.0
sC,m_arm_r,15633,1300,360.0,1099,0.0,360.0,-1500,0.0
sC,m_leg_l,16933,2967,269.90478515625,741,-0.10986328125,178.7548828125,-741,0.10986328125
sC,m_arm_l,16933,2967,360.0,1500,0.0,360.0,-1500,0.0
sC,m_leg_r,16933,2967,91.3037109375,741,0.146484375,180.0,-741,-0.146484375
sC,m_arm_r,16933,2967,360.0,1099,0.0,360.0,-1500,0.0
