Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,SAM_salto_p1_walk_chair,Controller name:,acrobot_act,Duration:,38633,Created at,13/03/2026 13:35:50,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,1600,180.0,400,0.0,180.0,-400,0.0
sC,m_leg_l,0,1600,185.01708984375,400,0.0,185.01708984375,-400,0.0
sC,m_arm_l,0,1600,180.0,400,0.0,180.0,-400,0.0
sC,m_leg_r,0,1600,185.01708984375,400,0.0,185.01708984375,-400,0.0
sC,m_arm_r,1600,800,180.0,200,0.0,197.40234375,-200,0.0
sC,m_leg_r,1600,800,185.01708984375,200,0.0,174.03076171875,-200,0.0
sC,m_arm_l,1600,800,180.0,200,0.0,167.51953125,-200,0.0
sC,m_leg_l,1600,800,185.01708984375,200,0.0,198.49365234375,-200,0.0
sC,m_arm_l,2400,1200,167.51953125,300,0.0,197.40234375,-300,0.0
sC,m_leg_r,2400,1200,174.03076171875,300,0.0,198.49365234375,-300,0.0
sC,m_leg_l,2400,1200,198.49365234375,300,0.0,174.03076171875,-300,0.0
sC,m_arm_r,2400,1200,197.40234375,300,0.0,167.51953125,-300,0.0
sC,m_leg_r,3600,1100,198.49365234375,275,0.0,174.03076171875,-275,0.0
sC,m_arm_l,3600,1100,197.40234375,275,0.0,167.51953125,-275,0.0
sC,m_leg_l,3600,1100,174.03076171875,275,0.0,198.49365234375,-275,0.0
sC,m_arm_r,3600,1100,167.51953125,275,0.0,197.40234375,-275,0.0
sC,m_arm_r,4700,1233,197.40234375,308,0.0,197.40234375,-308,0.0
sC,m_arm_l,4700,2233,167.51953125,558,0.0,167.51953125,-558,0.0
sC,m_leg_l,4700,1100,198.49365234375,275,0.0,185.01708984375,-275,0.0
sC,m_leg_r,4700,1100,174.03076171875,275,0.0,185.01708984375,-275,0.0
sC,m_leg_l,5800,2167,185.01708984375,650,0.0,185.01708984375,-541,0.0
sC,m_leg_r,5800,2167,185.01708984375,650,0.0,185.01708984375,-541,0.0
sC,m_arm_r,5933,734,197.40234375,183,0.0,475.13671875,-183,0.17578125
sC,m_arm_r,6667,266,475.13671875,66,0.0,475.13671875,-66,0.0
sC,m_arm_l,6933,934,167.51953125,341,0.0,119.53125,-233,-0.87890625
sC,m_arm_r,6933,34,475.13671875,67,-1.7578125,115.13671875,-167,-0.3515625
sC,m_arm_r,6967,900,115.13671875,166,-1.7578125,119.53125,-225,-0.703125
sC,m_arm_r,7867,3033,119.53125,758,2.4609375,119.1796875,-758,0.0
sC,m_arm_l,7867,2800,119.53125,700,2.4609375,119.53125,-700,0.0
sC,m_leg_r,7967,533,185.01708984375,133,0.0,195.85693359375,-133,0.0
sC,m_leg_l,7967,533,185.01708984375,133,0.0,176.22802734375,-133,0.0
sC,m_leg_r,8500,533,195.85693359375,133,0.0,176.22802734375,-133,0.0
sC,m_leg_l,8500,533,176.22802734375,133,0.0,195.85693359375,-133,0.0
sC,m_leg_l,9033,534,195.85693359375,133,0.0,176.22802734375,-133,0.0
sC,m_leg_r,9033,534,176.22802734375,133,0.0,195.85693359375,-133,0.0
