Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,SAM_salto_p2_splithang_cradle,Controller name:,acrobot_act,Duration:,24267,Created at,09/01/2026 12:50:05,,
Start positions,ArmL ArmR legL legR,55.37109375,55.37109375,65.009765625,240.2783203125,0.0,0.0,0.0,0.0
sC,m_arm_l,0,600,55.37109375,150,0.0,108.984375,-150,-0.3515625
sC,m_arm_r,0,600,55.37109375,150,0.0,108.984375,-150,-0.3515625
sC,m_leg_l,0,2000,65.009765625,500,0.0,180.3662109375,-500,0.0
sC,m_leg_r,0,2000,240.2783203125,500,0.0,180.98876953125,-500,0.0
sC,m_arm_l,600,2267,108.984375,566,1.23046875,60.99609375,-566,0.0
sC,m_arm_r,600,2267,108.984375,566,1.23046875,102.3046875,-566,0.0
sC,m_leg_l,2000,867,180.3662109375,216,0.0,195.4541015625,-216,0.0
sC,m_leg_r,2000,1833,180.98876953125,458,0.0,31.025390625,-458,0.0
sC,m_leg_l,2867,1700,195.4541015625,425,0.0,202.00927734375,-425,0.0
sC,m_arm_r,2867,633,102.3046875,158,0.0,95.9765625,-158,0.0
sC,m_arm_l,2867,1133,60.99609375,283,0.0,60.99609375,-283,0.0
sC,m_arm_r,3500,1067,95.9765625,266,0.0,95.9765625,-266,0.0
sC,m_leg_r,3833,734,31.025390625,183,0.0,31.025390625,-183,0.0
sC,m_arm_l,4000,1100,60.99609375,275,0.0,-87.71484375,-275,0.0
sC,m_leg_r,4567,5800,31.025390625,1450,0.0,31.025390625,-1450,0.0
sC,m_arm_r,4567,1333,95.9765625,333,0.0,182.8125,-333,0.0
sC,m_leg_l,4567,1333,202.00927734375,333,0.0,218.818359375,-333,0.0
sC,m_arm_l,5100,600,-87.71484375,150,0.0,-87.71484375,-150,0.0
sC,m_arm_l,5700,1467,-87.71484375,366,0.0,49.5703125,-366,0.0
sC,m_leg_l,5900,2433,218.818359375,608,0.0,218.818359375,-608,0.0
sC,m_arm_r,5900,4467,182.8125,1116,0.0,182.8125,-1116,0.0
sC,m_arm_l,7167,1166,49.5703125,291,0.0,49.5703125,-291,0.0
sC,m_arm_l,8333,1500,49.5703125,375,0.0,49.5703125,-375,0.0
sC,m_leg_l,8333,600,218.818359375,150,0.0,201.97265625,-150,0.0
sC,m_leg_l,8933,1434,201.97265625,358,0.0,201.97265625,-358,0.0
