Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,acro2_backflip,Controller name:,acrobot_acro2,Duration:,7500,,,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,2000,180.0,500,0.0,155.654296875,-500,0.0
sC,m_leg_l,0,4800,185.01708984375,1200,0.0,185.01708984375,-1200,0.0
sC,m_leg_r,0,4800,185.01708984375,1200,0.0,185.01708984375,-1200,0.0
sC,m_arm_l,0,2000,180.0,500,0.0,155.654296875,-500,0.0
sC,m_arm_l,2000,2000,155.654296875,500,0.0,155.654296875,-500,0.0
sC,m_arm_r,2000,2000,155.654296875,500,0.0,155.654296875,-500,0.0
sC,m_arm_l,4000,800,155.654296875,200,0.0,143.4375,-200,0.0
sC,m_arm_r,4000,800,155.654296875,200,0.0,143.4375,-200,0.0
sC,m_leg_r,4800,800,185.01708984375,200,0.0,170.29541015625,-200,0.0
sC,m_arm_r,4800,800,143.4375,200,0.0,194.765625,-200,0.0
sC,m_leg_l,4800,800,185.01708984375,200,0.0,170.29541015625,-200,0.0
sC,m_arm_l,4800,800,143.4375,200,0.0,194.765625,-200,0.0
sC,m_arm_l,5600,333,194.765625,83,0.0,11.25,-83,0.0
sC,m_leg_l,5600,333,170.29541015625,83,0.0,198.0908203125,-83,0.0
sC,m_leg_r,5600,333,170.29541015625,83,0.0,198.0908203125,-83,0.0
sC,m_arm_r,5600,333,194.765625,83,0.0,11.25,-83,0.0
sC,m_leg_r,5933,267,198.0908203125,67,0.0,81.123046875,-67,0.0
sC,m_leg_l,5933,267,198.0908203125,67,0.0,81.123046875,-67,0.0
sC,m_arm_r,5933,534,11.25,133,0.0,170.68359375,-133,0.0
sC,m_arm_l,5933,534,11.25,133,0.0,170.68359375,-133,0.0
sC,m_leg_r,6200,267,81.123046875,67,0.0,81.123046875,-67,0.0
sC,m_leg_l,6200,267,81.123046875,67,0.0,81.123046875,-67,0.0
sC,m_leg_l,6467,266,81.123046875,67,0.0,169.9658203125,-110,-16.88232421875
sC,m_arm_l,6467,433,170.68359375,108,0.0,31.640625,-108,0.0
sC,m_arm_r,6467,433,170.68359375,108,0.0,31.640625,-108,0.0
sC,m_leg_r,6467,266,81.123046875,67,0.0,169.9658203125,-110,-16.88232421875
sC,m_leg_r,6733,167,169.9658203125,37,5.67626953125,180.8056640625,-42,0.0
sC,m_leg_l,6733,167,169.9658203125,37,5.67626953125,180.8056640625,-42,0.0
sC,m_arm_l,6900,600,31.640625,150,0.0,180.0,-150,0.0
sC,m_leg_l,6900,600,180.8056640625,150,0.0,185.01708984375,-150,0.0
sC,m_arm_r,6900,600,31.640625,150,0.0,180.0,-150,0.0
sC,m_leg_r,6900,600,180.8056640625,150,0.0,185.01708984375,-150,0.0
