Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,acro2_backflip_pause_v2,Controller name:,acrobot_acro2,Duration:,17033,,,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,6000,180.0,1500,0.0,180.0,-1500,0.0
sC,m_leg_r,0,6000,185.01708984375,1500,0.0,185.01708984375,-1500,0.0
sC,m_leg_l,0,6000,185.01708984375,1500,0.0,185.01708984375,-1500,0.0
sC,m_arm_l,0,6000,180.0,1500,0.0,180.0,-1500,0.0
sC,m_leg_l,6000,4800,185.01708984375,1200,0.0,185.01708984375,-1200,0.0
sC,m_arm_r,6000,2000,180.0,500,0.0,155.654296875,-500,0.0
sC,m_arm_l,6000,2000,180.0,500,0.0,155.654296875,-500,0.0
sC,m_leg_r,6000,4800,185.01708984375,1200,0.0,185.01708984375,-1200,0.0
sC,m_arm_l,8000,2000,155.654296875,500,0.0,155.654296875,-500,0.0
sC,m_arm_r,8000,2000,155.654296875,500,0.0,155.654296875,-500,0.0
sC,m_arm_l,10000,800,155.654296875,200,0.0,143.4375,-200,0.0
sC,m_arm_r,10000,800,155.654296875,200,0.0,143.4375,-200,0.0
sC,m_leg_l,10800,800,185.01708984375,200,0.0,170.29541015625,-200,0.0
sC,m_leg_r,10800,800,185.01708984375,200,0.0,170.29541015625,-200,0.0
sC,m_arm_l,10800,800,143.4375,200,0.0,194.765625,-200,0.0
sC,m_arm_r,10800,800,143.4375,200,0.0,194.765625,-200,0.0
sC,m_arm_r,11600,333,194.765625,83,0.0,11.25,-83,0.0
sC,m_leg_r,11600,333,170.29541015625,83,0.0,198.0908203125,-83,0.0
sC,m_arm_l,11600,333,194.765625,83,0.0,11.25,-83,0.0
sC,m_leg_l,11600,333,170.29541015625,83,0.0,198.0908203125,-83,0.0
sC,m_arm_l,11933,634,11.25,133,0.0,170.68359375,-133,0.0
sC,m_leg_r,11933,334,198.0908203125,83,0.0,65.44921875,-83,0.0
sC,m_arm_r,11933,634,11.25,133,0.0,170.68359375,-133,0.0
sC,m_leg_l,11933,334,198.0908203125,83,0.0,65.44921875,-83,0.0
sC,m_leg_r,12267,233,65.44921875,58,0.0,81.123046875,-58,0.0
sC,m_leg_l,12267,233,65.44921875,58,0.0,81.123046875,-58,0.0
sC,m_leg_l,12500,233,81.123046875,58,0.0,169.9658203125,-110,-16.88232421875
sC,m_leg_r,12500,233,81.123046875,58,0.0,169.9658203125,-110,-16.88232421875
sC,m_arm_l,12567,300,170.68359375,108,0.0,31.640625,-108,0.0
sC,m_arm_r,12567,300,170.68359375,108,0.0,31.640625,-108,0.0
sC,m_leg_r,12733,134,169.9658203125,37,5.67626953125,180.8056640625,-33,0.0
sC,m_leg_l,12733,134,169.9658203125,37,5.67626953125,180.8056640625,-33,0.0
sC,m_leg_r,12867,2100,180.8056640625,525,0.0,180.8056640625,-525,0.0
sC,m_leg_l,12867,2100,180.8056640625,525,0.0,180.8056640625,-525,0.0
sC,m_arm_r,12867,2100,31.640625,150,0.0,31.640625,-108,0.0
sC,m_arm_l,12867,2100,31.640625,150,0.0,31.640625,-108,0.0
sC,m_leg_l,14967,2066,180.8056640625,517,0.0,185.01708984375,-517,0.0
sC,m_arm_l,14967,2066,31.640625,150,0.0,180.0,-150,0.0
sC,m_arm_r,14967,2066,31.640625,150,0.0,180.0,-150,0.0
sC,m_leg_r,14967,2066,180.8056640625,517,0.0,185.01708984375,-517,0.0
