Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,acro_cannonball_f2h,Controller name:,acrobot_act,Duration:,8467,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,134.6484375,134.6484375,91.376953125,91.376953125,0.0,0.0,0.0,0.0
sC,m_arm_r,0,4000,134.6484375,1000,0.0,134.6484375,-1000,0.0
sC,m_leg_l,0,4000,91.376953125,1000,0.0,91.376953125,-1000,0.0
sC,m_leg_r,0,4000,91.376953125,1000,0.0,91.376953125,-1000,0.0
sC,m_arm_l,0,4000,134.6484375,1000,0.0,134.6484375,-1000,0.0
sC,m_arm_l,4000,667,134.6484375,167,0.0,125.771484375,-167,0.0
sC,m_arm_r,4000,667,134.6484375,167,0.0,125.771484375,-167,0.0
sC,m_leg_l,4000,2000,91.376953125,500,0.0,91.376953125,-500,0.0
sC,m_leg_r,4000,2000,91.376953125,500,0.0,91.376953125,-500,0.0
sC,m_arm_l,4667,333,125.771484375,83,0.0,125.771484375,-83,0.0
sC,m_arm_r,4667,333,125.771484375,83,0.0,125.771484375,-83,0.0
sC,m_arm_r,5000,667,125.771484375,167,0.0,140.185546875,-167,0.0
sC,m_arm_l,5000,667,125.771484375,167,0.0,140.185546875,-167,0.0
sC,m_arm_r,5667,333,140.185546875,83,0.0,140.185546875,-83,0.0
sC,m_arm_l,5667,333,140.185546875,83,0.0,140.185546875,-83,0.0
sC,m_leg_r,6000,267,91.376953125,67,0.0,75.556640625,-67,0.0
sC,m_arm_r,6000,1733,140.185546875,433,0.0,140.185546875,-433,0.0
sC,m_arm_l,6000,1733,140.185546875,433,0.0,140.185546875,-433,0.0
sC,m_leg_l,6000,267,91.376953125,67,0.0,75.556640625,-67,0.0
sC,m_leg_l,6267,733,75.556640625,183,0.0,75.556640625,-183,-0.69580078125
sC,m_leg_r,6267,733,75.556640625,183,0.0,75.556640625,-183,-0.69580078125
sC,m_leg_r,7000,1267,75.556640625,246,0.9521484375,185.0537109375,-850,0.29296875
sC,m_leg_l,7000,1267,75.556640625,246,0.9521484375,185.0537109375,-850,0.29296875
sC,m_arm_l,7733,734,140.185546875,183,0.0,173.759765625,-183,0.0
sC,m_arm_r,7733,734,140.185546875,183,0.0,173.759765625,-183,0.0
