Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,act_explanation_01_wave,Controller name:,acrobot_act,Duration:,178167,Created at,27/02/2024 16:49:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,1533,180.0,383,0.0,18.80859375,-383,0.0
sC,m_leg_l,0,13767,185.01708984375,3442,0.0,185.01708984375,-3442,0.0
sC,m_leg_r,0,13767,185.01708984375,3442,0.0,185.01708984375,-3442,0.0
sC,m_arm_l,0,1533,180.0,383,0.0,18.80859375,-383,0.0
sC,m_arm_r,1533,1200,18.80859375,300,0.0,18.80859375,-300,0.0
sC,m_arm_l,1533,1200,18.80859375,300,0.0,18.80859375,-300,0.0
sC,m_arm_r,2733,467,18.80859375,117,0.0,-4.21875,-117,0.0
sC,m_arm_l,2733,467,18.80859375,117,0.0,-4.21875,-117,0.0
sC,m_arm_l,3200,433,-4.21875,108,0.0,12.919921875,-108,0.0
sC,m_arm_r,3200,433,-4.21875,108,0.0,12.919921875,-108,0.0
sC,m_arm_l,3633,367,12.919921875,92,0.0,-5.537109375,-92,0.0
sC,m_arm_r,3633,367,12.919921875,92,0.0,-5.537109375,-92,0.0
sC,m_arm_l,4000,400,-5.537109375,100,0.0,20.126953125,-100,0.0
sC,m_arm_r,4000,400,-5.537109375,100,0.0,20.126953125,-100,0.0
sC,m_arm_r,4400,1733,20.126953125,433,0.0,20.126953125,-433,0.0
sC,m_arm_l,4400,1733,20.126953125,433,0.0,20.126953125,-433,0.0
sC,m_arm_r,6133,1467,20.126953125,367,0.0,180.0,-367,0.0
sC,m_arm_l,6133,1467,20.126953125,367,0.0,180.0,-367,0.0
sC,m_arm_r,7600,2500,180.0,625,0.0,188.0859375,-625,0.0
sC,m_arm_l,7600,2500,180.0,625,0.0,174.990234375,-625,0.0
sC,m_arm_r,10100,1933,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_arm_l,10100,1933,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_arm_r,12033,834,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_l,12033,834,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_l,12867,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_r,12867,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_leg_l,13767,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_r,13767,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_arm_l,14067,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,14467,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_leg_l,15500,2133,182.23388671875,533,0.0,185.01708984375,-533,0.0
sC,m_leg_r,15500,2133,183.80859375,533,0.0,185.01708984375,-533,0.0
sC,m_arm_r,16900,733,195.556640625,183,0.0,188.0859375,-183,0.0
sC,m_arm_l,16900,733,172.265625,183,0.0,174.990234375,-183,0.0
sC,m_arm_r,17633,1934,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_r,17633,1734,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_arm_l,17633,1934,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_leg_l,17633,1734,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_l,19367,6366,182.23388671875,1592,0.0,185.01708984375,-1592,0.0
sC,m_leg_r,19367,6366,183.80859375,1592,0.0,185.01708984375,-1592,0.0
sC,m_arm_r,19567,833,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_l,19567,833,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,20400,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,20400,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,21600,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,22000,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_r,24433,1300,195.556640625,325,0.0,188.0859375,-325,0.0
sC,m_arm_l,24433,1300,172.265625,325,0.0,174.990234375,-325,0.0
sC,m_leg_r,25733,1734,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_leg_l,25733,1734,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_arm_r,25733,1934,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_arm_l,25733,1934,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_leg_r,27467,7700,183.80859375,1925,0.0,185.01708984375,-1925,0.0
sC,m_leg_l,27467,7700,182.23388671875,1925,0.0,185.01708984375,-1925,0.0
sC,m_arm_l,27667,833,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,27667,833,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_l,28500,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_r,28500,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,29700,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,30100,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_r,32533,2634,195.556640625,658,0.0,188.0859375,-658,0.0
sC,m_arm_l,32533,2634,172.265625,658,0.0,174.990234375,-658,0.0
sC,m_arm_l,35167,1933,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_arm_r,35167,1933,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_l,35167,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_r,35167,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_leg_l,36900,7800,182.23388671875,1950,0.0,185.01708984375,-1950,0.0
sC,m_leg_r,36900,7800,183.80859375,1950,0.0,185.01708984375,-1950,0.0
sC,m_arm_l,37100,833,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,37100,833,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_r,37933,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,37933,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,39133,2834,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,39533,2434,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_r,41967,2733,195.556640625,683,0.0,188.0859375,-683,0.0
sC,m_arm_l,41967,2733,172.265625,683,0.0,174.990234375,-683,0.0
sC,m_arm_r,44700,1933,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_l,44700,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_arm_l,44700,1933,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_leg_r,44700,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_leg_r,46433,6800,183.80859375,1700,0.0,185.01708984375,-1700,0.0
sC,m_leg_l,46433,6800,182.23388671875,1700,0.0,185.01708984375,-1700,0.0
sC,m_arm_l,46633,834,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,46633,834,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_r,47467,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,47467,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,48667,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,49067,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_l,51500,1733,172.265625,433,0.0,174.990234375,-433,0.0
sC,m_arm_r,51500,1733,195.556640625,433,0.0,188.0859375,-433,0.0
sC,m_leg_r,53233,1734,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_leg_l,53233,1734,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_arm_l,53233,1934,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_arm_r,53233,1934,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_r,54967,6833,183.80859375,1708,0.0,185.01708984375,-1708,0.0
sC,m_leg_l,54967,6833,182.23388671875,1708,0.0,185.01708984375,-1708,0.0
sC,m_arm_l,55167,833,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,55167,833,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_r,56000,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,56000,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,57200,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,57600,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_r,60033,1767,195.556640625,442,0.0,188.0859375,-442,0.0
sC,m_arm_l,60033,1767,172.265625,442,0.0,174.990234375,-442,0.0
sC,m_arm_r,61800,833,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_l,61800,833,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_leg_r,61800,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_leg_l,61800,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_arm_r,62633,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,62633,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_leg_r,63533,2134,183.80859375,533,0.0,185.01708984375,-533,0.0
sC,m_leg_l,63533,2134,182.23388671875,533,0.0,185.01708984375,-533,0.0
sC,m_arm_l,63833,2834,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,64233,2434,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_leg_l,65667,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_r,65667,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_arm_r,66667,733,195.556640625,183,0.0,188.0859375,-183,0.0
sC,m_arm_l,66667,733,172.265625,183,0.0,174.990234375,-183,0.0
sC,m_arm_l,67400,1933,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_leg_r,67400,6367,183.80859375,1592,0.0,185.01708984375,-1592,0.0
sC,m_leg_l,67400,6367,182.23388671875,1592,0.0,185.01708984375,-1592,0.0
sC,m_arm_r,67400,1933,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_arm_l,69333,834,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,69333,834,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_r,70167,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,70167,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,71367,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,71767,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_leg_l,73767,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_r,73767,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_arm_r,74200,1300,195.556640625,325,0.0,188.0859375,-325,0.0
sC,m_arm_l,74200,1300,172.265625,325,0.0,174.990234375,-325,0.0
sC,m_leg_r,75500,7700,183.80859375,1925,0.0,185.01708984375,-1925,0.0
sC,m_arm_r,75500,1933,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_l,75500,7700,182.23388671875,1925,0.0,185.01708984375,-1925,0.0
sC,m_arm_l,75500,1933,174.990234375,483,0.0,174.990234375,-483,0.0
sC,m_arm_r,77433,834,188.0859375,208,0.0,195.732421875,-208,0.0
sC,m_arm_l,77433,834,174.990234375,208,0.0,187.294921875,-208,0.0
sC,m_arm_r,78267,1600,195.732421875,400,0.0,175.78125,-400,0.0
sC,m_arm_l,78267,1200,187.294921875,300,0.0,185.009765625,-300,0.0
sC,m_arm_l,79467,2833,185.009765625,708,0.0,172.265625,-708,0.0
sC,m_arm_r,79867,2433,175.78125,608,0.0,195.556640625,-608,0.0
sC,m_arm_r,82300,2633,195.556640625,658,0.0,188.0859375,-658,0.0
sC,m_arm_l,82300,2633,172.265625,658,0.0,174.990234375,-658,0.0
sC,m_leg_l,83200,1733,185.01708984375,433,0.0,182.23388671875,-433,0.0
sC,m_leg_r,83200,1733,185.01708984375,433,0.0,183.80859375,-433,0.0
sC,m_arm_r,84933,1934,188.0859375,483,0.0,188.0859375,-483,0.0
sC,m_leg_l,84933,7800,182.23388671875,1950,0.0,185.01708984375,-1950,0.0
