Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,act_explanation_03_schouders,Controller name:,acrobot_act,Duration:,74033,Created at,27/02/2024 16:49:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,2967,180.0,719,0.0,180.0,-968,-16.171875
sC,m_leg_l,0,15333,185.01708984375,3833,0.0,185.01708984375,-3833,0.0
sC,m_leg_r,0,15333,185.01708984375,3833,0.0,185.01708984375,-3833,0.0
sC,m_arm_l,0,1300,180.0,325,0.0,163.828125,-325,0.0
sC,m_arm_l,1300,1667,163.828125,417,0.0,178.330078125,-417,0.0
sC,m_arm_r,2967,1166,180.0,440,7.3828125,240.1171875,-327,0.0
sC,m_arm_l,2967,1166,178.330078125,292,0.0,95.09765625,-292,0.0
sC,m_arm_r,4133,900,240.1171875,225,0.0,182.4609375,-225,0.0
sC,m_arm_l,4133,900,95.09765625,225,0.0,18.369140625,-225,0.0
sC,m_arm_r,5033,1467,182.4609375,367,0.0,19.6875,-367,0.0
sC,m_arm_l,5033,734,18.369140625,183,0.0,-35.595703125,-183,0.0
sC,m_arm_l,5767,733,-35.595703125,183,0.0,10.283203125,-183,0.0
sC,m_arm_l,6500,3000,10.283203125,750,0.0,10.283203125,-750,0.0
sC,m_arm_r,6500,3000,19.6875,750,0.0,19.6875,-750,0.0
sC,m_arm_r,9500,5733,19.6875,1433,0.0,142.91015625,-1433,0.0
sC,m_arm_l,9500,5733,10.283203125,1433,0.0,146.337890625,-1433,0.0
sC,m_arm_l,15233,2800,146.337890625,700,0.0,127.177734375,-700,0.0
sC,m_arm_r,15233,2800,142.91015625,700,0.0,129.638671875,-700,0.0
sC,m_leg_l,15333,2700,185.01708984375,675,0.0,90.16845703125,-675,0.0
sC,m_leg_r,15333,2700,185.01708984375,675,0.0,89.9853515625,-675,0.0
sC,m_arm_l,18033,600,127.177734375,150,0.0,115.224609375,-150,0.0
sC,m_arm_r,18033,600,129.638671875,150,0.0,105.732421875,-150,0.0
sC,m_arm_l,18633,134,115.224609375,33,0.0,122.431640625,-33,0.0
sC,m_arm_r,18633,334,105.732421875,83,0.0,66.26953125,-83,0.0
sC,m_arm_l,18767,1933,122.431640625,483,0.0,116.3671875,-483,0.0
sC,m_arm_r,18967,333,66.26953125,83,0.0,91.318359375,-83,0.0
sC,m_arm_r,19300,1200,91.318359375,300,0.0,88.154296875,-300,0.0
sC,m_arm_r,20500,1467,88.154296875,367,0.0,103.53515625,-367,0.0
sC,m_arm_l,20700,533,116.3671875,133,0.0,117.7734375,-133,0.0
sC,m_arm_l,21233,1000,117.7734375,250,0.0,67.939453125,-250,0.0
sC,m_arm_r,21967,1200,103.53515625,300,0.0,-61.787109375,-300,0.0
sC,m_arm_l,22233,800,67.939453125,200,0.0,63.896484375,-200,0.0
sC,m_arm_l,23033,1400,63.896484375,350,0.0,105.1171875,-350,0.0
sC,m_arm_r,23167,1333,-61.787109375,333,0.0,-75.849609375,-333,0.0
sC,m_arm_l,24433,1867,105.1171875,467,0.0,119.443359375,-467,0.0
sC,m_arm_r,24500,1533,-75.849609375,383,0.0,99.66796875,-383,0.0
sC,m_arm_r,26033,500,99.66796875,125,0.0,104.94140625,-125,0.0
sC,m_arm_l,26300,867,119.443359375,217,0.0,98.525390625,-217,0.0
sC,m_arm_r,26533,700,104.94140625,175,0.0,91.142578125,-175,0.0
sC,m_arm_l,27167,900,98.525390625,225,0.0,98.525390625,-225,0.0
sC,m_arm_r,27233,1500,91.142578125,375,0.0,96.328125,-375,0.0
sC,m_arm_l,28067,833,98.525390625,208,0.0,112.236328125,-208,0.0
sC,m_arm_r,28733,2467,96.328125,617,0.0,99.66796875,-617,0.0
