Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,act_moveyourfeet_flikflak,Controller name:,acrobot_act,Duration:,114500,Created at,03/12/2024 23:25:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,4900,185.01708984375,1225,0.0,185.01708984375,-1225,0.0
sC,m_arm_l,0,5200,180.0,1300,0.0,180.0,-1300,0.0
sC,m_arm_r,0,4700,180.0,1175,0.0,180.0,-1175,0.0
sC,m_leg_r,0,4900,185.01708984375,1225,0.0,185.01708984375,-1225,0.0
sC,m_arm_r,4700,567,180.0,142,0.0,7.20703125,-142,0.0
sC,m_leg_l,4900,367,185.01708984375,92,0.0,186.11572265625,-50,0.0
sC,m_leg_r,4900,367,185.01708984375,92,0.0,186.11572265625,-50,0.0
sC,m_arm_l,5200,567,180.0,142,0.0,7.20703125,-142,0.0
sC,m_leg_r,5267,366,186.11572265625,92,0.0,186.11572265625,-92,0.0
sC,m_arm_r,5267,633,7.20703125,175,0.0,7.20703125,-240,0.0
sC,m_leg_l,5267,366,186.11572265625,92,0.0,186.11572265625,-92,0.0
sC,m_leg_r,5633,100,186.11572265625,25,0.0,185.01708984375,-29,0.0
sC,m_leg_l,5633,100,186.11572265625,25,0.0,185.01708984375,-25,0.0
sC,m_leg_r,5733,3600,185.01708984375,200,0.0,185.01708984375,-904,0.0
sC,m_leg_l,5733,3600,185.01708984375,900,0.0,185.01708984375,-913,0.0
sC,m_arm_l,5767,133,7.20703125,42,0.0,7.20703125,-47,0.0
sC,m_arm_l,5900,300,7.20703125,89,0.0,24.873046875,-109,0.0
sC,m_arm_r,5900,300,7.20703125,96,0.0,-15.1171875,-103,0.0
sC,m_arm_r,6200,1233,-15.1171875,444,0.0,-15.1171875,-302,0.0
sC,m_arm_l,6200,1300,24.873046875,434,0.0,24.873046875,-315,0.0
sC,m_arm_r,7433,567,-15.1171875,142,0.0,107.75390625,-142,0.0
sC,m_arm_l,7500,1000,24.873046875,250,0.0,16.611328125,-250,0.0
sC,m_arm_r,8000,1533,107.75390625,383,0.0,116.982421875,-383,0.0
sC,m_arm_l,8500,500,16.611328125,125,0.0,116.982421875,-125,0.0
sC,m_arm_l,9000,3867,116.982421875,967,0.0,116.982421875,-143,0.0
sC,m_leg_r,9333,400,185.01708984375,100,0.0,174.6533203125,-100,0.0
sC,m_leg_l,9333,400,185.01708984375,100,0.0,193.916015625,-100,0.0
sC,m_arm_r,9533,3334,116.982421875,833,0.0,116.982421875,-123,0.0
sC,m_leg_r,9733,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_l,9733,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_leg_l,10233,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_r,10233,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_leg_l,10733,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_leg_r,10733,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_r,11233,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_leg_l,11233,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_r,11733,534,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,11733,534,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,12267,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_leg_l,12267,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_r,12767,500,174.6533203125,125,0.0,193.916015625,-125,0.0
sC,m_leg_l,12767,500,193.916015625,125,0.0,174.6533203125,-125,0.0
sC,m_arm_r,12867,1000,116.982421875,277,0.0,0.0,-383,0.0
sC,m_arm_l,12867,400,116.982421875,111,0.0,109.86328125,-33,0.0
sC,m_leg_r,13267,600,193.916015625,166,0.0,180.8056640625,-150,0.0
sC,m_leg_l,13267,600,174.6533203125,166,0.0,163.92333984375,-460,0.0
sC,m_arm_l,13267,766,109.86328125,191,0.0,199.3359375,-192,0.0
sC,m_arm_r,13867,800,0.0,183,0.0,0.0,-65,0.0
sC,m_leg_r,13867,1033,180.8056640625,258,0.0,180.0,-84,0.0
sC,m_leg_l,13867,1033,163.92333984375,258,0.0,180.0,-80,0.0
sC,m_arm_l,14033,1034,199.3359375,258,0.0,180.0,-258,0.0
sC,m_arm_r,14667,400,0.0,100,0.0,0.0,-113,0.0
sC,m_leg_l,14900,500,180.0,118,0.0,200.03173828125,-125,1.318359375
sC,m_leg_r,14900,500,180.0,125,0.0,200.03173828125,-125,1.318359375
sC,m_arm_l,15067,333,180.0,83,0.0,268.59375,-83,0.0
sC,m_arm_r,15067,333,0.0,98,0.0,-6.943359375,-130,0.17578125
sC,m_arm_r,15400,1533,-6.943359375,383,-0.439453125,111.97265625,-380,0.0
sC,m_arm_l,15400,1533,268.59375,383,0.0,303.57421875,-383,0.0
sC,m_leg_r,15400,1533,200.03173828125,383,-4.06494140625,243.24462890625,-383,0.0
sC,m_leg_l,15400,1533,200.03173828125,383,-4.06494140625,244.19677734375,-383,0.0
sC,m_leg_r,16933,367,243.24462890625,92,0.0,243.24462890625,-92,0.0
sC,m_arm_r,16933,367,111.97265625,92,0.0,111.97265625,-92,0.0
sC,m_arm_l,16933,367,303.57421875,92,0.0,303.57421875,-92,0.0
sC,m_leg_l,16933,367,244.19677734375,92,0.0,244.19677734375,-92,0.0
sC,m_leg_r,17300,1233,243.24462890625,308,0.0,74.1650390625,-100,18.5302734375
sC,m_arm_r,17300,1233,111.97265625,308,0.0,116.279296875,-116,10.810546875
sC,m_leg_l,17300,1233,244.19677734375,308,0.0,74.1650390625,-100,18.5302734375
sC,m_arm_l,17300,1233,303.57421875,308,0.0,116.279296875,-116,10.810546875
sC,m_arm_r,18533,1367,116.279296875,213,-19.6875,199.3359375,-342,0.0
sC,m_leg_l,18533,1367,74.1650390625,140,-26.03759765625,182.1240234375,-342,0.0
sC,m_leg_r,18533,1367,74.1650390625,140,-26.03759765625,182.1240234375,-342,0.0
sC,m_arm_l,18533,1367,116.279296875,213,-19.6875,199.3359375,-342,0.0
sC,m_leg_l,19900,600,182.1240234375,150,0.0,83.3203125,-46,-1.06201171875
sC,m_arm_l,19900,600,199.3359375,150,0.0,196.611328125,-150,0.0
sC,m_leg_r,19900,600,182.1240234375,150,0.0,83.3203125,-46,-1.06201171875
sC,m_arm_r,19900,600,199.3359375,150,0.0,196.611328125,-150,0.0
sC,m_leg_r,20500,433,83.3203125,120,2.783203125,121.9189453125,-108,0.0
sC,m_arm_r,20500,433,196.611328125,108,0.0,237.83203125,-68,-10.283203125
sC,m_leg_l,20500,433,83.3203125,120,2.783203125,121.9189453125,-108,0.0
sC,m_arm_l,20500,433,196.611328125,103,0.0,237.83203125,-110,-16.5234375
sC,m_arm_l,20933,267,237.83203125,66,9.931640625,270.17578125,-67,0.0
sC,m_leg_l,20933,667,121.9189453125,167,0.0,103.57177734375,-167,0.0
sC,m_arm_r,20933,267,237.83203125,66,9.931640625,270.17578125,-67,0.0
sC,m_leg_r,20933,567,121.9189453125,142,0.0,212.92236328125,-142,0.0
sC,m_arm_r,21200,533,270.17578125,133,0.0,304.013671875,-133,0.0
sC,m_arm_l,21200,533,270.17578125,133,0.0,304.013671875,-133,0.0
sC,m_leg_r,21500,867,212.92236328125,217,0.0,180.9521484375,-217,0.0
sC,m_leg_l,21600,767,103.57177734375,192,0.0,180.9521484375,-192,0.0
sC,m_arm_r,21733,634,304.013671875,158,0.0,359.82421875,-158,0.0
sC,m_arm_l,21733,634,304.013671875,158,0.0,359.82421875,-158,0.0
sC,m_leg_l,22367,466,180.9521484375,117,0.0,180.9521484375,-117,0.0
sC,m_arm_r,22367,866,359.82421875,217,0.0,375.380859375,-217,-4.658203125
sC,m_arm_l,22367,733,359.82421875,183,0.0,451.142578125,-183,0.0
sC,m_leg_r,22367,566,180.9521484375,142,0.0,180.9521484375,-142,0.0
sC,m_leg_l,22833,467,180.9521484375,117,0.0,237.16552734375,-117,0.0
sC,m_leg_r,22933,367,180.9521484375,92,0.0,162.82470703125,-92,0.0
sC,m_arm_l,23100,133,451.142578125,33,0.0,451.142578125,-33,0.0
sC,m_arm_l,23233,834,451.142578125,208,0.0,361.494140625,-208,0.0
sC,m_arm_r,23233,234,375.380859375,58,1.23046875,382.060546875,-58,0.0
sC,m_leg_r,23300,300,162.82470703125,75,0.0,162.82470703125,-75,0.0
sC,m_leg_l,23300,300,237.16552734375,75,0.0,220.31982421875,-75,5.0537109375
sC,m_arm_r,23467,500,382.060546875,125,0.0,361.494140625,-125,0.0
sC,m_leg_l,23600,533,220.31982421875,133,-8.97216796875,180.0,-133,0.0
sC,m_leg_r,23600,367,162.82470703125,92,0.0,180.0,-92,0.0
sC,m_arm_r,23967,366,361.494140625,92,0.0,361.494140625,-92,0.0
sC,m_leg_r,23967,1466,180.0,367,0.0,180.0,-367,0.0
sC,m_arm_l,24067,266,361.494140625,67,0.0,361.494140625,-67,0.0
sC,m_leg_l,24133,1034,180.0,258,0.0,180.0,-258,0.0
sC,m_arm_r,24333,1200,361.494140625,300,0.0,540.0,-300,0.0
sC,m_arm_l,24333,1200,361.494140625,300,0.0,540.0,-300,0.0
sC,m_leg_l,25167,800,180.0,200,0.0,144.3310546875,-200,0.0
sC,m_leg_r,25433,767,180.0,192,0.0,144.3310546875,-192,0.0
sC,m_arm_l,25533,1400,540.0,342,0.0,540.0,-504,0.0
sC,m_arm_r,25533,1400,540.0,342,0.0,540.0,-504,0.0
sC,m_leg_l,25967,966,144.3310546875,242,0.0,144.3310546875,-60,0.0
sC,m_leg_r,26200,733,144.3310546875,187,0.0,144.3310546875,-58,0.0
sC,m_arm_l,26933,1100,540.0,420,0.0,540.0,-285,0.0
sC,m_arm_r,26933,1100,540.0,420,0.0,540.0,-285,0.0
sC,m_leg_l,26933,267,144.3310546875,66,0.0,133.7841796875,-67,0.0
sC,m_leg_r,26933,267,144.3310546875,66,0.0,133.7841796875,-67,0.0
sC,m_leg_l,27200,267,133.7841796875,67,0.0,133.7841796875,-66,0.0
sC,m_leg_r,27200,267,133.7841796875,67,0.0,133.7841796875,-66,0.0
sC,m_leg_l,27467,266,133.7841796875,66,0.0,144.3310546875,-75,0.0
sC,m_leg_r,27467,266,133.7841796875,66,0.0,144.3310546875,-75,0.0
sC,m_leg_r,27733,300,144.3310546875,75,0.0,144.3310546875,-77,0.0
sC,m_leg_l,27733,300,144.3310546875,75,0.0,144.3310546875,-77,0.0
sC,m_leg_r,28033,334,144.3310546875,77,0.0,101.19140625,-152,-0.0732421875
sC,m_arm_r,28033,967,540.0,242,0.0,540.0,-242,0.0
sC,m_leg_l,28033,334,144.3310546875,77,0.0,101.19140625,-152,-0.0732421875
sC,m_arm_l,28033,1034,540.0,258,0.0,540.0,-258,0.0
sC,m_leg_l,28367,133,101.19140625,645,0.29296875,101.19140625,-152,-0.0732421875
sC,m_leg_r,28367,133,101.19140625,645,0.29296875,101.19140625,-152,-0.0732421875
