Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,act_salto_p2_slapstick,Controller name:,acrobot_act,Duration:,18600,Created at,12/08/2025 16:57:43,,
Start positions,ArmL ArmR legL legR,-1.7578125,-1.7578125,185.01708984375,30.0,0.0,0.0,0.0,0.0
sC,m_leg_l,0,500,185.01708984375,125,0.0,185.01708984375,-125,0.0
sC,m_arm_r,0,12500,-1.7578125,3125,0.0,-1.7578125,-3125,0.0
sC,m_leg_r,0,1233,30.0,308,0.0,137.2265625,-308,0.0
sC,m_arm_l,0,12033,-1.7578125,3008,0.0,-1.7578125,-3008,0.0
sC,m_leg_l,500,567,185.01708984375,141,0.0,121.259765625,-141,0.0
sC,m_leg_l,1067,1200,121.259765625,300,0.0,121.259765625,-300,0.0
sC,m_leg_r,1233,1034,137.2265625,258,0.0,137.2265625,-258,0.0
sC,m_leg_l,2267,633,121.259765625,158,0.0,157.18505859375,-158,0.0
sC,m_leg_r,2267,633,137.2265625,158,0.0,88.85009765625,-158,0.0
sC,m_leg_l,2900,1067,157.18505859375,266,0.0,157.18505859375,-266,0.0
sC,m_leg_r,2900,1100,88.85009765625,275,0.0,88.85009765625,-275,0.0
sC,m_leg_l,3967,433,157.18505859375,108,0.0,140.3759765625,-108,0.0
sC,m_leg_r,4000,433,88.85009765625,108,0.0,120.380859375,-108,0.0
sC,m_leg_l,4400,1600,140.3759765625,400,0.0,140.3759765625,-400,0.0
sC,m_leg_r,4433,1600,120.380859375,400,0.0,120.380859375,-400,0.0
sC,m_leg_l,6000,400,140.3759765625,100,0.0,180.0,-100,0.0
sC,m_leg_r,6033,400,120.380859375,100,0.0,95.66162109375,-100,0.0
sC,m_leg_l,6400,67,180.0,16,0.0,180.0,-16,0.0
sC,m_leg_r,6433,67,95.66162109375,16,0.0,95.66162109375,-16,0.0
sC,m_leg_l,6467,266,180.0,66,0.0,140.3759765625,-66,0.0
sC,m_leg_r,6500,267,95.66162109375,66,0.0,120.380859375,-66,0.0
sC,m_leg_l,6733,67,140.3759765625,16,0.0,140.3759765625,-16,0.0
sC,m_leg_r,6767,66,120.380859375,16,0.0,120.380859375,-16,0.0
sC,m_leg_l,6800,267,140.3759765625,66,0.0,180.0,-66,0.0
sC,m_leg_r,6833,267,120.380859375,66,0.0,95.66162109375,-66,0.0
sC,m_leg_l,7067,66,180.0,16,0.0,180.0,-16,0.0
sC,m_leg_r,7100,67,95.66162109375,16,0.0,95.66162109375,-16,0.0
sC,m_leg_l,7133,267,180.0,66,0.0,140.3759765625,-66,0.0
sC,m_leg_r,7167,266,95.66162109375,66,0.0,120.380859375,-66,0.0
sC,m_leg_l,7400,1167,140.3759765625,291,0.0,140.3759765625,-291,0.0
sC,m_leg_r,7433,1167,120.380859375,291,0.0,120.380859375,-291,0.0
sC,m_leg_l,8567,1100,140.3759765625,275,0.0,182.74658203125,-275,0.0
sC,m_leg_r,8600,1100,120.380859375,275,0.0,93.0615234375,-275,0.0
sC,m_leg_l,9667,300,182.74658203125,75,0.0,182.74658203125,-75,0.0
sC,m_leg_r,9700,267,93.0615234375,66,0.0,93.0615234375,-66,0.0
sC,m_leg_l,9967,7000,182.74658203125,1750,0.0,182.74658203125,-1750,0.0
sC,m_leg_r,9967,1800,93.0615234375,450,0.0,108.33251953125,-450,0.0
sC,m_leg_r,11767,266,108.33251953125,66,0.0,108.33251953125,-66,0.0
sC,m_leg_r,12033,467,108.33251953125,116,0.0,182.74658203125,-116,0.0
sC,m_arm_l,12033,467,-1.7578125,116,0.0,145.1953125,-116,0.0
sC,m_arm_r,12500,1467,-1.7578125,366,0.0,-1.7578125,-366,0.0
sC,m_arm_l,12500,1333,145.1953125,333,0.0,145.1953125,-333,0.0
sC,m_arm_l,13833,600,145.1953125,150,0.0,-3.69140625,0,0.0
sC,m_arm_r,13967,466,-1.7578125,116,0.0,101.25,-116,0.0
sC,m_arm_r,14433,1367,101.25,341,0.0,101.25,-341,0.0
sC,m_arm_l,14433,1367,-3.69140625,324,0.0,-3.69140625,-341,0.0
sC,m_arm_l,15800,667,-3.69140625,166,0.0,95.9765625,-166,0.0
sC,m_arm_r,15800,667,101.25,166,0.0,-4.39453125,-166,0.0
sC,m_arm_l,16467,500,95.9765625,125,0.0,95.9765625,-125,0.0
sC,m_arm_l,16967,600,95.9765625,150,0.0,-4.39453125,-150,0.0
sC,m_leg_l,16967,600,182.74658203125,150,0.0,69.07470703125,-150,0.0
sC,m_arm_l,17567,533,-4.39453125,133,0.0,-4.39453125,-133,0.0
sC,m_leg_l,17567,533,69.07470703125,133,0.0,69.07470703125,-133,0.0
sC,m_leg_l,18100,500,69.07470703125,125,0.0,30.0,-125,0.0
