Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,act_salto_p5_overload,Controller name:,acrobot_act,Duration:,39967,Created at,22/03/2025 18:36:02,,
Start positions,ArmL ArmR legL legR,27.24609375,27.24609375,165.5712890625,165.5712890625,0.0,0.0,0.0,0.0
sC,m_leg_l,0,2133,165.5712890625,532,0.0,165.5712890625,-533,0.0
sC,m_leg_r,0,2133,165.5712890625,532,0.0,165.5712890625,-533,0.0
sC,m_arm_r,0,2133,27.24609375,532,0.0,27.24609375,-533,0.0
sC,m_arm_l,0,2133,27.24609375,532,0.0,27.24609375,-533,0.0
sC,m_leg_l,2133,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,2133,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,2133,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,2133,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_r,2233,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_l,2233,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_l,2233,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_r,2233,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,2333,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_leg_r,2333,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,2333,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_l,2333,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_l,2433,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_l,2433,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,2433,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_r,2433,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_l,2533,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,2533,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_leg_l,2533,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,2533,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_l,2633,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,2633,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,2633,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_r,2633,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_r,2733,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_l,2733,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,2733,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,2733,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,2833,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,2833,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,2833,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_r,2833,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_l,2933,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,2933,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_l,2933,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,2933,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3033,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,3033,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,3033,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_r,3033,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_l,3133,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3133,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,3133,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,3133,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_l,3233,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_r,3233,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,3233,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_arm_l,3233,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_l,3333,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_leg_r,3333,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3333,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_r,3333,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_l,3433,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_r,3433,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,3433,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,3433,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,3533,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_leg_r,3533,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_r,3533,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_l,3533,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_r,3633,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_l,3633,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_l,3633,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_r,3633,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_r,3733,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3733,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_r,3733,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_l,3733,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3833,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_arm_r,3833,100,20.21484375,25,0.0,27.24609375,-25,0.0
sC,m_leg_r,3833,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,3833,100,169.70947265625,25,0.0,165.5712890625,-25,0.0
sC,m_leg_l,3933,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_leg_r,3933,100,165.5712890625,25,0.0,169.70947265625,-25,0.0
sC,m_arm_l,3933,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_arm_r,3933,100,27.24609375,25,0.0,20.21484375,-25,0.0
sC,m_leg_r,4033,667,169.70947265625,166,0.0,185.82275390625,-166,0.0
sC,m_arm_r,4033,1034,20.21484375,258,0.0,20.21484375,-258,0.0
