Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_back_stretch,Controller name:,acrobot_act,Duration:,114867,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,5233,180.0,1308,0.0,180.0,-1308,0.0
sC,m_leg_l,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_leg_r,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_arm_r,0,5233,180.0,1308,0.0,180.0,-1308,0.0
sC,m_leg_l,33,967,185.01708984375,241,0.0,263.8623046875,-241,0.0
sC,m_leg_r,33,967,185.01708984375,241,0.0,263.8623046875,-241,0.0
sC,m_leg_l,1000,233,263.8623046875,58,0.0,251.1181640625,-58,0.0
sC,m_leg_r,1000,233,263.8623046875,58,0.0,251.1181640625,-58,0.0
sC,m_leg_r,1233,867,251.1181640625,216,0.0,287.373046875,-216,0.0
sC,m_leg_l,1233,867,251.1181640625,216,0.0,287.373046875,-216,0.0
sC,m_leg_l,2100,333,287.373046875,83,0.0,271.22314453125,-83,0.0
sC,m_leg_r,2100,333,287.373046875,83,0.0,271.22314453125,-83,0.0
sC,m_leg_l,2433,567,271.22314453125,141,0.0,295.9423828125,-141,0.0
sC,m_leg_r,2433,567,271.22314453125,141,0.0,295.9423828125,-141,0.0
sC,m_leg_r,3000,1200,295.9423828125,299,0.0,295.9423828125,-300,0.0
sC,m_leg_l,3000,1200,295.9423828125,300,0.0,295.9423828125,-300,0.0
sC,m_leg_r,4200,1033,295.9423828125,258,0.0,330.0,-258,0.0
sC,m_leg_l,4200,1033,295.9423828125,258,0.0,330.0,-258,0.0
sC,m_arm_l,5233,1767,180.0,441,0.0,180.0,-441,0.0
sC,m_leg_r,5233,10767,330.0,2691,0.0,330.0,-2691,0.0
sC,m_leg_l,5233,10767,330.0,2691,0.0,330.0,-2691,0.0
sC,m_arm_r,5233,1767,180.0,441,0.0,180.0,-441,0.0
sC,m_arm_l,7000,2933,180.0,732,0.0,147.919921875,-732,0.0
sC,m_arm_r,7000,2933,180.0,733,0.0,147.919921875,-733,0.0
sC,m_arm_l,9933,2134,147.919921875,533,0.0,147.919921875,-533,0.0
sC,m_arm_r,9933,2134,147.919921875,533,0.0,147.919921875,-533,0.0
sC,m_arm_r,12067,1866,147.919921875,466,0.0,116.806640625,-466,0.0
sC,m_arm_l,12067,1866,147.919921875,466,0.0,116.806640625,-466,0.0
sC,m_arm_l,13933,2067,116.806640625,516,0.0,116.806640625,-516,0.0
sC,m_arm_r,13933,2067,116.806640625,516,0.0,116.806640625,-516,0.0
sC,m_arm_r,16000,22933,116.806640625,5733,0.0,116.806640625,-5733,0.0
sC,m_leg_r,16000,1967,330.0,491,0.0,330.0,-491,0.0
sC,m_leg_l,16000,1000,330.0,250,0.0,307.91748046875,-250,0.0
sC,m_arm_l,16000,22933,116.806640625,5733,0.0,116.806640625,-5733,0.0
sC,m_leg_l,17000,967,307.91748046875,241,0.0,307.91748046875,-241,0.0
sC,m_leg_r,17967,1000,330.0,250,0.0,307.91748046875,-250,0.0
sC,m_leg_l,17967,1000,307.91748046875,250,0.0,330.0,-250,0.0
sC,m_leg_r,18967,966,307.91748046875,241,0.0,307.91748046875,-241,0.0
sC,m_leg_l,18967,966,330.0,241,0.0,330.0,-241,0.0
sC,m_leg_l,19933,1000,330.0,250,0.0,307.91748046875,-250,0.0
sC,m_leg_r,19933,1000,307.91748046875,250,0.0,330.0,-250,0.0
sC,m_leg_l,20933,1834,307.91748046875,458,0.0,307.91748046875,-458,0.0
sC,m_leg_r,20933,1834,330.0,458,0.0,330.0,-458,0.0
sC,m_leg_r,22767,666,330.0,166,0.0,307.91748046875,-166,0.0
sC,m_leg_l,22767,666,307.91748046875,166,0.0,330.0,-166,0.0
sC,m_leg_r,23433,1567,307.91748046875,391,0.0,295.68603515625,-391,0.0
sC,m_leg_l,23433,1567,330.0,391,0.0,330.0,-391,0.0
sC,m_leg_l,25000,400,330.0,100,0.0,291.8408203125,-100,0.0
sC,m_leg_r,25000,400,295.68603515625,100,0.0,330.0,-100,0.0
