Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_repeat_rotate_arms_legs_samedir_16s,Controller name:,acrobot_act,Duration:,16000,Created at,01/11/2024 11:45:08,,
Start positions,ArmL ArmR legL legR,540.0,540.0,330.0,330.0,0.0,0.0,0.0,0.0
sC,m_arm_l,0,8000,540.0,2000,0.0,-180.0,-2000,0.0
sC,m_arm_r,0,8000,540.0,2000,0.0,-180.0,-2000,0.0
sC,m_leg_l,0,8000,330.0,2000,0.0,30.0,-2000,0.0
sC,m_leg_r,0,8000,330.0,2000,0.0,30.0,-2000,0.0
sC,m_arm_l,8000,8000,-180.0,2000,0.0,540.0,-2000,0.0
sC,m_arm_r,8000,8000,-180.0,2000,0.0,540.0,-2000,0.0
sC,m_leg_l,8000,8000,30.0,2000,0.0,330.0,-2000,0.0
sC,m_leg_r,8000,8000,30.0,2000,0.0,330.0,-2000,0.0
