Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_roll_f2b,Controller name:,acrobot_act,Duration:,5467,Created at,01/11/2024 11:45:09,,
Start positions,ArmL ArmR legL legR,180.0,180.0,180.9521484375,180.9521484375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,1500,180.9521484375,375,0.0,180.9521484375,-375,0.0
sC,m_arm_l,0,1500,180.0,375,0.0,359.82421875,-375,0.0
sC,m_arm_r,0,1500,180.0,375,0.0,359.82421875,-375,0.0
sC,m_leg_l,0,1500,180.9521484375,375,0.0,180.9521484375,-375,0.0
sC,m_arm_l,1500,967,359.82421875,241,0.0,359.82421875,-241,0.0
sC,m_leg_l,1500,967,180.9521484375,241,0.0,180.9521484375,-241,0.0
sC,m_leg_r,1500,967,180.9521484375,241,0.0,180.9521484375,-241,0.0
sC,m_arm_r,1500,967,359.82421875,241,0.0,359.82421875,-241,0.0
sC,m_arm_l,2467,733,359.82421875,183,0.0,451.142578125,-183,0.0
sC,m_arm_r,2467,866,359.82421875,216,0.0,375.380859375,-216,-5.09765625
sC,m_leg_r,2467,566,180.9521484375,141,0.0,180.9521484375,-141,0.0
sC,m_leg_l,2467,466,180.9521484375,116,0.0,180.9521484375,-116,0.0
sC,m_leg_l,2933,467,180.9521484375,116,0.0,237.16552734375,-116,0.0
sC,m_leg_r,3033,367,180.9521484375,91,0.0,162.82470703125,-91,0.0
sC,m_arm_l,3200,133,451.142578125,33,0.0,451.142578125,-33,0.0
sC,m_arm_l,3333,834,451.142578125,208,0.0,361.494140625,-208,0.0
sC,m_arm_r,3333,234,375.380859375,58,1.40625,382.060546875,-58,0.0
sC,m_leg_r,3400,300,162.82470703125,75,0.0,162.82470703125,-75,0.0
sC,m_leg_l,3400,300,237.16552734375,75,0.0,220.31982421875,-75,5.0537109375
sC,m_arm_r,3567,500,382.060546875,125,0.0,361.494140625,-125,0.0
sC,m_leg_l,3700,533,220.31982421875,133,-8.97216796875,180.0,-133,0.0
sC,m_leg_r,3700,367,162.82470703125,91,0.0,180.0,-91,0.0
sC,m_arm_r,4067,200,361.494140625,50,0.0,361.494140625,-50,0.0
sC,m_arm_l,4167,100,361.494140625,25,0.0,361.494140625,-25,0.0
sC,m_leg_l,4233,1234,180.0,308,0.0,180.0,-308,0.0
sC,m_arm_l,4267,966,361.494140625,241,0.0,540.0,-241,0.0
sC,m_arm_r,4267,966,361.494140625,241,0.0,540.0,-241,0.0
