Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_roll_sideways_high,Controller name:,acrobot_act,Duration:,3500,Created at,05/09/2024 08:45:36,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_arm_r,0,633,180.0,158,0.0,64.86328125,-158,0.0
sC,m_leg_l,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_arm_l,0,633,180.0,158,0.0,90.52734375,-158,0.0
sC,m_arm_l,633,700,90.52734375,175,0.0,180.0,-175,0.0
sC,m_arm_r,633,700,64.86328125,175,0.0,180.0,-175,0.0
sC,m_arm_r,1333,667,180.0,166,0.0,180.0,-166,0.0
sC,m_arm_l,1333,667,180.0,166,0.0,180.0,-166,0.0
sC,m_arm_r,2000,633,180.0,158,0.0,264.814453125,-158,0.0
sC,m_arm_l,2000,633,180.0,158,0.0,285.380859375,-158,0.0
sC,m_arm_l,2633,867,285.380859375,216,0.0,180.0,-216,0.0
sC,m_arm_r,2633,867,264.814453125,216,0.0,180.0,-216,0.0
