Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_roll_sideways_lower,Controller name:,acrobot_act,Duration:,3933,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_arm_r,0,833,180.0,207,0.0,86.484375,-207,0.0
sC,m_leg_l,0,33,185.01708984375,8,0.0,185.01708984375,-8,0.0
sC,m_arm_l,0,833,180.0,207,0.0,128.935546875,-207,0.0
sC,m_arm_r,833,100,86.484375,25,0.0,86.484375,-25,0.0
sC,m_arm_l,833,100,128.935546875,25,0.0,121.640625,-25,0.0
sC,m_arm_r,933,600,86.484375,150,0.0,180.0,-150,0.0
sC,m_arm_l,933,600,121.640625,150,0.0,180.0,-150,0.0
sC,m_arm_l,1533,667,180.0,166,0.0,180.0,-166,0.0
sC,m_arm_r,1533,667,180.0,166,0.0,180.0,-166,0.0
sC,m_arm_r,2200,867,180.0,216,0.0,231.6796875,-216,0.0
sC,m_arm_l,2200,867,180.0,216,0.0,270.52734375,-216,0.0
sC,m_arm_r,3067,100,231.6796875,24,0.0,231.6796875,-25,0.0
sC,m_arm_l,3067,100,270.52734375,24,0.0,270.52734375,-25,0.0
sC,m_arm_r,3167,766,231.6796875,191,0.0,180.0,-191,0.0
sC,m_arm_l,3167,766,270.52734375,191,0.0,180.0,-191,0.0
