Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,ars_sequence_2,Controller name:,acrobot_act,Duration:,574333,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,31400,185.01708984375,7850,0.0,180.9521484375,-7850,0.0
sC,m_arm_r,0,10633,180.0,2644,0.0,111.357421875,-2658,0.0
sC,m_arm_l,0,10633,180.0,2644,0.0,111.357421875,-2658,0.0
sC,m_leg_l,0,31400,185.01708984375,7850,0.0,180.9521484375,-7850,0.0
sC,m_arm_r,10633,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_l,10633,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_l,10667,866,111.357421875,216,0.0,111.357421875,-216,0.0
sC,m_arm_r,10667,866,111.357421875,216,0.0,111.357421875,-216,0.0
sC,m_arm_l,11533,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_r,11533,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_l,11567,5400,111.357421875,1350,0.0,180.0,-1350,0.0
sC,m_arm_r,11567,5400,111.357421875,1350,0.0,180.0,-1350,0.0
sC,m_arm_l,16967,1100,180.0,274,0.0,180.0,-275,0.0
sC,m_arm_r,16967,1100,180.0,274,0.0,180.0,-275,0.0
sC,m_arm_l,18067,6466,180.0,1616,0.0,111.357421875,-1616,0.0
sC,m_arm_r,18067,6466,180.0,1616,0.0,111.357421875,-1616,0.0
sC,m_arm_r,24533,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_l,24533,34,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_l,24567,1200,111.357421875,300,0.0,111.357421875,-300,0.0
sC,m_arm_r,24567,1200,111.357421875,300,0.0,111.357421875,-300,0.0
sC,m_arm_l,25767,33,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_r,25767,33,111.357421875,8,0.0,111.357421875,-8,0.0
sC,m_arm_r,25800,5600,111.357421875,1400,0.0,180.0,-1399,0.0
sC,m_arm_l,25800,5600,111.357421875,1400,0.0,180.0,-1399,0.0
sC,m_arm_l,31400,1500,180.0,375,0.0,359.82421875,-375,0.0
sC,m_leg_r,31400,1500,180.9521484375,375,0.0,180.9521484375,-375,0.0
sC,m_arm_r,31400,1500,180.0,375,0.0,359.82421875,-375,0.0
sC,m_leg_l,31400,1500,180.9521484375,375,0.0,180.9521484375,-375,0.0
sC,m_arm_r,32900,967,359.82421875,241,0.0,359.82421875,-241,0.0
sC,m_leg_l,32900,967,180.9521484375,241,0.0,180.9521484375,-241,0.0
sC,m_arm_l,32900,967,359.82421875,241,0.0,359.82421875,-241,0.0
sC,m_leg_r,32900,967,180.9521484375,241,0.0,180.9521484375,-241,0.0
sC,m_arm_l,33867,733,359.82421875,183,0.0,451.142578125,-183,0.0
sC,m_arm_r,33867,866,359.82421875,216,0.0,375.380859375,-216,-5.09765625
sC,m_leg_r,33867,566,180.9521484375,141,0.0,180.9521484375,-141,0.0
sC,m_leg_l,33867,466,180.9521484375,116,0.0,180.9521484375,-116,0.0
sC,m_leg_l,34333,467,180.9521484375,116,0.0,237.16552734375,-116,0.0
sC,m_leg_r,34433,367,180.9521484375,91,0.0,162.82470703125,-91,0.0
sC,m_arm_l,34600,133,451.142578125,33,0.0,451.142578125,-33,0.0
sC,m_arm_r,34733,234,375.380859375,58,1.40625,382.060546875,-58,0.0
sC,m_arm_l,34733,834,451.142578125,208,0.0,361.494140625,-208,0.0
sC,m_leg_l,34800,2167,237.16552734375,541,0.0,220.31982421875,-541,37.39013671875
sC,m_leg_r,34800,300,162.82470703125,75,0.0,162.82470703125,-75,0.0
sC,m_arm_r,34967,733,382.060546875,183,0.0,361.494140625,-183,0.0
sC,m_leg_r,35100,367,162.82470703125,91,0.0,180.0,-91,0.0
sC,m_leg_r,35467,3600,180.0,900,0.0,185.01708984375,-900,0.0
sC,m_arm_l,35567,100,361.494140625,25,0.0,361.494140625,-25,0.0
sC,m_arm_l,35667,1300,361.494140625,323,0.0,180.0,-323,0.0
sC,m_arm_r,35700,200,361.494140625,50,0.0,361.494140625,-50,0.0
sC,m_arm_r,35900,1233,361.494140625,307,0.0,180.0,-307,0.0
sC,m_leg_l,36967,433,220.31982421875,108,-7.470703125,180.0,-108,0.0
sC,m_arm_l,36967,2100,180.0,524,0.0,180.0,-524,0.0
sC,m_arm_r,37133,1934,180.0,483,0.0,180.0,-483,0.0
sC,m_leg_l,37400,767,180.0,191,0.0,180.0,-191,0.0
sC,m_leg_l,38167,900,180.0,225,0.0,185.01708984375,-225,0.0
sC,m_leg_l,39067,600,185.01708984375,150,0.0,185.01708984375,-150,0.0
sC,m_arm_l,39067,1366,180.0,341,0.0,131.572265625,-341,0.0
sC,m_leg_r,39067,600,185.01708984375,150,0.0,185.01708984375,-150,0.0
sC,m_arm_r,39067,1366,180.0,341,0.0,131.572265625,-341,0.0
sC,m_leg_r,39667,766,185.01708984375,191,0.0,122.68798828125,-191,0.0
sC,m_leg_l,39667,766,185.01708984375,191,0.0,122.68798828125,-191,0.0
sC,m_arm_l,40433,2934,131.572265625,733,0.0,131.572265625,-733,0.0
sC,m_arm_r,40433,2934,131.572265625,733,0.0,131.572265625,-733,0.0
sC,m_leg_l,40433,300,122.68798828125,75,0.0,155.537109375,-75,0.0
sC,m_leg_r,40433,300,122.68798828125,75,0.0,155.537109375,-75,0.0
sC,m_leg_r,40733,800,155.537109375,200,0.0,93.02490234375,-200,0.0
sC,m_leg_l,40733,800,155.537109375,200,0.0,93.02490234375,-200,0.0
sC,m_leg_r,41533,700,93.02490234375,175,0.0,93.02490234375,-175,0.0
sC,m_leg_l,41533,700,93.02490234375,175,0.0,93.02490234375,-175,0.0
sC,m_leg_r,42233,2734,93.02490234375,683,0.0,185.01708984375,-683,0.0
sC,m_leg_l,42233,2734,93.02490234375,683,0.0,185.01708984375,-683,0.0
sC,m_arm_r,43367,1600,131.572265625,400,0.0,180.0,-400,0.0
sC,m_arm_l,43367,1600,131.572265625,400,0.0,180.0,-400,0.0
sC,m_arm_r,44967,1833,180.0,458,0.0,180.0,-458,0.0
sC,m_leg_r,44967,2466,185.01708984375,616,0.0,185.01708984375,-616,0.0
sC,m_leg_l,44967,2466,185.01708984375,616,0.0,185.01708984375,-616,0.0
sC,m_arm_l,44967,1833,180.0,458,0.0,180.0,-458,0.0
sC,m_arm_l,46800,167,180.0,41,0.0,155.302734375,-41,0.0
sC,m_arm_r,46800,167,180.0,41,0.0,155.302734375,-41,0.0
sC,m_arm_l,46967,1600,155.302734375,400,0.0,155.302734375,-400,0.0
sC,m_arm_r,46967,1600,155.302734375,400,0.0,155.302734375,-400,0.0
sC,m_leg_l,47433,334,185.01708984375,83,0.0,89.326171875,-83,0.0
sC,m_leg_r,47433,334,185.01708984375,83,0.0,89.326171875,-83,0.0
sC,m_leg_r,47767,366,89.326171875,91,0.0,122.61474609375,-91,4.94384765625
sC,m_leg_l,47767,366,89.326171875,91,0.0,122.61474609375,-91,4.9072265625
sC,m_leg_l,48133,1267,122.61474609375,316,-16.9921875,94.56298828125,-316,0.0
sC,m_leg_r,48133,1267,122.61474609375,316,-17.138671875,94.56298828125,-316,0.0
sC,m_arm_r,48567,666,155.302734375,166,0.0,131.572265625,-166,0.0
sC,m_arm_l,48567,666,155.302734375,166,0.0,131.572265625,-166,0.0
sC,m_arm_l,49233,1800,131.572265625,450,0.0,131.572265625,-450,0.0
sC,m_arm_r,49233,1800,131.572265625,450,0.0,131.572265625,-450,0.0
sC,m_leg_l,49400,1633,94.56298828125,408,0.0,94.56298828125,-408,0.0
sC,m_leg_r,49400,1633,94.56298828125,408,0.0,94.56298828125,-408,0.0
sC,m_arm_r,51033,2134,131.572265625,533,0.0,180.0,-533,0.0
sC,m_arm_l,51033,2134,131.572265625,533,0.0,180.0,-533,0.0
sC,m_leg_r,51033,2134,94.56298828125,533,0.0,185.01708984375,-533,0.0
sC,m_leg_l,51033,2134,94.56298828125,533,0.0,185.01708984375,-533,0.0
sC,m_arm_r,53167,3900,180.0,975,0.0,180.0,-975,0.0
