Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,balance_fast,Controller name:,acrobot_act,Duration:,12867,Created at,13/03/2026 13:35:51,,
Start positions,ArmL ArmR legL legR,178.76953125,178.76953125,191.02294921875,191.02294921875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,4867,191.02294921875,1216,0.0,191.02294921875,-1216,0.0
sC,m_arm_l,0,4867,178.76953125,1216,0.0,178.76953125,-1216,0.0
sC,m_arm_r,0,4867,178.76953125,1216,0.0,178.76953125,-1216,0.0
sC,m_leg_l,0,4867,191.02294921875,1216,0.0,191.02294921875,-1216,0.0
sC,m_arm_l,4867,266,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_leg_l,4867,3800,191.02294921875,950,0.0,209.8095703125,-950,0.0
sC,m_leg_r,4867,3800,191.02294921875,950,0.0,30.0,-950,0.0
sC,m_arm_r,4867,266,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_arm_r,5133,3800,178.76953125,950,0.0,-33.046875,-950,0.0
sC,m_arm_l,5133,3800,178.76953125,950,0.0,106.34765625,-950,0.0
sC,m_leg_r,8667,1400,30.0,350,0.0,30.0,-350,0.0
sC,m_leg_l,8667,1400,209.8095703125,350,0.0,209.8095703125,-350,0.0
sC,m_arm_l,8933,1400,106.34765625,350,0.0,106.34765625,-350,0.0
sC,m_arm_r,8933,1400,-33.046875,350,0.0,-33.046875,-350,0.0
sC,m_leg_l,10067,2666,209.8095703125,666,0.0,180.0,-666,0.0
sC,m_leg_r,10067,2666,30.0,666,0.0,180.0,-666,0.0
sC,m_arm_r,10333,2067,-33.046875,516,0.0,136.93359375,-516,0.0
sC,m_arm_l,10333,2067,106.34765625,516,0.0,136.93359375,-516,0.0
sC,m_arm_l,12400,467,136.93359375,116,0.0,136.93359375,-116,0.0
sC,m_arm_r,12400,467,136.93359375,116,0.0,136.93359375,-116,0.0
