Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,balance_mid,Controller name:,acrobot_act,Duration:,21133,Created at,09/01/2026 12:50:05,,
Start positions,ArmL ArmR legL legR,178.76953125,178.76953125,191.02294921875,191.02294921875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,6667,191.02294921875,1665,0.0,191.02294921875,-1665,0.0
sC,m_arm_l,0,6667,178.76953125,1665,0.0,178.76953125,-1665,0.0
sC,m_arm_r,0,6667,178.76953125,1665,0.0,178.76953125,-1665,0.0
sC,m_leg_l,0,6667,191.02294921875,1665,0.0,191.02294921875,-1665,0.0
sC,m_arm_l,6667,266,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_leg_l,6667,5800,191.02294921875,1449,0.0,209.8095703125,-1449,0.0
sC,m_leg_r,6667,5800,191.02294921875,1449,0.0,30.0,-1449,0.0
sC,m_arm_r,6667,266,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_arm_r,6933,5800,178.76953125,1449,0.0,-33.046875,-1449,0.0
sC,m_arm_l,6933,5800,178.76953125,1449,0.0,106.34765625,-1449,0.0
sC,m_leg_r,12467,2833,30.0,708,0.0,30.0,-708,0.0
sC,m_leg_l,12467,2833,209.8095703125,708,0.0,209.8095703125,-708,0.0
sC,m_arm_l,12733,2834,106.34765625,708,0.0,106.34765625,-708,0.0
sC,m_arm_r,12733,2834,-33.046875,708,0.0,-33.046875,-708,0.0
sC,m_leg_l,15300,5700,209.8095703125,1425,0.0,180.0,-1425,0.0
sC,m_leg_r,15300,5700,30.0,1425,0.0,180.0,-1425,0.0
sC,m_arm_r,15567,5100,-33.046875,1275,0.0,136.93359375,-1275,0.0
sC,m_arm_l,15567,5100,106.34765625,1275,0.0,136.93359375,-1275,0.0
sC,m_arm_l,20667,466,136.93359375,116,0.0,136.93359375,-116,0.0
sC,m_arm_r,20667,466,136.93359375,116,0.0,136.93359375,-116,0.0
