Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,balance_slow,Controller name:,acrobot_act,Duration:,28533,Created at,13/03/2026 13:35:51,,
Start positions,ArmL ArmR legL legR,178.76953125,178.76953125,191.02294921875,191.02294921875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,8533,191.02294921875,2133,0.0,191.02294921875,-2133,0.0
sC,m_arm_l,0,8533,178.76953125,2133,0.0,178.76953125,-2133,0.0
sC,m_arm_r,0,8533,178.76953125,2133,0.0,178.76953125,-2133,0.0
sC,m_leg_l,0,8533,191.02294921875,2133,0.0,191.02294921875,-2133,0.0
sC,m_arm_l,8533,267,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_leg_l,8533,8067,191.02294921875,2016,0.0,209.8095703125,-2016,0.0
sC,m_leg_r,8533,8067,191.02294921875,2016,0.0,30.0,-2016,0.0
sC,m_arm_r,8533,267,178.76953125,66,0.0,178.76953125,-66,0.0
sC,m_arm_r,8800,8067,178.76953125,2016,0.0,-33.046875,-2016,0.0
sC,m_arm_l,8800,8067,178.76953125,2016,0.0,106.34765625,-2016,0.0
sC,m_leg_r,16600,4000,30.0,1000,0.0,30.0,-1000,0.0
sC,m_leg_l,16600,4000,209.8095703125,1000,0.0,209.8095703125,-1000,0.0
sC,m_arm_l,16867,4000,106.34765625,1000,0.0,106.34765625,-1000,0.0
sC,m_arm_r,16867,4000,-33.046875,1000,0.0,-33.046875,-1000,0.0
sC,m_leg_l,20600,7800,209.8095703125,1950,0.0,180.0,-1950,0.0
sC,m_leg_r,20600,7800,30.0,1950,0.0,180.0,-1950,0.0
sC,m_arm_r,20867,7200,-33.046875,1800,0.0,136.93359375,-1800,0.0
sC,m_arm_l,20867,7200,106.34765625,1800,0.0,136.93359375,-1800,0.0
sC,m_arm_l,28067,466,136.93359375,116,0.0,136.93359375,-116,0.0
sC,m_arm_r,28067,466,136.93359375,116,0.0,136.93359375,-116,0.0
