Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,chair-to-handstand,Controller name:,acrobot_act,Duration:,21967,Created at,20/03/2025 17:56:26,,
Start positions,ArmL ArmR legL legR,108.017578125,108.017578125,134.99267578125,134.99267578125,0.0,0.0,0.0,0.0
sC,m_leg_r,0,3967,134.99267578125,993,0.0,323.44482421875,-991,7.5439453125
sC,m_arm_r,0,3967,108.017578125,993,0.0,233.26171875,-991,0.0
sC,m_arm_l,0,3967,108.017578125,993,0.0,233.26171875,-991,0.0
sC,m_leg_l,0,3967,134.99267578125,993,0.0,323.44482421875,-991,7.5439453125
sC,m_arm_l,3967,4000,233.26171875,1000,0.0,108.017578125,-1000,0.0
sC,m_arm_r,3967,4000,233.26171875,1000,0.0,108.017578125,-1000,0.0
sC,m_leg_l,3967,4000,323.44482421875,1000,-7.58056640625,89.9853515625,-1000,0.0
sC,m_leg_r,3967,4000,323.44482421875,1000,-7.58056640625,89.9853515625,-1000,0.0
sC,m_arm_l,7967,2000,108.017578125,500,0.0,-21.62109375,-500,0.0
sC,m_arm_r,7967,2000,108.017578125,500,0.0,-21.62109375,-500,0.0
sC,m_leg_l,7967,2000,89.9853515625,500,0.0,84.01611328125,-500,0.0
sC,m_leg_r,7967,2000,89.9853515625,500,0.0,84.01611328125,-500,0.0
sC,m_leg_l,9967,2066,84.01611328125,516,0.0,180.0,-516,0.0
sC,m_arm_l,9967,2066,-21.62109375,516,0.0,0.0,-516,0.0
sC,m_leg_r,9967,2066,84.01611328125,516,0.0,180.0,-516,0.0
sC,m_arm_r,9967,2066,-21.62109375,516,0.0,0.0,-516,0.0
sC,m_arm_r,12033,1967,0.0,491,0.0,0.0,-491,0.0
sC,m_arm_l,12033,1967,0.0,491,0.0,0.0,-491,0.0
sC,m_leg_l,12033,1967,180.0,491,0.0,180.0,-491,0.0
sC,m_leg_r,12033,1967,180.0,491,0.0,180.0,-491,0.0
sC,m_leg_l,14000,1967,180.0,491,0.0,89.9853515625,-491,0.0
sC,m_arm_r,14000,1967,0.0,491,0.0,0.0,-491,0.0
sC,m_leg_r,14000,1967,180.0,491,0.0,89.9853515625,-491,0.0
sC,m_arm_l,14000,1967,0.0,491,0.0,0.0,-491,0.0
sC,m_leg_l,15967,4000,89.9853515625,1000,0.0,89.9853515625,-1000,0.0
sC,m_leg_r,15967,4000,89.9853515625,1000,0.0,89.9853515625,-1000,0.0
sC,m_arm_l,15967,4000,0.0,1000,0.0,180.0,-1000,0.0
sC,m_arm_r,15967,4000,0.0,1000,0.0,180.0,-1000,0.0
sC,m_leg_l,19967,2000,89.9853515625,500,0.0,186.005859375,-500,0.0
sC,m_leg_r,19967,2000,89.9853515625,500,0.0,186.005859375,-500,0.0
