Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,circusstad_acro,Controller name:,acrobot_act,Duration:,367067,Created at,03/12/2024 23:25:25,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,6267,185.01708984375,1567,0.0,185.01708984375,-1567,0.0
sC,m_arm_r,0,6200,180.0,1550,0.0,180.0,-1550,0.0
sC,m_arm_l,0,6200,180.0,1550,0.0,180.0,-1550,0.0
sC,m_leg_l,0,6267,185.01708984375,1567,0.0,185.01708984375,-1567,0.0
sC,m_arm_r,6200,1267,180.0,317,0.0,180.0,-317,0.0
sC,m_arm_l,6200,1267,180.0,317,0.0,7.20703125,-317,0.0
sC,m_leg_r,6267,866,185.01708984375,217,0.0,186.9580078125,-217,0.0
sC,m_leg_l,6267,866,185.01708984375,217,0.0,186.9580078125,-217,0.0
sC,m_leg_r,7133,1234,186.9580078125,308,0.0,186.9580078125,-308,0.0
sC,m_leg_l,7133,1234,186.9580078125,308,0.0,186.9580078125,-308,0.0
sC,m_arm_l,7467,900,7.20703125,225,0.0,7.20703125,-225,0.0
sC,m_arm_r,7467,900,180.0,225,0.0,180.0,-225,0.0
sC,m_leg_l,8367,1033,186.9580078125,258,0.0,185.01708984375,-258,0.0
sC,m_arm_l,8367,1700,7.20703125,425,0.0,7.20703125,-425,0.0
sC,m_leg_r,8367,1033,186.9580078125,258,0.0,185.01708984375,-258,0.0
sC,m_arm_r,8367,1033,180.0,258,0.0,7.20703125,-258,0.0
sC,m_leg_l,9400,4267,185.01708984375,1043,0.0,185.01708984375,-1261,0.0
sC,m_leg_r,9400,4267,185.01708984375,1043,0.0,185.01708984375,-1261,0.0
sC,m_arm_r,9400,667,7.20703125,167,0.0,7.20703125,-167,0.0
sC,m_arm_l,10067,433,7.20703125,108,0.0,-15.1171875,-108,0.0
sC,m_arm_r,10067,433,7.20703125,108,0.0,24.873046875,-108,0.0
sC,m_arm_r,10500,2300,24.873046875,575,0.0,24.873046875,-575,0.0
sC,m_arm_l,10500,1267,-15.1171875,317,0.0,-15.1171875,-317,0.0
