Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,circusstad_ending_alive,Controller name:,acrobot_act,Duration:,145467,Created at,08/07/2024 16:46:40,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,2067,185.01708984375,517,0.0,185.01708984375,-517,0.0
sC,m_leg_r,0,2067,185.01708984375,517,0.0,185.01708984375,-517,0.0
sC,m_arm_r,0,17167,180.0,4292,0.0,180.0,-4292,0.0
sC,m_arm_l,0,7633,180.0,1908,0.0,180.0,-1908,0.0
sC,m_leg_l,2067,666,185.01708984375,167,0.0,206.55029296875,-167,0.0
sC,m_leg_r,2067,666,185.01708984375,167,0.0,206.55029296875,-167,0.0
sC,m_leg_l,2733,2467,206.55029296875,617,0.0,206.55029296875,-617,0.0
sC,m_leg_r,2733,2467,206.55029296875,617,0.0,206.55029296875,-617,0.0
sC,m_leg_r,5200,2367,206.55029296875,592,0.0,185.01708984375,-592,0.0
sC,m_leg_l,5200,2367,206.55029296875,592,0.0,185.01708984375,-592,0.0
sC,m_leg_l,7567,43600,185.01708984375,10900,0.0,185.01708984375,-10900,0.0
sC,m_leg_r,7567,23733,185.01708984375,5933,0.0,185.01708984375,-5933,0.0
sC,m_arm_l,7633,5967,180.0,1492,0.0,23.818359375,-1492,0.0
sC,m_arm_l,13600,2100,23.818359375,525,0.0,23.818359375,-525,0.0
sC,m_arm_l,15700,333,23.818359375,83,0.0,34.27734375,-83,0.0
sC,m_arm_l,16033,5534,34.27734375,1383,0.0,34.27734375,-1383,0.0
sC,m_arm_r,17167,1833,180.0,458,0.0,160.6640625,-458,0.0
sC,m_arm_r,19000,2567,160.6640625,642,0.0,160.6640625,-642,0.0
sC,m_arm_l,21567,6633,34.27734375,1658,0.0,178.76953125,-1658,0.0
sC,m_arm_r,21567,4866,160.6640625,1217,0.0,179.384765625,-1217,0.0
sC,m_arm_r,26433,37100,179.384765625,9275,0.0,179.384765625,-9275,0.0
sC,m_arm_l,28200,8900,178.76953125,2225,0.0,178.76953125,-2225,0.0
sC,m_leg_r,31300,767,185.01708984375,192,0.0,204.20654296875,-192,0.0
sC,m_leg_r,32067,19100,204.20654296875,4775,0.0,204.20654296875,-4775,0.0
sC,m_arm_l,37100,3567,178.76953125,892,0.0,132.1875,-892,0.0
sC,m_arm_l,40667,1133,132.1875,283,0.0,132.1875,-283,0.0
sC,m_arm_l,41800,1967,132.1875,492,0.0,154.423828125,-492,0.0
sC,m_arm_l,43767,1666,154.423828125,417,0.0,154.423828125,-417,0.0
