Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,circusstad_microphone,Controller name:,acrobot_act,Duration:,71333,Created at,28/04/2024 23:57:43,,
Start positions,ArmL ArmR legL legR,180.0,70.6640625,190.72998046875,190.72998046875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,42867,190.72998046875,10682,0.0,190.72998046875,-10960,0.0
sC,m_leg_l,0,43967,190.72998046875,10992,0.0,190.72998046875,-10992,0.0
sC,m_arm_r,0,4533,70.6640625,1133,0.0,70.6640625,-1133,-1.318359375
sC,m_arm_l,0,43967,180.0,10992,0.0,180.0,-10992,0.0
sC,m_arm_r,4533,1867,70.6640625,845,0.966796875,108.10546875,-89,-0.263671875
sC,m_arm_r,6400,467,108.10546875,118,0.3515625,108.10546875,-133,0.0
sC,m_arm_r,6867,533,108.10546875,133,0.0,70.6640625,-133,-0.17578125
sC,m_arm_r,7400,5533,70.6640625,1383,1.669921875,70.6640625,-1383,-1.669921875
sC,m_arm_r,12933,2467,70.6640625,617,0.703125,108.10546875,-617,-1.845703125
sC,m_arm_r,15400,900,108.10546875,225,0.703125,108.10546875,-225,0.0
sC,m_arm_r,16300,733,108.10546875,183,0.0,70.6640625,-183,-0.17578125
sC,m_arm_r,17033,4834,70.6640625,1208,1.40625,70.6640625,-1208,-1.40625
sC,m_arm_r,21867,4966,70.6640625,1242,1.494140625,108.10546875,-1242,-3.779296875
sC,m_arm_r,26833,400,108.10546875,100,0.263671875,70.6640625,-100,-0.087890625
sC,m_arm_r,27233,10100,70.6640625,2525,2.98828125,70.6640625,-2525,0.0
sC,m_arm_r,37333,267,70.6640625,67,0.0,73.828125,-67,0.0
sC,m_arm_r,37600,233,73.828125,58,0.0,71.982421875,-58,0.0
sC,m_arm_r,37833,267,71.982421875,67,0.0,74.267578125,-67,0.0
sC,m_arm_r,38100,600,74.267578125,150,0.0,81.9140625,-150,0.0
sC,m_arm_r,38700,13000,81.9140625,3250,0.0,81.9140625,-3250,0.0
sC,m_leg_r,42867,233,190.72998046875,78,0.0,195.41748046875,-77,0.0
sC,m_leg_r,43100,200,195.41748046875,67,0.0,190.72998046875,-66,0.0
sC,m_leg_r,43300,433,190.72998046875,108,0.0,94.74609375,-108,0.0
sC,m_leg_l,43967,1766,190.72998046875,442,0.0,94.74609375,-442,0.0
sC,m_arm_l,43967,1766,180.0,442,0.0,139.04296875,-442,0.0
sC,m_arm_r,51700,8833,81.9140625,2208,0.0,-65.302734375,-2208,0.0
sC,m_arm_r,60533,3300,-65.302734375,825,0.0,-65.302734375,-825,0.0
sC,m_arm_r,63833,7500,-65.302734375,1875,0.0,-101.25,-1875,0.0
