Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,dreieich_sit_juggle,Controller name:,acrobot_act,Duration:,19800,Created at,12/08/2025 16:43:51,,
Start positions,ArmL ArmR legL legR,113.73046875,84.7265625,9999.0,9999.0,0.0,0.0,0.0,0.0
sC,m_arm_l,0,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,0,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,467,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,467,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_r,967,466,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,967,466,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,1433,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,1433,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_l,1933,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,1933,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,2400,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,2400,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,2900,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,2900,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,3367,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,3367,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_r,3867,466,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,3867,466,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,4333,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,4333,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,4833,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,4833,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_l,5300,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,5300,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,5800,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,5800,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,6267,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,6267,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,6767,466,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,6767,466,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_r,7233,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,7233,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_l,7733,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,7733,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,8200,500,84.7265625,125,0.0,113.73046875,-125,0.0
sC,m_arm_r,8200,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_r,8700,467,84.7265625,116,0.0,113.73046875,-116,0.0
sC,m_arm_l,8700,467,113.73046875,116,0.0,84.7265625,-116,0.0
sC,m_arm_r,9167,500,113.73046875,125,0.0,84.7265625,-125,0.0
sC,m_arm_l,9167,500,84.7265625,125,0.0,113.73046875,-125,0.0
