Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,dst-backturn-to-standing-isolated,Controller name:,acrobot_act,Duration:,7333,Created at,26/11/2024 14:37:31,,
Start positions,ArmL ArmR legL legR,0.615234375,0.615234375,180.76904296875,180.76904296875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,700,180.76904296875,175,0.0,167.3291015625,-175,0.0
sC,m_arm_l,0,700,0.615234375,175,0.0,30.05859375,-175,0.0
sC,m_arm_r,0,700,0.615234375,175,0.0,30.05859375,-175,0.0
sC,m_leg_l,0,700,180.76904296875,175,0.0,167.3291015625,-175,0.0
sC,m_arm_l,700,2633,30.05859375,658,0.0,30.05859375,-658,0.0
sC,m_leg_l,700,2633,167.3291015625,646,0.0,167.3291015625,-749,0.0
sC,m_arm_r,700,2633,30.05859375,658,0.0,30.05859375,-658,0.0
sC,m_leg_r,700,2633,167.3291015625,646,0.0,167.3291015625,-749,0.0
sC,m_leg_r,3333,467,167.3291015625,165,0.0,182.74658203125,-125,9.521484375
sC,m_arm_r,3333,467,30.05859375,119,0.0,71.982421875,-93,3.076171875
sC,m_arm_l,3333,467,30.05859375,119,0.0,71.982421875,-93,3.076171875
sC,m_leg_l,3333,467,167.3291015625,153,0.0,182.74658203125,-125,9.521484375
sC,m_leg_r,3800,700,182.74658203125,182,-13.916015625,89.9853515625,-193,0.0
sC,m_arm_r,3800,700,71.982421875,101,-3.33984375,0.0,-533,-6.15234375
sC,m_leg_l,3800,700,182.74658203125,182,-13.916015625,89.9853515625,-193,0.0
sC,m_arm_l,3800,700,71.982421875,101,-3.33984375,0.0,-533,-6.15234375
sC,m_leg_r,4500,867,89.9853515625,65,0.0,239.9853515625,-210,0.0
sC,m_arm_l,4500,633,0.0,156,1.845703125,56.337890625,-152,0.0
sC,m_arm_r,4500,633,0.0,156,1.845703125,56.337890625,-152,0.0
sC,m_leg_l,4500,867,89.9853515625,65,0.0,239.9853515625,-210,0.0
sC,m_arm_l,5133,1167,56.337890625,286,0.0,36.03515625,-91,0.0
sC,m_arm_r,5133,1167,56.337890625,286,0.0,36.03515625,-91,0.0
sC,m_leg_l,5367,933,239.9853515625,235,0.0,186.005859375,-91,0.0
sC,m_leg_r,5367,933,239.9853515625,235,0.0,186.005859375,-91,0.0
sC,m_arm_l,6300,367,36.03515625,91,0.0,36.03515625,-166,0.0
sC,m_leg_l,6300,367,186.005859375,91,0.0,186.005859375,-166,0.0
sC,m_leg_r,6300,367,186.005859375,91,0.0,186.005859375,-166,0.0
sC,m_arm_r,6300,367,36.03515625,91,0.0,36.03515625,-166,0.0
sC,m_arm_l,6667,666,36.03515625,166,0.0,56.6015625,-171,0.0
sC,m_leg_r,6667,666,186.005859375,166,0.0,186.55517578125,-167,0.0
sC,m_arm_r,6667,666,36.03515625,166,0.0,94.5703125,-171,0.0
sC,m_leg_l,6667,666,186.005859375,166,0.0,201.49658203125,-167,0.0
