Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,dst-craddle-walkover,Controller name:,acrobot_act,Duration:,9067,Created at,26/11/2024 14:37:31,,
Start positions,ArmL ArmR legL legR,-43.2421875,-7.20703125,105.5859375,105.5859375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,1533,105.5859375,383,0.0,105.5859375,-383,0.0
sC,m_arm_l,0,1533,-43.2421875,383,0.0,-43.2421875,-383,0.0
sC,m_arm_r,0,1533,-7.20703125,383,0.0,-7.20703125,-383,0.0
sC,m_leg_r,0,1533,105.5859375,383,0.0,105.5859375,-383,0.0
sC,m_arm_l,1533,834,-43.2421875,208,0.0,-51.85546875,-208,0.0
sC,m_leg_r,1533,834,105.5859375,208,0.0,152.0947265625,-200,-14.90478515625
sC,m_arm_r,1533,834,-7.20703125,208,0.0,-48.8671875,-208,0.0
sC,m_leg_l,1533,834,105.5859375,208,0.0,157.77099609375,-200,-14.90478515625
sC,m_arm_l,2367,666,-51.85546875,166,0.0,0.0,-166,0.0
sC,m_arm_r,2367,666,-48.8671875,166,0.0,7.20703125,-166,0.0
sC,m_leg_r,2367,466,152.0947265625,112,8.349609375,177.216796875,-116,0.0
sC,m_leg_l,2367,466,157.77099609375,112,8.349609375,200.98388671875,-113,-4.0283203125
sC,m_leg_l,2833,1267,200.98388671875,334,11.90185546875,268.6962890625,-316,0.0
sC,m_leg_r,2833,1800,177.216796875,450,0.0,45.1611328125,-450,0.0
sC,m_arm_r,3033,1500,7.20703125,375,0.0,38.84765625,-375,0.0
sC,m_arm_l,3033,1500,0.0,375,0.0,38.84765625,-375,0.0
sC,m_leg_l,4100,567,268.6962890625,141,0.0,268.6962890625,-141,0.0
sC,m_arm_l,4533,1367,38.84765625,341,0.0,38.84765625,-341,0.0
sC,m_arm_r,4533,1367,38.84765625,341,0.0,38.84765625,-341,0.0
sC,m_leg_r,4633,600,45.1611328125,150,0.0,45.1611328125,-150,0.0
sC,m_leg_l,4667,3233,268.6962890625,808,0.0,94.6728515625,-808,-0.18310546875
sC,m_leg_r,5233,667,45.1611328125,166,0.0,45.1611328125,-166,0.0
sC,m_arm_l,5900,900,38.84765625,228,0.0,147.392578125,-341,8.7890625
sC,m_arm_r,5900,900,38.84765625,228,0.0,143.525390625,-341,8.7890625
sC,m_leg_r,5900,2000,45.1611328125,500,0.0,276.8994140625,-500,0.0
sC,m_arm_r,6800,1100,143.525390625,407,-10.458984375,0.0,-272,0.0
sC,m_arm_l,6800,1100,147.392578125,407,-10.458984375,0.0,-272,0.0
sC,m_leg_l,7900,1167,94.6728515625,291,0.0732421875,89.9853515625,-291,0.0
sC,m_leg_r,7900,1167,276.8994140625,291,0.0,270.0146484375,-291,0.0
sC,m_arm_l,7900,1167,0.0,291,0.0,0.0,-291,0.0
sC,m_arm_r,7900,1167,0.0,291,0.0,0.0,-291,0.0
