Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,dst-foot-play,Controller name:,acrobot_act,Duration:,56067,Created at,26/11/2024 14:37:31,,
Start positions,ArmL ArmR legL legR,56.6015625,94.5703125,201.49658203125,186.55517578125,0.0,0.0,0.0,0.0
sC,m_leg_l,0,2233,201.49658203125,558,0.0,201.49658203125,-558,0.0
sC,m_arm_l,0,2233,56.6015625,558,0.0,56.6015625,-558,0.0
sC,m_arm_r,0,2233,94.5703125,558,0.0,94.5703125,-558,0.0
sC,m_leg_r,0,2233,186.55517578125,558,0.0,186.55517578125,-497,0.0
sC,m_arm_l,2233,6634,56.6015625,1658,0.0,47.197265625,-1658,0.0
sC,m_leg_r,2233,2000,186.55517578125,2062,0.0,186.55517578125,-499,2.60009765625
sC,m_arm_r,2233,6634,94.5703125,1658,0.0,94.5703125,-1658,0.0
sC,m_leg_l,2233,6634,201.49658203125,1658,0.0,201.49658203125,-1658,0.0
sC,m_leg_r,4233,2767,186.55517578125,691,-3.5888671875,34.1015625,-707,0.54931640625
sC,m_leg_r,7000,1867,34.1015625,466,-0.3662109375,34.1015625,-466,0.0
sC,m_leg_l,8867,1400,201.49658203125,350,0.0,227.20458984375,-350,-0.76904296875
sC,m_arm_r,8867,1433,94.5703125,358,0.0,186.064453125,-358,0.0
sC,m_arm_l,8867,1400,47.197265625,350,0.0,47.197265625,-350,0.0
sC,m_leg_r,8867,6666,34.1015625,1666,0.0,34.1015625,-1666,0.0
sC,m_leg_l,10267,2500,227.20458984375,625,1.3916015625,227.20458984375,-625,0.0
sC,m_arm_l,10267,2500,47.197265625,625,0.0,47.197265625,-625,0.0
sC,m_arm_r,10300,5100,186.064453125,1275,0.0,180.0,-1275,0.0
sC,m_leg_l,12767,1000,227.20458984375,250,0.0,197.54150390625,-250,0.0
sC,m_arm_l,12767,1000,47.197265625,250,0.0,14.94140625,-250,0.0
sC,m_arm_l,13767,1300,14.94140625,325,0.0,14.94140625,-325,0.0
sC,m_leg_l,13767,1766,197.54150390625,441,0.0,197.54150390625,-441,0.0
sC,m_arm_l,15067,3233,14.94140625,808,0.0,0.0,-808,0.0
sC,m_arm_r,15400,833,180.0,208,0.0,167.34375,-208,0.0
sC,m_leg_l,15533,767,197.54150390625,191,0.0,91.70654296875,-191,0.0
sC,m_leg_r,15533,734,34.1015625,183,0.0,89.5458984375,-183,0.0
sC,m_arm_r,16233,2067,167.34375,516,0.0,0.0,-516,0.0
sC,m_leg_r,16267,900,89.5458984375,225,0.0,186.298828125,-225,0.0
sC,m_leg_l,16300,867,91.70654296875,216,0.0,186.298828125,-216,0.0
sC,m_leg_l,17167,466,186.298828125,116,0.0,186.298828125,-116,0.0
sC,m_leg_r,17167,466,186.298828125,116,0.0,186.298828125,-116,0.0
sC,m_leg_r,17633,4000,186.298828125,1000,0.0,186.298828125,-1000,0.0
sC,m_leg_l,17633,4000,186.298828125,1000,0.0,186.298828125,-1000,0.0
sC,m_arm_l,18300,3333,0.0,833,0.0,0.0,-833,0.0
sC,m_arm_r,18300,3333,0.0,833,0.0,0.0,-833,0.0
sC,m_leg_r,21633,1400,186.298828125,350,0.0,105.5859375,-350,0.0
sC,m_leg_l,21633,1400,186.298828125,350,0.0,105.5859375,-350,0.0
sC,m_arm_r,21633,1400,0.0,350,0.0,-7.20703125,-350,0.0
sC,m_arm_l,21633,1400,0.0,350,0.0,-43.2421875,-350,0.0
sC,m_arm_l,23033,2134,-43.2421875,533,0.0,-43.2421875,-533,0.0
sC,m_arm_r,23033,2134,-7.20703125,533,0.0,-7.20703125,-533,0.0
sC,m_leg_r,23033,2134,105.5859375,533,0.0,105.5859375,-533,0.0
sC,m_leg_l,23033,2134,105.5859375,533,0.0,105.5859375,-533,0.0
sC,m_leg_l,25167,833,105.5859375,208,0.0,157.77099609375,-200,-14.90478515625
sC,m_arm_l,25167,833,-43.2421875,208,0.0,-57.568359375,-208,0.0
sC,m_leg_r,25167,833,105.5859375,208,0.0,152.0947265625,-200,-14.90478515625
sC,m_arm_r,25167,833,-7.20703125,208,0.0,-57.568359375,-208,0.0
sC,m_leg_r,26000,467,152.0947265625,112,8.349609375,177.216796875,-116,0.0
sC,m_leg_l,26000,467,157.77099609375,112,8.349609375,200.98388671875,-113,-4.0283203125
sC,m_arm_r,26000,467,-57.568359375,116,0.0,-48.8671875,-116,0.0
sC,m_arm_l,26000,467,-57.568359375,116,0.0,-51.85546875,-116,0.0
sC,m_leg_r,26467,1800,177.216796875,450,0.0,45.1611328125,-450,0.0
sC,m_arm_r,26467,666,-48.8671875,166,0.0,7.20703125,-166,0.0
sC,m_leg_l,26467,1266,200.98388671875,334,11.90185546875,268.6962890625,-316,0.0
sC,m_arm_l,26467,666,-51.85546875,166,0.0,0.0,-166,0.0
sC,m_arm_l,27133,1034,0.0,258,0.0,38.84765625,-258,0.0
sC,m_arm_r,27133,1034,7.20703125,258,0.0,38.84765625,-258,0.0
sC,m_leg_l,27733,567,268.6962890625,141,0.0,268.6962890625,-141,0.0
sC,m_arm_r,28167,1366,38.84765625,341,0.0,38.84765625,-341,0.0
sC,m_arm_l,28167,1366,38.84765625,341,0.0,38.84765625,-341,0.0
sC,m_leg_r,28267,600,45.1611328125,150,0.0,45.1611328125,-150,0.0
sC,m_leg_l,28300,3233,268.6962890625,808,0.0,94.6728515625,-808,-0.18310546875
sC,m_leg_r,28867,666,45.1611328125,166,0.0,45.1611328125,-166,0.0
sC,m_arm_l,29533,2000,38.84765625,500,0.0,0.0,-500,0.0
sC,m_leg_r,29533,2000,45.1611328125,500,0.0,276.8994140625,-500,0.0
sC,m_arm_r,29533,2000,38.84765625,500,0.0,0.0,-500,0.0
sC,m_leg_r,31533,1167,276.8994140625,291,0.0,270.0146484375,-291,0.0
sC,m_arm_r,31533,1167,0.0,291,0.0,0.0,-291,0.0
sC,m_arm_l,31533,1167,0.0,291,0.0,0.0,-291,0.0
sC,m_leg_l,31533,1167,94.6728515625,291,0.0732421875,89.9853515625,-291,0.0
sC,m_leg_r,32700,1067,270.0146484375,266,0.0,270.0146484375,-266,0.0
sC,m_arm_r,32700,267,0.0,66,0.0,-7.20703125,-66,0.0
sC,m_leg_l,32700,1067,89.9853515625,266,0.0,89.9853515625,-266,0.0
sC,m_arm_l,32700,267,0.0,66,0.0,7.20703125,-66,0.0
sC,m_arm_l,32967,266,7.20703125,66,0.0,7.20703125,-66,0.0
sC,m_arm_r,32967,266,-7.20703125,66,0.0,-7.20703125,-66,0.0
sC,m_arm_l,33233,267,7.20703125,66,0.0,0.0,-66,0.0
sC,m_arm_r,33233,267,-7.20703125,66,0.0,0.0,-66,0.0
sC,m_arm_l,33500,267,0.0,66,0.0,0.0,-66,0.0
sC,m_arm_r,33500,267,0.0,66,0.0,0.0,-66,0.0
sC,m_leg_r,33767,366,270.0146484375,91,0.0,186.005859375,-91,0.0
sC,m_leg_l,33767,366,89.9853515625,91,0.0,186.005859375,-91,0.0
sC,m_arm_r,33767,1366,0.0,341,0.0,0.0,-341,0.0
sC,m_arm_l,33767,1366,0.0,341,0.0,0.0,-341,0.0
sC,m_leg_r,34133,1000,186.005859375,250,0.0,186.005859375,-250,0.0
sC,m_leg_l,34133,1000,186.005859375,250,0.0,186.005859375,-250,0.0
sC,m_arm_r,35133,1700,0.0,425,0.0,-143.96484375,-425,12.919921875
sC,m_leg_l,35133,1700,186.005859375,425,0.0,200.98388671875,-425,0.0
sC,m_leg_r,35133,1700,186.005859375,425,0.0,239.3994140625,-425,0.0
sC,m_arm_l,35133,1700,0.0,425,0.0,-28.828125,-425,0.0
sC,m_arm_l,36833,967,-28.828125,241,0.0,-28.828125,-241,0.0
sC,m_arm_r,36833,967,-143.96484375,241,-7.3828125,-143.96484375,-241,7.822265625
sC,m_leg_l,36833,867,200.98388671875,216,0.0,200.98388671875,-216,0.0
sC,m_leg_r,36833,867,239.3994140625,216,0.0,239.3994140625,-216,0.0
sC,m_leg_l,37700,867,200.98388671875,216,0.0,185.01708984375,-216,0.0
sC,m_leg_r,37700,867,239.3994140625,216,0.0,185.01708984375,-216,0.0
sC,m_arm_r,37800,1333,-143.96484375,333,-10.810546875,180.0,-333,0.0
sC,m_arm_l,37800,1033,-28.828125,258,0.0,14.94140625,-258,-13.88671875
sC,m_leg_r,38567,3133,185.01708984375,783,0.0,185.01708984375,-783,0.0
sC,m_leg_l,38567,3133,185.01708984375,783,0.0,185.01708984375,-783,0.0
sC,m_arm_l,38833,1367,14.94140625,341,18.45703125,180.0,-341,0.0
sC,m_arm_r,39133,2567,180.0,641,0.0,180.0,-641,0.0
sC,m_arm_l,40200,1500,180.0,375,0.0,180.0,-375,0.0
sC,m_leg_l,41700,533,185.01708984375,133,0.0,180.6591796875,-133,0.0
sC,m_leg_r,41700,533,185.01708984375,133,0.0,180.6591796875,-133,0.0
sC,m_arm_l,41700,533,180.0,133,0.0,5.185546875,-133,0.0
sC,m_arm_r,41700,533,180.0,133,0.0,5.185546875,-133,0.0
sC,m_leg_l,42233,4834,180.6591796875,1208,0.0,180.6591796875,-1208,0.0
sC,m_leg_r,42233,4834,180.6591796875,1208,0.0,180.6591796875,-1208,0.0
sC,m_arm_r,42233,4834,5.185546875,1208,0.0,5.185546875,-1208,0.0
sC,m_arm_l,42233,4834,5.185546875,1208,0.0,5.185546875,-1208,0.0
sC,m_arm_l,47067,2266,5.185546875,566,0.0,84.462890625,-566,0.0
sC,m_leg_r,47067,2266,180.6591796875,566,0.0,95.2587890625,-566,0.0
sC,m_leg_l,47067,2266,180.6591796875,566,0.0,211.97021484375,-566,0.0
sC,m_arm_r,47067,2266,5.185546875,566,0.0,85.693359375,-566,0.0
sC,m_leg_l,49333,3834,211.97021484375,958,0.0,211.97021484375,-958,0.0
sC,m_arm_l,49333,3834,84.462890625,958,0.0,84.462890625,-958,0.0
sC,m_arm_r,49333,4300,85.693359375,1075,0.0,85.693359375,-1075,0.0
sC,m_leg_r,49333,3834,95.2587890625,958,0.0,95.2587890625,-958,0.0
sC,m_leg_l,53167,2433,211.97021484375,608,0.0,185.01708984375,-608,0.0
sC,m_leg_r,53167,2433,95.2587890625,608,0.0,185.01708984375,-608,0.0
sC,m_arm_l,53167,2900,84.462890625,725,0.0,180.0,-725,0.0
