Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,greeting_bow_small,Controller name:,acrobot_greeting,Duration:,2833
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,2833,180.0,708,0.0,180.0,-708,0.0
sC,m_leg_r,0,1100,185.01708984375,275,0.0,154.8046875,-275,0.0
sC,m_leg_l,0,1100,185.01708984375,275,0.0,154.8046875,-275,0.0
sC,m_arm_r,0,2833,180.0,708,0.0,180.0,-708,0.0
sC,m_leg_l,1100,700,154.8046875,175,0.0,154.8046875,-175,0.0
sC,m_leg_r,1100,700,154.8046875,175,0.0,154.8046875,-175,0.0
sC,m_leg_l,1800,1033,154.8046875,258,0.0,185.01708984375,-258,0.0
sC,m_leg_r,1800,1033,154.8046875,258,0.0,185.01708984375,-258,0.0
