Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,greetings_wave,Controller name:,acrobot_act,Duration:,7500,Created at,08/07/2024 16:46:39,,
Start positions,ArmL ArmR legL legR,180.0,180.0,999.0,999.0,0.0,0.0,0.0,0.0
sC,m_arm_r,0,1000,180.0,250,0.0,5.185546875,-250,0.0
sC,m_arm_l,0,1000,180.0,250,0.0,5.185546875,-250,0.0
sC,m_arm_r,1000,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_l,1000,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_r,1433,434,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_l,1433,434,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_l,1867,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_r,1867,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_l,2300,433,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_r,2300,433,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_l,2733,434,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_r,2733,434,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_l,3167,433,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_r,3167,433,25.927734375,108,0.0,5.185546875,-108,0.0
sC,m_arm_l,3600,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_r,3600,433,5.185546875,108,0.0,25.927734375,-108,0.0
sC,m_arm_l,4033,2000,25.927734375,500,0.0,20.126953125,-500,0.0
sC,m_arm_r,4033,2000,25.927734375,500,0.0,20.126953125,-500,0.0
sC,m_arm_r,6033,1467,20.126953125,367,0.0,180.0,-367,0.0
sC,m_arm_l,6033,1467,20.126953125,367,0.0,180.0,-367,0.0
