Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,iso-forhead-balance,Controller name:,acrobot_act,Duration:,8400,Created at,03/12/2024 23:25:26,,
Start positions,ArmL ArmR legL legR,185.80078125,188.173828125,191.42578125,191.68212890625,0.0,0.0,0.0,0.0
sC,m_leg_r,0,3733,191.68212890625,933,0.0,30.62255859375,-933,0.0
sC,m_leg_l,0,3733,191.42578125,933,0.0,209.5166015625,-933,0.0
sC,m_arm_r,0,3733,188.173828125,933,0.0,-27.685546875,-933,2.28515625
sC,m_arm_l,0,33,185.80078125,8,-0.3515625,184.5703125,-8,0.3515625
sC,m_arm_l,33,3700,184.5703125,925,-44.296875,108.80859375,-925,0.0
sC,m_arm_l,3733,1400,108.80859375,350,0.0,108.80859375,-350,0.0
sC,m_arm_r,3733,1400,-27.685546875,350,-0.87890625,-27.685546875,-350,0.87890625
sC,m_leg_l,3733,1400,209.5166015625,350,0.0,209.5166015625,-350,0.0
sC,m_leg_r,3733,1400,30.62255859375,350,0.0,30.62255859375,-350,0.0
sC,m_leg_r,5133,3267,30.62255859375,816,0.0,180.0,-816,0.0
sC,m_arm_l,5133,3267,108.80859375,816,0.0,135.966796875,-816,0.0
sC,m_arm_r,5133,3267,-27.685546875,816,-1.93359375,135.966796875,-816,0.0
sC,m_leg_l,5133,3267,209.5166015625,816,0.0,180.0,-816,0.0
