Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,iso-shoulderbird-kneehandstand,Controller name:,acrobot_act,Duration:,22167,Created at,20/03/2025 17:56:26,,
Start positions,ArmL ArmR legL legR,93.603515625,97.03125,185.09033203125,185.09033203125,0.0,0.0,0.0,0.0
sC,m_arm_r,0,2933,97.03125,733,0.0,107.138671875,-733,0.0
sC,m_arm_l,0,2933,93.603515625,733,0.0,105.732421875,-733,0.0
sC,m_leg_l,0,967,185.09033203125,241,0.0,192.2314453125,-241,0.0
sC,m_leg_r,0,967,185.09033203125,241,0.0,216.73095703125,-241,-1.57470703125
sC,m_leg_l,967,1300,192.2314453125,325,0.0,277.998046875,-325,0.0
sC,m_leg_r,967,1300,216.73095703125,325,2.16064453125,100.01953125,-325,0.0
sC,m_leg_l,2267,1433,277.998046875,358,0.0,180.0,-358,0.0
sC,m_leg_r,2267,1433,100.01953125,358,0.0,180.0,-358,0.0
sC,m_arm_l,2933,567,105.732421875,141,0.0,105.732421875,-141,0.0
sC,m_arm_r,2933,334,107.138671875,83,0.0,107.138671875,-83,0.0
sC,m_arm_r,3267,900,107.138671875,225,0.0,0.0,-225,0.0
sC,m_arm_l,3500,1367,105.732421875,341,0.0,0.0,-341,0.0
sC,m_leg_l,3700,1167,180.0,291,0.0,180.0,-291,0.0
sC,m_leg_r,3700,1167,180.0,291,0.0,180.0,-291,0.0
sC,m_arm_r,4167,700,0.0,175,0.0,0.0,-175,0.0
sC,m_leg_r,4867,733,180.0,183,0.0,180.0,-183,0.0
sC,m_arm_r,4867,733,0.0,183,0.0,0.0,-183,0.0
sC,m_leg_l,4867,733,180.0,183,0.0,180.0,-183,0.0
sC,m_arm_l,4867,733,0.0,183,0.0,0.0,-183,0.0
sC,m_arm_l,5600,400,0.0,100,0.0,-7.20703125,-100,0.0
sC,m_arm_r,5600,400,0.0,100,0.0,7.20703125,-100,0.0
sC,m_leg_l,5600,400,180.0,100,0.0,186.005859375,-100,0.0
sC,m_leg_r,5600,400,180.0,100,0.0,173.994140625,-100,0.0
sC,m_leg_r,6000,500,173.994140625,125,0.0,186.005859375,-125,0.0
sC,m_leg_l,6000,500,186.005859375,125,0.0,173.994140625,-125,0.0
sC,m_arm_r,6000,500,7.20703125,125,0.0,-7.20703125,-125,0.0
sC,m_arm_l,6000,500,-7.20703125,125,0.0,7.20703125,-125,0.0
sC,m_arm_r,6500,467,-7.20703125,116,0.0,7.20703125,-116,0.0
sC,m_leg_r,6500,467,186.005859375,116,0.0,173.994140625,-116,0.0
sC,m_arm_l,6500,467,7.20703125,116,0.0,-7.20703125,-116,0.0
sC,m_leg_l,6500,467,173.994140625,116,0.0,186.005859375,-116,0.0
sC,m_leg_r,6967,500,173.994140625,125,0.0,186.005859375,-125,0.0
sC,m_arm_l,6967,500,-7.20703125,125,0.0,7.20703125,-125,0.0
sC,m_arm_r,6967,500,7.20703125,125,0.0,-7.20703125,-125,0.0
sC,m_leg_l,6967,500,186.005859375,125,0.0,173.994140625,-125,0.0
sC,m_arm_r,7467,500,-7.20703125,125,0.0,0.0,-125,0.0
sC,m_arm_l,7467,500,7.20703125,125,0.0,0.0,-125,0.0
sC,m_leg_r,7467,500,186.005859375,125,0.0,180.0,-125,0.0
sC,m_leg_l,7467,500,173.994140625,125,0.0,180.0,-125,0.0
sC,m_arm_r,7967,1533,0.0,383,0.0,70.400390625,-383,0.0
sC,m_arm_l,7967,1533,0.0,383,0.0,70.400390625,-383,0.0
sC,m_leg_l,7967,1533,180.0,383,0.0,136.0546875,-383,0.0
sC,m_leg_r,7967,1533,180.0,383,0.0,136.0546875,-383,0.0
sC,m_leg_r,9500,1333,136.0546875,333,0.0,107.05078125,-311,9.70458984375
sC,m_arm_r,9500,1333,70.400390625,333,0.0,64.248046875,-333,0.0
sC,m_leg_l,9500,1333,136.0546875,333,0.0,107.05078125,-311,9.70458984375
sC,m_arm_l,9500,1333,70.400390625,333,0.0,64.248046875,-333,0.0
sC,m_leg_r,10833,967,107.05078125,244,-7.58056640625,86.79931640625,-366,-16.3330078125
sC,m_arm_l,10833,767,64.248046875,194,0.0,-9.755859375,-290,6.064453125
sC,m_arm_r,10833,767,64.248046875,194,0.0,-9.755859375,-290,6.064453125
sC,m_leg_l,10833,967,107.05078125,244,-7.58056640625,86.79931640625,-366,-16.3330078125
sC,m_arm_r,11600,733,-9.755859375,271,-5.625,-9.755859375,-181,3.779296875
sC,m_arm_l,11600,733,-9.755859375,271,-5.625,-9.755859375,-181,3.779296875
sC,m_leg_l,11800,1200,86.79931640625,444,19.81201171875,180.0,-300,0.0
sC,m_leg_r,11800,1200,86.79931640625,444,19.81201171875,180.0,-300,0.0
sC,m_arm_r,12333,1034,-9.755859375,425,-8.876953125,28.828125,-425,0.0
sC,m_arm_l,12333,1034,-9.755859375,425,-8.876953125,28.828125,-425,0.0
sC,m_leg_r,13000,1267,180.0,316,0.0,180.0,-316,0.0
sC,m_leg_l,13000,1267,180.0,316,0.0,180.0,-316,0.0
sC,m_arm_r,13367,3166,28.828125,625,0.0,-33.134765625,-625,0.0
sC,m_arm_l,13367,3166,28.828125,625,0.0,-33.134765625,-625,0.0
sC,m_leg_r,14267,2266,180.0,566,0.0,30.0,-567,-0.10986328125
sC,m_leg_l,14267,2266,180.0,566,0.0,30.0,-567,-0.10986328125
sC,m_leg_r,16533,2500,30.0,1291,0.2197265625,63.3984375,-354,1.13525390625
sC,m_leg_l,16533,2500,30.0,1291,0.2197265625,63.3984375,-354,1.13525390625
sC,m_arm_l,16533,2500,-33.134765625,816,0.0,151.171875,-622,0.0
sC,m_arm_r,16533,2500,-33.134765625,816,0.0,151.171875,-622,0.0
sC,m_arm_l,19033,1234,151.171875,308,0.0,151.171875,-308,0.0
sC,m_leg_l,19033,1234,63.3984375,308,-0.98876953125,63.3984375,-308,0.0
sC,m_arm_r,19033,1234,151.171875,308,0.0,151.171875,-308,0.0
sC,m_leg_r,19033,1234,63.3984375,308,-0.98876953125,62.99560546875,-308,0.0
sC,m_leg_r,20267,1900,62.99560546875,475,0.0,185.09033203125,-475,0.0
sC,m_leg_l,20267,1900,63.3984375,475,0.0,185.09033203125,-475,0.0
sC,m_arm_r,20267,1900,151.171875,475,0.0,180.0,-475,0.0
sC,m_arm_l,20267,1900,151.171875,475,0.0,180.0,-475,0.0
