Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_baby,Controller name:,acrobot_act,Duration:,40233,Created at,22/03/2026 13:26:48,,
Start positions,ArmL ArmR legL legR,96.85546875,157.32421875,99.76318359375,107.9296875,0.0,0.0,0.0,0.0
sC,m_leg_r,0,32133,107.9296875,8033,0.0,107.9296875,-8033,0.0
sC,m_leg_l,0,32133,99.76318359375,8032,0.0,99.76318359375,-8033,0.0
sC,m_arm_r,0,3667,157.32421875,916,0.0,157.32421875,-913,0.0
sC,m_arm_l,0,10667,96.85546875,2665,0.0,96.85546875,-2665,0.0
sC,m_arm_r,3667,1000,157.32421875,250,0.0,38.84765625,-250,0.0
sC,m_arm_r,4667,866,38.84765625,216,0.0,157.32421875,-216,0.0
sC,m_arm_r,5533,11834,157.32421875,2958,0.0,157.32421875,-2958,0.0
sC,m_arm_l,10667,866,96.85546875,216,0.0,-2.109375,-216,0.0
sC,m_arm_l,11533,834,-2.109375,208,0.0,96.85546875,-208,0.0
sC,m_arm_l,12367,5000,96.85546875,1250,0.0,96.85546875,-1250,0.0
sC,m_arm_r,17367,2433,157.32421875,608,0.0,18.28125,-608,0.0
sC,m_arm_l,17367,2433,96.85546875,608,0.0,18.28125,-608,0.0
sC,m_arm_l,19800,967,18.28125,241,0.0,18.28125,-241,0.0
sC,m_arm_r,19800,967,18.28125,241,0.0,18.28125,-241,0.0
sC,m_arm_r,20767,2333,18.28125,583,0.0,157.32421875,-583,0.0
sC,m_arm_l,20767,2333,18.28125,583,0.0,96.85546875,-583,0.0
sC,m_arm_r,23100,4333,157.32421875,1083,0.0,157.32421875,-600,-0.703125
sC,m_arm_l,23100,4333,96.85546875,1083,0.0,96.85546875,-566,1.0546875
sC,m_arm_l,27433,900,96.85546875,45,0.0,46.40625,-323,0.0
sC,m_arm_r,27433,900,157.32421875,52,0.0,41.1328125,-323,0.0
sC,m_arm_l,28333,967,46.40625,276,0.0,96.85546875,-241,0.0
sC,m_arm_r,28333,967,41.1328125,276,0.0,157.32421875,-241,0.0
sC,m_arm_r,29300,2833,157.32421875,708,0.0,157.32421875,-708,0.0
sC,m_arm_l,29300,2833,96.85546875,708,0.0,96.85546875,-708,0.0
sC,m_arm_l,32133,6500,96.85546875,1624,0.0,96.85546875,-1594,0.0
sC,m_arm_r,32133,234,157.32421875,58,0.0,134.296875,-58,0.0
sC,m_arm_r,32367,233,134.296875,58,0.0,149.94140625,-58,0.0
sC,m_arm_r,32600,233,149.94140625,58,0.0,136.93359375,-58,0.0
sC,m_arm_r,32833,234,136.93359375,58,0.0,149.94140625,-58,0.0
sC,m_arm_r,33067,233,149.94140625,58,0.0,136.93359375,-58,0.0
sC,m_arm_r,33300,233,136.93359375,58,0.0,149.94140625,-58,0.0
sC,m_arm_r,33533,5100,149.94140625,1275,0.0,157.32421875,-1251,0.0
sC,m_arm_r,38633,800,157.32421875,200,0.0,116.71875,-200,0.0
sC,m_arm_l,38633,800,96.85546875,200,0.0,68.73046875,-200,0.0
sC,m_arm_r,39433,800,116.71875,200,0.0,157.32421875,-200,0.0
sC,m_arm_l,39433,800,68.73046875,200,0.0,96.85546875,-200,0.0
