Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_bows,Controller name:,acrobot_act,Duration:,31567,Created at,22/03/2026 13:26:48,,
Start positions,ArmL ArmR legL legR,355.60546875,355.60546875,184.98046875,184.98046875,0.0,0.0,0.0,0.0
sC,m_leg_l,0,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_r,0,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,0,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,0,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_l,400,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,400,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,400,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,400,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_l,533,434,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,533,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,533,434,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,533,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,967,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,967,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_r,967,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,967,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_l,1133,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_r,1133,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,1133,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,1133,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_leg_l,1533,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,1533,134,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_arm_r,1533,134,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_r,1533,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,1667,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,1667,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_l,1667,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,1667,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,2100,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,2100,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_l,2100,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,2100,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_r,2267,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,2267,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,2267,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,2267,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_r,2667,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_l,2667,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_l,2667,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_r,2667,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,2800,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_l,2800,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,2800,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_r,2800,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,3233,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_r,3233,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,3233,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_l,3233,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,3400,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,3400,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_r,3400,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,3400,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,3800,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_l,3800,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,3800,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,3800,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,3933,434,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_l,3933,434,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,3933,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_l,3933,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_r,4367,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_l,4367,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,4367,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_r,4367,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_l,4533,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_r,4533,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,4533,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,4533,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,4933,134,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,4933,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_l,4933,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,4933,134,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_r,5067,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,5067,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,5067,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,5067,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,5500,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_r,5500,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,5500,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_r,5500,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,5667,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_r,5667,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,5667,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,5667,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_l,6067,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_l,6067,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,6067,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_r,6067,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,6200,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_l,6200,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,6200,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_l,6200,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,6633,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,6633,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_r,6633,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,6633,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,6800,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_l,6800,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_l,6800,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,6800,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,7200,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,7200,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_l,7200,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,7200,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_r,7333,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,7333,434,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,7333,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,7333,434,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_r,7767,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,7767,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,7767,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,7767,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,7933,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,7933,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_l,7933,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_r,7933,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,8333,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_r,8333,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,8333,134,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_l,8333,134,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_arm_l,8467,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_r,8467,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,8467,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_r,8467,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,8900,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,8900,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_r,8900,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,8900,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,9067,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,9067,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_leg_r,9067,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_l,9067,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_r,9467,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_l,9467,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,9467,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_l,9467,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,9600,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,9600,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_l,9600,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_r,9600,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_l,10033,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,10033,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,10033,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,10033,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,10200,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_r,10200,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_leg_r,10200,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,10200,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,10600,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_r,10600,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,10600,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_l,10600,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_arm_r,10733,434,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,10733,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,10733,434,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,10733,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_r,11167,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,11167,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,11167,166,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,11167,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,11333,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_l,11333,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_r,11333,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_leg_l,11333,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,11733,134,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_l,11733,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,11733,134,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,11733,134,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,11867,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,11867,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,11867,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,11867,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,12300,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,12300,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,12300,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,12300,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_leg_l,12467,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,12467,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_arm_l,12467,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_leg_r,12467,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_r,12867,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_leg_r,12867,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_leg_l,12867,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,12867,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_l,13000,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_r,13000,433,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,13000,433,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_r,13000,433,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_l,13433,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_r,13433,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_r,13433,167,184.98046875,41,0.0,184.98046875,-41,0.0
sC,m_arm_l,13433,167,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,13600,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_arm_l,13600,400,355.60546875,100,0.0,370.01953125,-100,0.0
sC,m_arm_r,13600,400,355.60546875,100,0.0,370.1953125,-100,0.0
sC,m_leg_r,13600,400,184.98046875,100,0.0,156.123046875,-100,0.0
sC,m_leg_l,14000,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_l,14000,133,370.01953125,33,0.0,370.01953125,-33,0.0
sC,m_leg_r,14000,133,156.123046875,33,0.0,156.123046875,-33,0.0
sC,m_arm_r,14000,133,370.1953125,33,0.0,370.1953125,-33,0.0
sC,m_arm_r,14133,434,370.1953125,108,0.0,355.60546875,-108,0.0
sC,m_arm_l,14133,434,370.01953125,108,0.0,355.60546875,-108,0.0
sC,m_leg_r,14133,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_leg_l,14133,434,156.123046875,108,0.0,184.98046875,-108,0.0
sC,m_arm_l,14567,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_arm_r,14567,166,355.60546875,41,0.0,355.60546875,-41,0.0
sC,m_leg_l,14567,166,184.98046875,41,0.0,184.98046875,-41,0.0
