Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_buildup_02_go,Controller name:,acrobot_act,Duration:,900,Created at,19/03/2026 11:53:25,,
Start positions,ArmL ArmR legL legR,118.30078125,118.30078125,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,900,185.01708984375,224,0.0,185.01708984375,-225,0.0
sC,m_leg_r,0,900,185.01708984375,224,0.0,185.01708984375,-225,0.0
sC,m_arm_r,0,233,118.30078125,58,0.0,137.109375,-57,0.0
sC,m_arm_l,0,233,118.30078125,57,0.0,137.109375,-57,0.0
sC,m_arm_r,233,234,137.109375,58,0.0,118.30078125,-58,0.0
sC,m_arm_l,233,234,137.109375,58,0.0,118.30078125,-58,0.0
sC,m_arm_l,467,233,118.30078125,66,0.0,137.109375,-58,0.0
sC,m_arm_r,467,233,118.30078125,66,0.0,137.109375,-58,0.0
sC,m_arm_r,700,200,137.109375,49,0.0,118.30078125,-49,0.0
sC,m_arm_l,700,200,137.109375,49,0.0,118.30078125,-49,0.0
