Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_buildup_03_spin,Controller name:,acrobot_act,Duration:,14200,Created at,19/03/2026 11:53:25,,
Start positions,ArmL ArmR legL legR,107.9296875,107.9296875,9999.0,9999.0,0.0,0.0,0.0,0.0
sC,m_arm_l,0,33,107.9296875,8,0.0,823.359375,-4,0.0
sC,m_arm_r,0,33,107.9296875,9,0.0,827.9296875,-13,-53.4375
sC,m_arm_l,33,6434,823.359375,1033,1.93359375,-263.49609375,-468,42.01171875
sC,m_arm_r,33,1400,827.9296875,0,0.0,827.9296875,-301,7.734375
sC,m_arm_r,1433,5934,827.9296875,430,-10.8984375,-263.49609375,-522,75.41015625
sC,m_arm_l,6467,666,-263.49609375,83,-7.55859375,-263.49609375,-156,-26.3671875
sC,m_arm_l,7133,6400,-263.49609375,1518,257.34375,823.359375,-366,-21.796875
sC,m_arm_r,7367,833,-263.49609375,173,-25.13671875,-263.49609375,-208,-35.68359375
sC,m_arm_r,8200,5200,-263.49609375,1171,201.09375,639.140625,-1600,-257.87109375
sC,m_arm_r,13400,733,639.140625,162,26.19140625,626.484375,-183,0.0
sC,m_arm_l,13533,467,823.359375,91,5.44921875,823.359375,-50,0.0
sC,m_arm_l,14000,200,823.359375,50,0.0,823.359375,-1000,0.0
