Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_buildup_04_straight,Controller name:,acrobot_act,Duration:,900,Created at,19/03/2026 11:53:25,,
Start positions,ArmL ArmR legL legR,87.1875,-77.16796875,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,900,185.01708984375,217,0.0,185.01708984375,-225,0.0
sC,m_arm_r,0,233,-77.16796875,58,0.0,-89.82421875,-58,0.0
sC,m_arm_l,0,233,87.1875,58,0.0,97.91015625,-58,0.0
sC,m_leg_r,0,900,185.01708984375,217,0.0,185.01708984375,-225,0.0
sC,m_arm_l,233,234,97.91015625,58,0.0,87.1875,-58,0.0
sC,m_arm_r,233,234,-89.82421875,58,0.0,-77.16796875,-58,0.0
sC,m_arm_r,467,233,-77.16796875,58,0.0,-89.82421875,-58,0.0
sC,m_arm_l,467,233,87.1875,58,0.0,97.91015625,-58,0.0
sC,m_arm_l,700,200,97.91015625,50,0.0,87.1875,-50,0.0
sC,m_arm_r,700,200,-89.82421875,50,0.0,-77.16796875,-50,0.0
