Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_trio,Controller name:,acrobot_act,Duration:,95400,Created at,20/03/2026 13:28:27,,
Start positions,ArmL ArmR legL legR,144.4921875,144.4921875,93.427734375,93.427734375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,14067,93.427734375,3516,0.0,93.427734375,-3516,0.0
sC,m_leg_r,0,14067,93.427734375,3516,0.0,93.427734375,-3516,0.0
sC,m_arm_r,0,14067,144.4921875,3516,0.0,144.4921875,-3516,0.0
sC,m_arm_l,0,14067,144.4921875,3516,0.0,144.4921875,-3516,0.0
sC,m_leg_r,14067,1900,93.427734375,475,0.0,36.73828125,-475,0.0
sC,m_arm_l,14067,1833,144.4921875,458,0.0,91.23046875,-458,0.0
sC,m_leg_l,14067,1900,93.427734375,475,0.0,36.73828125,-475,0.0
sC,m_arm_r,14067,1833,144.4921875,458,0.0,91.23046875,-458,0.0
sC,m_arm_r,15900,2333,91.23046875,583,0.0,-25.13671875,-533,16.5234375
sC,m_arm_l,15900,2333,91.23046875,583,0.0,-25.13671875,-533,16.5234375
sC,m_leg_r,15967,1966,36.73828125,491,0.0,30.0,-491,0.0
sC,m_leg_l,15967,1966,36.73828125,491,0.0,30.0,-491,0.0
sC,m_leg_l,17933,1667,30.0,416,0.0,113.60595703125,-364,-24.79248046875
sC,m_leg_r,17933,1734,30.0,433,0.0,113.60595703125,-364,-24.79248046875
sC,m_arm_r,18233,467,-25.13671875,162,-5.09765625,-33.22265625,-116,0.0
sC,m_arm_l,18233,467,-25.13671875,162,-5.09765625,-33.22265625,-116,0.0
sC,m_arm_r,18700,267,-33.22265625,66,0.0,-33.22265625,-66,0.0
sC,m_arm_l,18700,267,-33.22265625,66,0.0,-33.22265625,-66,0.0
sC,m_arm_l,18967,433,-33.22265625,216,0.0,-25.13671875,-438,-6.328125
sC,m_arm_r,18967,433,-33.22265625,216,0.0,-25.13671875,-438,-6.328125
sC,m_arm_l,19400,1200,-25.13671875,1000,14.58984375,0.0,-300,0.0
sC,m_arm_r,19400,1200,-25.13671875,1000,14.58984375,0.0,-300,0.0
sC,m_leg_l,19600,1000,113.60595703125,467,31.82373046875,180.0,-250,0.0
sC,m_leg_r,19667,966,113.60595703125,467,31.82373046875,180.0,-241,0.0
sC,m_arm_r,20600,33,0.0,8,0.0,0.0,-8,0.0
sC,m_arm_l,20600,33,0.0,8,0.0,0.0,-8,0.0
sC,m_leg_l,20600,33,180.0,8,0.0,180.0,-8,0.0
sC,m_arm_r,20633,6600,0.0,1650,0.0,0.0,-1650,0.0
sC,m_arm_l,20633,6600,0.0,1650,0.0,0.0,-1650,0.0
sC,m_leg_r,20633,6600,180.0,1649,0.0,180.0,-1650,0.0
sC,m_leg_l,20633,6600,180.0,1650,0.0,180.0,-1650,0.0
sC,m_arm_r,27233,2234,0.0,558,0.0,0.0,-558,0.0
sC,m_leg_r,27233,2234,180.0,558,0.0,41.53564453125,-558,0.0
sC,m_leg_l,27233,2234,180.0,558,0.0,41.53564453125,-558,0.0
sC,m_arm_l,27233,2234,0.0,558,0.0,0.0,-558,0.0
sC,m_leg_r,29467,666,41.53564453125,166,0.0,41.53564453125,-166,0.0
sC,m_leg_l,29467,666,41.53564453125,166,0.0,41.53564453125,-166,0.0
sC,m_arm_r,29467,666,0.0,166,0.0,43.9453125,-166,0.0
sC,m_arm_l,29467,666,0.0,166,0.0,43.9453125,-166,0.0
sC,m_leg_r,30133,600,41.53564453125,150,0.0,67.5732421875,-150,0.0
sC,m_leg_l,30133,600,41.53564453125,150,0.0,67.5732421875,-150,0.0
sC,m_arm_r,30133,600,43.9453125,150,0.0,66.97265625,-150,0.0
sC,m_arm_l,30133,600,43.9453125,150,0.0,66.97265625,-150,0.0
sC,m_leg_r,30733,1634,67.5732421875,408,0.0,185.01708984375,-408,0.0
sC,m_arm_l,30733,867,66.97265625,216,0.0,128.14453125,-216,-22.5
sC,m_leg_l,30733,1634,67.5732421875,408,0.0,185.01708984375,-408,0.0
sC,m_arm_r,30733,867,66.97265625,216,0.0,128.14453125,-216,-21.97265625
sC,m_arm_r,31600,2067,128.14453125,516,52.55859375,173.671875,-516,0.0
sC,m_arm_l,31600,2067,128.14453125,516,53.7890625,173.671875,-516,0.0
sC,m_leg_l,32367,2266,185.01708984375,566,0.0,185.01708984375,-566,0.0
sC,m_leg_r,32367,2266,185.01708984375,566,0.0,185.01708984375,-566,0.0
sC,m_arm_r,33667,966,173.671875,241,0.0,173.671875,-241,0.0
sC,m_arm_l,33667,966,173.671875,241,0.0,173.671875,-241,0.0
sC,m_arm_l,34633,634,173.671875,158,0.0,8.7890625,-158,0.0
sC,m_arm_r,34633,634,173.671875,158,0.0,8.7890625,-158,0.0
sC,m_leg_l,34633,3667,185.01708984375,916,0.0,185.01708984375,-916,0.0
sC,m_leg_r,34633,3667,185.01708984375,916,0.0,185.01708984375,-916,0.0
sC,m_arm_r,35267,1566,8.7890625,391,0.0,8.7890625,-391,0.0
sC,m_arm_l,35267,1566,8.7890625,391,0.0,8.7890625,-391,0.0
sC,m_arm_l,36833,734,8.7890625,183,0.0,46.58203125,-183,0.0
sC,m_arm_r,36833,734,8.7890625,183,0.0,46.58203125,-183,0.0
sC,m_arm_r,37567,733,46.58203125,183,0.0,46.58203125,-276,0.0
sC,m_arm_l,37567,733,46.58203125,183,0.0,46.58203125,-183,0.0
sC,m_leg_r,38300,833,185.01708984375,208,0.0,181.20849609375,-208,0.0
sC,m_arm_r,38300,833,46.58203125,313,0.0,0.0,-208,0.0
sC,m_leg_l,38300,833,185.01708984375,208,0.0,181.20849609375,-208,0.0
sC,m_arm_l,38300,833,46.58203125,208,0.0,0.0,-208,0.0
sC,m_leg_l,39133,1500,181.20849609375,375,0.0,180.0,-375,0.0
sC,m_leg_r,39133,1500,181.20849609375,375,0.0,180.0,-375,0.0
sC,m_arm_r,39133,1500,0.0,375,0.0,0.0,-375,0.0
sC,m_arm_l,39133,1500,0.0,375,0.0,0.0,-375,0.0
sC,m_arm_l,40633,800,0.0,200,0.0,-29.35546875,-200,8.0859375
sC,m_leg_l,40633,2000,180.0,500,0.0,301.6552734375,-500,0.0
sC,m_leg_r,40633,2000,180.0,500,0.0,301.6552734375,-500,0.0
sC,m_arm_r,40633,800,0.0,200,0.0,-29.35546875,-200,8.0859375
sC,m_arm_l,41433,1200,-29.35546875,300,-12.3046875,-62.40234375,-300,0.0
sC,m_arm_r,41433,1200,-29.35546875,300,-12.3046875,-58.53515625,-300,0.0
sC,m_leg_l,42633,800,301.6552734375,200,0.0,301.6552734375,-200,0.0
sC,m_arm_r,42633,1567,-58.53515625,391,0.0,150.46875,-391,0.0
sC,m_leg_r,42633,800,301.6552734375,200,0.0,301.6552734375,-200,0.0
sC,m_arm_l,42633,567,-62.40234375,141,0.0,-62.40234375,-141,0.0
sC,m_arm_l,43200,633,-62.40234375,158,0.0,-15.46875,-158,-8.0859375
sC,m_leg_l,43433,967,301.6552734375,241,0.0,180.0,-241,0.0
sC,m_leg_r,43433,967,301.6552734375,241,0.0,180.0,-241,0.0
sC,m_arm_l,43833,1700,-15.46875,425,21.796875,173.84765625,-348,0.0
sC,m_arm_r,44200,1333,150.46875,333,0.0,173.84765625,-331,0.0
sC,m_leg_r,44400,1467,180.0,366,0.0,185.01708984375,-366,0.0
sC,m_leg_l,44400,1467,180.0,366,0.0,185.01708984375,-366,0.0
sC,m_arm_r,45533,334,173.84765625,83,0.0,180.0,-83,0.0
sC,m_arm_l,45533,334,173.84765625,247,0.0,180.0,-83,0.0
sC,m_arm_l,45867,2133,180.0,533,0.0,180.0,-533,0.0
sC,m_leg_l,45867,2133,185.01708984375,533,0.0,185.01708984375,-533,0.0
sC,m_leg_r,45867,2133,185.01708984375,533,0.0,185.01708984375,-533,0.0
sC,m_arm_r,45867,2133,180.0,533,0.0,180.0,-533,0.0
sC,m_arm_l,48000,333,180.0,83,0.0,180.0,-83,0.0
sC,m_leg_l,48000,400,185.01708984375,100,0.0,215.33935546875,-100,0.0
sC,m_arm_r,48000,333,180.0,83,0.0,180.0,-83,0.0
sC,m_leg_r,48000,400,185.01708984375,100,0.0,215.33935546875,-100,0.0
sC,m_arm_r,48333,634,180.0,158,0.0,0.0,-158,0.0
sC,m_arm_l,48333,634,180.0,158,0.0,0.0,-158,0.0
sC,m_leg_r,48400,400,215.33935546875,100,0.0,215.33935546875,-100,0.0
sC,m_leg_l,48400,400,215.33935546875,100,0.0,215.33935546875,-100,0.0
sC,m_leg_r,48800,533,215.33935546875,133,0.0,185.01708984375,-133,0.0
sC,m_leg_l,48800,533,215.33935546875,133,0.0,185.01708984375,-133,0.0
sC,m_arm_r,48967,966,0.0,241,0.0,0.0,-241,0.0
sC,m_arm_l,48967,966,0.0,241,0.0,0.0,-241,0.0
sC,m_leg_r,49333,600,185.01708984375,150,0.0,185.01708984375,-150,0.0
sC,m_leg_l,49333,600,185.01708984375,150,0.0,185.01708984375,-150,0.0
sC,m_leg_l,49933,867,185.01708984375,216,0.0,138.43505859375,-216,0.0
sC,m_leg_r,49933,867,185.01708984375,231,0.0,138.43505859375,-238,0.0
sC,m_arm_l,49933,867,0.0,216,0.0,39.0234375,-216,0.0
sC,m_arm_r,49933,867,0.0,216,0.0,39.0234375,-216,0.0
sC,m_leg_l,50800,300,138.43505859375,75,0.0,138.43505859375,-74,0.0
sC,m_leg_r,50800,300,138.43505859375,73,0.0,138.43505859375,-74,0.0
sC,m_arm_l,50800,300,39.0234375,75,0.0,39.0234375,-74,0.0
sC,m_arm_r,50800,300,39.0234375,75,0.0,39.0234375,-74,0.0
sC,m_leg_l,51100,667,138.43505859375,170,0.0,176.59423828125,-252,8.75244140625
sC,m_leg_r,51100,1200,138.43505859375,299,0.0,258.69873046875,-299,0.0
sC,m_arm_l,51100,1200,39.0234375,299,0.0,-67.8515625,-299,0.0
sC,m_arm_r,51100,1200,39.0234375,299,0.0,-67.8515625,-299,0.0
sC,m_leg_l,51767,533,176.59423828125,193,-6.70166015625,114.70458984375,-130,0.0
sC,m_arm_l,52300,133,-67.8515625,33,0.0,-67.8515625,-33,0.0
sC,m_arm_r,52300,133,-67.8515625,33,0.0,-67.8515625,-33,0.0
sC,m_leg_r,52300,133,258.69873046875,33,0.0,258.69873046875,-33,0.0
sC,m_leg_l,52300,133,114.70458984375,33,0.0,114.70458984375,-33,0.0
sC,m_leg_r,52433,2067,258.69873046875,516,0.0,138.43505859375,-516,0.0
sC,m_arm_l,52433,2067,-67.8515625,516,0.0,39.0234375,-516,0.0
sC,m_arm_r,52433,2067,-67.8515625,516,0.0,39.0234375,-516,0.0
sC,m_leg_l,52433,1100,114.70458984375,278,0.0,189.99755859375,-391,26.4404296875
sC,m_leg_l,53533,967,189.99755859375,348,-23.54736328125,138.43505859375,-241,0.0
sC,m_leg_r,54500,2100,138.43505859375,525,0.0,138.43505859375,-525,0.0
