Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,leipzig_trio_old,Controller name:,acrobot_act,Duration:,159433,Created at,22/03/2026 13:26:48,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,1467,185.01708984375,366,0.0,185.01708984375,-366,0.0
sC,m_leg_l,0,1467,185.01708984375,366,0.0,185.01708984375,-366,0.0
sC,m_arm_l,0,1467,180.0,366,0.0,180.0,-366,0.0
sC,m_arm_r,0,1467,180.0,366,0.0,180.0,-366,0.0
sC,m_arm_l,1467,1133,180.0,283,0.0,167.51953125,-283,0.0
sC,m_leg_l,1467,1133,185.01708984375,283,0.0,198.49365234375,-283,0.0
sC,m_arm_r,1467,1133,180.0,283,0.0,197.40234375,-283,0.0
sC,m_leg_r,1467,1133,185.01708984375,283,0.0,174.03076171875,-283,0.0
sC,m_arm_r,2600,1233,197.40234375,308,0.0,167.51953125,-308,0.0
sC,m_leg_l,2600,1233,198.49365234375,308,0.0,174.03076171875,-308,0.0
sC,m_leg_r,2600,1233,174.03076171875,308,0.0,198.49365234375,-308,0.0
sC,m_arm_l,2600,1233,167.51953125,308,0.0,197.40234375,-308,0.0
sC,m_leg_r,3833,1300,198.49365234375,325,0.0,174.03076171875,-325,0.0
sC,m_arm_l,3833,1300,197.40234375,325,0.0,167.51953125,-325,0.0
sC,m_arm_r,3833,1300,167.51953125,325,0.0,197.40234375,-325,0.0
sC,m_leg_l,3833,1300,174.03076171875,325,0.0,198.49365234375,-325,0.0
sC,m_leg_l,5133,1334,198.49365234375,333,0.0,174.03076171875,-333,0.0
sC,m_arm_l,5133,1334,167.51953125,333,0.0,197.40234375,-333,0.0
sC,m_arm_r,5133,1334,197.40234375,333,0.0,167.51953125,-333,0.0
sC,m_leg_r,5133,1334,174.03076171875,333,0.0,198.49365234375,-333,0.0
sC,m_leg_r,6467,1300,198.49365234375,325,0.0,174.03076171875,-325,0.0
sC,m_arm_l,6467,1300,197.40234375,325,0.0,167.51953125,-325,0.0
sC,m_leg_l,6467,1300,174.03076171875,325,0.0,198.49365234375,-325,0.0
sC,m_arm_r,6467,1300,167.51953125,325,0.0,197.40234375,-325,0.0
sC,m_leg_l,7767,1266,198.49365234375,316,0.0,185.01708984375,-316,0.0
sC,m_arm_r,7767,1266,197.40234375,316,0.0,180.0,-316,0.0
sC,m_arm_l,7767,1266,167.51953125,316,0.0,180.0,-316,0.0
sC,m_leg_r,7767,1266,174.03076171875,316,0.0,185.01708984375,-316,0.0
sC,m_leg_r,9033,1367,185.01708984375,341,0.0,185.01708984375,-341,0.0
sC,m_leg_l,9033,1367,185.01708984375,341,0.0,185.01708984375,-341,0.0
sC,m_arm_l,9033,1367,180.0,341,0.0,180.0,-341,0.0
sC,m_arm_r,9033,1367,180.0,341,0.0,180.0,-341,0.0
sC,m_arm_l,10400,3567,180.0,890,0.0,180.0,-891,0.0
sC,m_arm_r,10400,1667,180.0,416,0.0,151.171875,-416,0.0
sC,m_leg_r,10400,1667,185.01708984375,416,0.0,185.2001953125,-416,0.0
sC,m_leg_l,10400,1667,185.01708984375,416,0.0,185.2001953125,-416,0.0
sC,m_leg_l,12067,2433,185.2001953125,608,0.0,122.87109375,-608,0.0
sC,m_leg_r,12067,2433,185.2001953125,608,0.0,122.87109375,-608,0.0
sC,m_arm_r,12067,2433,151.171875,608,0.0,91.23046875,-608,0.0
sC,m_arm_l,13967,2200,180.0,550,0.0,91.23046875,-550,0.0
sC,m_leg_l,14500,2500,122.87109375,625,0.0,122.87109375,-625,0.0
sC,m_leg_r,14500,2500,122.87109375,625,0.0,122.87109375,-625,0.0
sC,m_arm_r,14500,2500,91.23046875,625,0.0,91.23046875,-625,0.0
sC,m_arm_l,16167,3866,91.23046875,966,0.0,91.23046875,-966,0.0
sC,m_leg_r,17000,1033,122.87109375,258,0.0,122.87109375,-258,0.0
sC,m_leg_l,17000,1033,122.87109375,258,0.0,89.14306640625,-258,0.0
sC,m_arm_r,17000,3033,91.23046875,758,0.0,91.23046875,-758,0.0
sC,m_leg_l,18033,2000,89.14306640625,500,0.0,93.17138671875,-500,0.0
sC,m_leg_r,18033,967,122.87109375,241,0.0,93.17138671875,-241,7.58056640625
sC,m_leg_r,19000,967,93.17138671875,241,-7.58056640625,36.73828125,-241,0.0
sC,m_leg_r,19967,66,36.73828125,16,0.0,36.73828125,-16,0.0
sC,m_arm_r,20033,2334,91.23046875,583,0.0,-25.13671875,-533,16.5234375
sC,m_arm_l,20033,2334,91.23046875,583,0.0,-25.13671875,-533,16.5234375
sC,m_leg_l,20033,634,93.17138671875,158,0.0,62.373046875,-158,10.400390625
sC,m_leg_r,20033,1967,36.73828125,491,0.0,30.0,-491,0.0
sC,m_leg_l,20667,633,62.373046875,158,-10.400390625,30.0,-158,0.0
sC,m_leg_l,21300,700,30.0,175,0.0,30.0,-175,0.0
sC,m_leg_r,22000,1733,30.0,433,0.0,113.60595703125,-364,-24.79248046875
sC,m_leg_l,22000,1733,30.0,433,0.0,113.60595703125,-364,-24.79248046875
sC,m_arm_r,22367,466,-25.13671875,162,-5.09765625,-33.22265625,-116,0.0
sC,m_arm_l,22367,466,-25.13671875,162,-5.09765625,-33.22265625,-116,0.0
sC,m_arm_r,22833,267,-33.22265625,66,0.0,-33.22265625,-66,0.0
sC,m_arm_l,22833,267,-33.22265625,66,0.0,-33.22265625,-66,0.0
sC,m_arm_l,23100,433,-33.22265625,216,0.0,-25.13671875,-438,-6.328125
sC,m_arm_r,23100,433,-33.22265625,216,0.0,-25.13671875,-438,-6.328125
sC,m_arm_r,23533,1200,-25.13671875,1000,14.58984375,0.0,-300,0.0
