Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,pattern-3-limbs,Controller name:,acrobot_act,Duration:,2000,Created at,01/11/2024 11:45:10,,
Start positions,ArmL ArmR legL legR,93.603515625,93.603515625,65.99853515625,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,667,65.99853515625,166,0.0,89.9853515625,-166,0.0
sC,m_arm_r,0,333,93.603515625,83,0.0,93.603515625,-83,0.0
sC,m_leg_r,0,1667,185.01708984375,416,0.0,185.01708984375,-416,0.0
sC,m_arm_l,0,667,93.603515625,166,-19.51171875,36.03515625,-166,0.0
sC,m_arm_r,333,334,93.603515625,83,0.0,93.603515625,-83,13.0078125
sC,m_leg_l,667,333,89.9853515625,83,0.0,89.9853515625,-83,0.0
sC,m_arm_l,667,666,36.03515625,166,0.0,93.603515625,-166,0.0
sC,m_arm_r,667,666,93.603515625,166,-26.19140625,36.03515625,-166,0.0
sC,m_leg_l,1000,667,89.9853515625,166,0.0,75.00732421875,-166,4.21142578125
sC,m_arm_r,1333,667,36.03515625,166,0.0,93.603515625,-166,-12.48046875
sC,m_arm_l,1333,334,93.603515625,83,0.0,93.603515625,-83,0.0
sC,m_leg_l,1667,333,75.00732421875,83,-2.1240234375,65.99853515625,-1000,0.0
sC,m_arm_l,1667,333,93.603515625,83,0.0,93.603515625,-83,9.66796875
