Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,pattern-3-limbs2,Controller name:,acrobot_act,Duration:,1000,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,93.603515625,93.603515625,65.99853515625,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,333,65.99853515625,0,0.0,89.9853515625,-41,0.0
sC,m_arm_r,0,167,93.603515625,41,0.0,93.603515625,-41,0.0
sC,m_leg_r,0,1000,185.01708984375,250,0.0,185.01708984375,-250,0.0
sC,m_arm_l,0,333,93.603515625,82,-9.66796875,36.03515625,-82,0.0
sC,m_arm_r,167,166,93.603515625,41,0.0,93.603515625,-41,9.31640625
sC,m_leg_l,333,167,89.9853515625,41,0.0,89.9853515625,-41,0.0
sC,m_arm_l,333,334,36.03515625,82,0.0,93.603515625,-82,0.0
sC,m_arm_r,333,334,93.603515625,82,-18.896484375,36.03515625,-82,0.0
sC,m_leg_l,500,167,89.9853515625,41,0.0,89.9853515625,-41,0.0
sC,m_arm_r,667,333,36.03515625,82,0.0,93.603515625,-82,-6.85546875
sC,m_arm_l,667,166,93.603515625,41,0.0,93.603515625,-41,0.0
sC,m_leg_l,667,333,89.9853515625,81,0.0,65.99853515625,0,0.0
sC,m_arm_l,833,167,93.603515625,41,0.0,93.603515625,-41,5.712890625
