Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,repeat_hump_medium_arms_3s,Controller name:,acrobot_act,Duration:,3000,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,139.39453125,139.39453125,134.99267578125,134.99267578125,0.0,0.0,0.0,0.0
sC,m_arm_l,0,1500,139.39453125,375,0.0,227.63671875,-375,0.0
sC,m_arm_r,0,1500,139.39453125,375,0.0,227.63671875,-375,0.0
sC,m_leg_r,0,1500,134.99267578125,375,0.0,225.00732421875,-375,0.0
sC,m_leg_l,0,1500,134.99267578125,375,0.0,225.00732421875,-375,0.0
sC,m_arm_l,1500,1500,227.63671875,375,0.0,139.39453125,-375,0.0
sC,m_arm_r,1500,1500,227.63671875,375,0.0,139.39453125,-375,0.0
sC,m_leg_r,1500,1500,225.00732421875,375,0.0,134.99267578125,-375,0.0
sC,m_leg_l,1500,1500,225.00732421875,375,0.0,134.99267578125,-375,0.0
