Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,repeat_hump_medium_windup_5s,Controller name:,acrobot_act,Duration:,5000,Created at,08/07/2024 16:46:40,,
Start positions,ArmL ArmR legL legR,999.0,999.0,134.99267578125,134.99267578125,0.0,0.0,0.0,0.0
sC,m_leg_r,0,133,134.99267578125,33,0.0,134.99267578125,-33,0.0
sC,m_leg_l,0,133,134.99267578125,33,0.0,134.99267578125,-33,0.0
sC,m_leg_r,133,4200,134.99267578125,1050,0.0,225.00732421875,-1050,0.0
sC,m_leg_l,133,4200,134.99267578125,1050,0.0,225.00732421875,-1050,0.0
sC,m_leg_r,4333,134,225.00732421875,33,0.0,225.00732421875,-33,0.0
sC,m_leg_l,4333,134,225.00732421875,33,0.0,225.00732421875,-33,0.0
sC,m_leg_r,4467,533,225.00732421875,133,0.0,134.99267578125,-133,0.0
sC,m_leg_l,4467,533,225.00732421875,133,0.0,134.99267578125,-133,0.0
