Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,repeat_random_individual_ease_20s,Controller name:,acrobot_act,Duration:,20000,Created at,05/09/2024 08:45:34,,
Start positions,ArmL ArmR legL legR,453.603515625,453.603515625,64.82666015625,64.82666015625,0.0,0.0,0.0,0.0
sC,m_arm_l,0,4000,453.603515625,1000,0.0,453.603515625,-495,0.0
sC,m_arm_r,0,2000,453.603515625,995,-1.0546875,418.623046875,-1034,1.318359375
sC,m_leg_l,0,2000,64.82666015625,500,0.0,64.82666015625,-496,0.0
sC,m_leg_r,0,6000,64.82666015625,1500,0.0,64.82666015625,-482,0.0
sC,m_arm_r,2000,6000,418.623046875,1500,0.0,418.623046875,-493,0.0
sC,m_leg_l,2000,2000,64.82666015625,966,0.3662109375,143.0859375,-990,-0.2197265625
sC,m_leg_l,4000,6000,143.0859375,1500,0.0,143.0859375,-499,0.0
sC,m_arm_l,4000,2000,453.603515625,966,-2.197265625,239.150390625,-1019,0.52734375
sC,m_leg_r,6000,2000,64.82666015625,995,0.3662109375,232.25830078125,-1034,-0.18310546875
sC,m_arm_l,6000,6000,239.150390625,1500,0.0,239.150390625,-495,0.0
sC,m_arm_r,8000,2000,418.623046875,966,-1.142578125,177.1875,-1019,-0.439453125
sC,m_leg_r,8000,6000,232.25830078125,1500,0.0,232.25830078125,-482,0.0
sC,m_arm_r,10000,6000,177.1875,1500,0.0,177.1875,-491,0.0
sC,m_leg_l,10000,2000,143.0859375,995,0.29296875,180.0,-976,-0.32958984375
sC,m_leg_l,12000,6000,180.0,1500,0.0,180.0,-491,0.0
sC,m_arm_l,12000,2000,239.150390625,995,-0.703125,453.603515625,-1000,0.0
sC,m_leg_r,14000,2000,232.25830078125,995,-0.18310546875,64.82666015625,-1000,0.0
sC,m_arm_r,16000,2000,177.1875,995,-0.439453125,453.603515625,-1000,0.0
sC,m_leg_l,18000,2000,180.0,995,-0.32958984375,64.82666015625,-1000,0.0
