Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,repeat_rotate_arms_legs_opp_16s,Controller name:,acrobot_act,Duration:,16000,Created at,03/12/2024 23:25:25,,
Start positions,ArmL ArmR legL legR,540.0,540.0,30.0,30.0,0.0,0.0,0.0,0.0
sC,m_arm_l,0,8000,540.0,2000,0.0,-180.0,-2000,0.0
sC,m_arm_r,0,8000,540.0,2000,0.0,-180.0,-2000,0.0
sC,m_leg_l,0,8000,30.0,2000,0.0,330.0,-3000,0.0
sC,m_leg_r,0,8000,30.0,2000,0.0,330.0,-3000,0.0
sC,m_arm_l,8000,8000,-180.0,2000,0.0,540.0,-2000,0.0
sC,m_arm_r,8000,8000,-180.0,2000,0.0,540.0,-2000,0.0
sC,m_leg_l,8000,8000,330.0,3000,0.0,30.0,-2000,0.0
sC,m_leg_r,8000,8000,330.0,3000,0.0,30.0,-2000,0.0
