Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,shoulderbird-knee-tweakers,Controller name:,acrobot_act,Duration:,27967,Created at,03/12/2024 23:25:26,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,67,1333,185.01708984375,333,0.0,185.09033203125,-333,0.0
sC,m_arm_r,67,1333,180.0,333,0.0,97.03125,-333,0.0
sC,m_arm_l,67,1333,180.0,333,0.0,93.603515625,-333,0.0
sC,m_leg_l,67,1333,185.01708984375,333,0.0,185.09033203125,-333,0.0
sC,m_leg_r,1400,967,185.09033203125,241,0.0,216.73095703125,-241,-1.611328125
sC,m_arm_l,1400,2933,93.603515625,733,0.0,105.732421875,-733,0.0
sC,m_arm_r,1400,2933,97.03125,733,0.0,107.138671875,-733,0.0
sC,m_leg_l,1400,967,185.09033203125,241,0.0,192.2314453125,-241,0.0
sC,m_leg_r,2367,1300,216.73095703125,325,2.16064453125,100.01953125,-325,0.0
sC,m_leg_l,2367,1300,192.2314453125,325,0.0,277.998046875,-325,0.0
sC,m_leg_l,3667,1433,277.998046875,358,0.0,180.0,-358,0.0
sC,m_leg_r,3667,1433,100.01953125,358,0.0,180.0,-358,0.0
sC,m_arm_l,4333,567,105.732421875,141,0.0,105.732421875,-141,0.0
sC,m_arm_r,4333,334,107.138671875,83,0.0,107.138671875,-83,0.0
sC,m_arm_r,4667,900,107.138671875,225,0.0,0.0,-225,0.0
sC,m_arm_l,4900,1367,105.732421875,341,0.0,0.0,-341,0.0
sC,m_leg_l,5100,1167,180.0,291,0.0,180.0,-291,0.0
sC,m_leg_r,5100,1167,180.0,291,0.0,180.0,-291,0.0
sC,m_arm_r,5567,700,0.0,175,0.0,0.0,-175,0.0
sC,m_arm_l,6267,733,0.0,183,0.0,0.0,-183,0.0
sC,m_leg_r,6267,733,180.0,183,0.0,180.0,-183,0.0
sC,m_leg_l,6267,733,180.0,183,0.0,180.0,-183,0.0
sC,m_arm_r,6267,733,0.0,183,0.0,0.0,-183,0.0
sC,m_leg_l,7000,400,180.0,100,0.0,186.005859375,-100,0.0
sC,m_arm_l,7000,400,0.0,100,0.0,-7.20703125,-100,0.0
sC,m_leg_r,7000,400,180.0,100,0.0,173.994140625,-100,0.0
sC,m_arm_r,7000,400,0.0,100,0.0,7.20703125,-100,0.0
sC,m_arm_l,7400,500,-7.20703125,125,0.0,7.20703125,-125,0.0
sC,m_leg_l,7400,500,186.005859375,125,0.0,173.994140625,-125,0.0
sC,m_leg_r,7400,500,173.994140625,125,0.0,186.005859375,-125,0.0
sC,m_arm_r,7400,500,7.20703125,125,0.0,-7.20703125,-125,0.0
sC,m_leg_r,7900,467,186.005859375,116,0.0,173.994140625,-116,0.0
sC,m_arm_l,7900,467,7.20703125,116,0.0,-7.20703125,-116,0.0
sC,m_leg_l,7900,467,173.994140625,116,0.0,186.005859375,-116,0.0
sC,m_arm_r,7900,467,-7.20703125,116,0.0,7.20703125,-116,0.0
sC,m_leg_r,8367,500,173.994140625,125,0.0,186.005859375,-125,0.0
sC,m_leg_l,8367,500,186.005859375,125,0.0,173.994140625,-125,0.0
sC,m_arm_l,8367,500,-7.20703125,125,0.0,7.20703125,-125,0.0
sC,m_arm_r,8367,500,7.20703125,125,0.0,-7.20703125,-125,0.0
sC,m_leg_l,8867,500,173.994140625,125,0.0,180.0,-125,0.0
sC,m_arm_l,8867,500,7.20703125,125,0.0,0.0,-125,0.0
sC,m_arm_r,8867,500,-7.20703125,125,0.0,0.0,-125,0.0
sC,m_leg_r,8867,500,186.005859375,125,0.0,180.0,-125,0.0
sC,m_leg_r,9367,1533,180.0,383,0.0,136.0546875,-383,0.0
sC,m_arm_r,9367,1533,0.0,383,0.0,70.400390625,-383,0.0
sC,m_leg_l,9367,1533,180.0,383,0.0,136.0546875,-383,0.0
sC,m_arm_l,9367,1533,0.0,383,0.0,70.400390625,-383,0.0
sC,m_arm_r,10900,1333,70.400390625,333,0.0,64.248046875,-333,0.0
sC,m_leg_l,10900,1333,136.0546875,333,0.0,107.05078125,-311,9.70458984375
sC,m_arm_l,10900,1333,70.400390625,333,0.0,64.248046875,-333,0.0
sC,m_leg_r,10900,1333,136.0546875,333,0.0,107.05078125,-311,9.70458984375
sC,m_arm_r,12233,767,64.248046875,194,0.0,-9.755859375,-290,6.064453125
sC,m_leg_l,12233,967,107.05078125,244,-7.58056640625,86.79931640625,-366,-16.3330078125
sC,m_leg_r,12233,967,107.05078125,244,-7.58056640625,86.79931640625,-366,-16.3330078125
sC,m_arm_l,12233,767,64.248046875,194,0.0,-9.755859375,-290,6.064453125
sC,m_arm_l,13000,733,-9.755859375,271,-5.625,-9.755859375,-181,3.779296875
sC,m_arm_r,13000,733,-9.755859375,271,-5.625,-9.755859375,-181,3.779296875
sC,m_leg_l,13200,1200,86.79931640625,444,19.81201171875,180.0,-300,0.0
sC,m_leg_r,13200,1200,86.79931640625,444,19.81201171875,180.0,-300,0.0
sC,m_arm_r,13733,1034,-9.755859375,425,-8.876953125,28.828125,-425,0.0
sC,m_arm_l,13733,1034,-9.755859375,425,-8.876953125,28.828125,-425,0.0
sC,m_leg_l,14400,1267,180.0,316,0.0,180.0,-316,0.0
sC,m_leg_r,14400,1267,180.0,316,0.0,180.0,-316,0.0
sC,m_arm_r,14767,900,28.828125,198,0.0,14.150390625,-375,8.4375
sC,m_arm_l,14767,900,28.828125,198,0.0,14.150390625,-375,8.4375
sC,m_arm_l,15667,4400,14.150390625,808,-18.28125,14.150390625,-375,8.4375
sC,m_arm_r,15667,4400,14.150390625,808,-18.28125,14.150390625,-375,8.4375
sC,m_leg_l,15667,1466,180.0,433,0.0,149.71435546875,-538,0.0
sC,m_leg_r,15667,1466,180.0,433,0.0,210.28564453125,-538,0.0
