Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,steetNew_reveal,Controller name:,acrobot_act,Duration:,34000,Created at,02/06/2026 00:13:31,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,34000,185.01708984375,8500,0.0,185.01708984375,-8500,0.0
sC,m_leg_r,0,34000,185.01708984375,8500,0.0,185.01708984375,-8500,0.0
sC,m_arm_r,0,6000,180.0,1500,0.0,180.0,-1500,0.0
sC,m_arm_l,0,6000,180.0,1500,0.0,180.0,-1500,0.0
sC,m_arm_l,6000,3067,180.0,766,0.0,4.04296875,-2567,0.87890625
sC,m_arm_r,6000,3067,180.0,766,0.0,4.04296875,-2567,0.87890625
sC,m_arm_l,9067,7633,4.04296875,987,-0.3515625,4.04296875,-2567,0.87890625
sC,m_arm_r,9067,7633,4.04296875,987,-0.3515625,4.04296875,-2567,0.87890625
sC,m_arm_r,16700,5500,4.04296875,588,-0.17578125,116.89453125,-2200,2.63671875
sC,m_arm_l,16700,6133,4.04296875,987,-0.3515625,180.0,-1533,0.0
sC,m_arm_r,22200,4800,116.89453125,1200,-1.40625,116.89453125,-1200,1.40625
sC,m_arm_l,22833,4167,180.0,1041,0.0,180.0,-1041,0.0
sC,m_arm_r,27000,7000,116.89453125,1750,-2.109375,180.0,-1750,0.0
sC,m_arm_l,27000,7000,180.0,1750,0.0,180.0,-1750,0.0
