Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,street_letsdance_p1,Controller name:,acrobot_act,Duration:,144533,Created at,15/05/2025 13:42:00,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,6633,185.01708984375,1657,0.0,185.01708984375,-1657,0.0
sC,m_leg_r,0,6633,185.01708984375,1657,0.0,185.01708984375,-1657,0.0
sC,m_arm_r,0,6567,180.0,1641,0.0,180.0,-1641,0.0
sC,m_arm_l,0,6567,180.0,1641,0.0,180.0,-1641,0.0
sC,m_arm_r,6567,1733,180.0,433,0.0,180.0,-433,0.0
sC,m_arm_l,6567,1733,180.0,433,0.0,7.20703125,-433,0.0
sC,m_leg_l,6633,867,185.01708984375,216,0.0,186.9580078125,-217,0.0
sC,m_leg_r,6633,867,185.01708984375,216,0.0,186.9580078125,-217,0.0
sC,m_leg_l,7500,1233,186.9580078125,308,0.0,186.2255859375,-308,0.0
sC,m_leg_r,7500,1233,186.9580078125,308,0.0,186.2255859375,-308,0.0
sC,m_arm_l,8300,433,7.20703125,108,0.0,7.20703125,-108,0.0
sC,m_arm_r,8300,433,180.0,108,0.0,180.0,-108,0.0
sC,m_leg_r,8733,1034,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_leg_l,8733,1034,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_arm_r,8733,1700,180.0,425,0.0,7.20703125,-425,0.0
sC,m_arm_l,8733,1700,7.20703125,425,0.0,7.20703125,-425,0.0
sC,m_leg_r,9767,5166,185.01708984375,1291,0.0,185.01708984375,-1291,0.0
sC,m_leg_l,9767,5166,185.01708984375,1291,0.0,185.01708984375,-1291,0.0
sC,m_arm_l,10433,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_r,10433,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_r,10733,467,7.20703125,117,0.0,29.53125,-117,0.0
sC,m_arm_l,10733,467,7.20703125,117,0.0,-15.1171875,-117,0.0
sC,m_arm_l,11200,1133,-15.1171875,283,0.0,-15.1171875,-283,0.0
sC,m_arm_r,11200,2167,29.53125,542,0.0,29.53125,-542,0.0
sC,m_arm_l,12333,834,-15.1171875,208,0.0,121.025390625,-208,0.0
sC,m_arm_l,13167,3933,121.025390625,982,0.0,117.0703125,-982,0.3515625
sC,m_arm_r,13367,866,29.53125,217,0.0,121.025390625,-217,0.0
sC,m_arm_r,14233,2867,121.025390625,716,0.0,117.0703125,-716,0.263671875
sC,m_leg_l,14933,567,185.01708984375,142,0.0,193.916015625,-133,0.0
sC,m_leg_r,14933,567,185.01708984375,142,0.0,174.6533203125,-133,0.0
sC,m_leg_l,15500,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,15500,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_r,16033,534,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_l,16033,534,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,16567,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,16567,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,17100,533,174.6533203125,133,0.0,193.916015625,-149,0.0
sC,m_leg_r,17100,533,193.916015625,133,0.0,174.6533203125,-149,0.0
sC,m_arm_l,17100,533,117.0703125,133,0.0,116.982421875,-133,0.0
sC,m_arm_r,17100,533,117.0703125,133,-0.087890625,116.982421875,-133,0.0
