Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,street_mic_scene,Controller name:,acrobot_act,Duration:,182900,Created at,26/03/2025 10:40:32,,
Start positions,ArmL ArmR legL legR,94.39453125,180.0,189.26513671875,189.26513671875,0.0,0.0,0.0,0.0
sC,m_leg_l,0,47100,189.26513671875,11440,0.0,189.26513671875,-16357,0.0
sC,m_leg_r,0,47100,189.26513671875,11774,0.0,189.26513671875,-11775,0.0
sC,m_arm_r,0,48967,180.0,12240,0.0,180.0,-12241,0.0
sC,m_arm_l,0,2300,94.39453125,573,0.0,94.39453125,-972,0.0
sC,m_arm_l,2300,900,94.39453125,220,0.0,64.6875,-141,0.0
sC,m_arm_l,3200,1567,64.6875,389,0.0,64.6875,-298,0.0
sC,m_arm_l,4767,433,64.6875,108,0.0,60.1171875,-127,0.0
sC,m_arm_l,5200,10233,60.1171875,2558,0.0,60.1171875,-2557,0.0
sC,m_arm_l,15433,1767,60.1171875,441,0.0,78.3984375,0,0.0
sC,m_arm_l,17200,1600,78.3984375,400,0.0,78.3984375,-400,0.0
sC,m_arm_l,18800,433,78.3984375,108,0.0,60.1171875,-108,0.0
sC,m_arm_l,19233,9167,60.1171875,2291,0.0,60.1171875,-2287,-0.52734375
sC,m_arm_l,28400,9800,60.1171875,4333,1.23046875,129.375,0,0.0
sC,m_arm_l,38200,33,129.375,425,0.0,129.375,-8,0.0
sC,m_arm_l,38233,1434,129.375,358,0.0,60.1171875,-358,-0.17578125
sC,m_arm_l,39667,5700,60.1171875,1425,0.3515625,60.1171875,-1425,0.0
sC,m_arm_l,45367,7000,60.1171875,1749,0.0,289.51171875,-1749,0.0
sC,m_leg_r,47100,1867,189.26513671875,466,0.0,185.01708984375,-466,0.0
sC,m_leg_l,47100,1867,189.26513671875,713,0.0,185.01708984375,-466,0.0
sC,m_leg_l,48967,18433,185.01708984375,4608,0.0,185.01708984375,-4924,0.0
sC,m_arm_r,48967,3400,180.0,849,0.0,81.73828125,-849,0.0
sC,m_leg_r,48967,18433,185.01708984375,4608,0.0,185.01708984375,-4608,0.0
sC,m_arm_r,52367,266,81.73828125,66,0.0,81.73828125,-66,0.0
sC,m_arm_l,52367,266,289.51171875,66,0.0,289.51171875,-66,0.0
sC,m_arm_r,52633,6834,81.73828125,1708,0.0,313.59375,-1708,0.0
sC,m_arm_l,52633,6834,289.51171875,1708,0.0,55.72265625,-1708,0.0
sC,m_arm_l,59467,633,55.72265625,158,0.0,55.72265625,-158,0.0
sC,m_arm_r,59467,633,313.59375,158,0.0,313.59375,-158,0.0
sC,m_arm_l,60100,5533,55.72265625,1383,0.0,2.8125,-1381,0.0
sC,m_arm_r,60100,5533,313.59375,1383,0.0,362.8125,-1375,0.0
sC,m_arm_r,65633,1767,362.8125,441,0.0,362.8125,-441,0.0
sC,m_arm_l,65633,1734,2.8125,433,0.0,2.8125,0,0.0
sC,m_arm_l,67367,33,2.8125,533,-0.703125,362.8125,-367,0.17578125
sC,m_arm_r,67400,2900,362.8125,725,0.0,451.23046875,-725,0.0
sC,m_arm_l,67400,2900,362.8125,0,0.0,451.23046875,-722,0.0
sC,m_leg_r,67400,2900,185.01708984375,725,0.0,175.0927734375,-725,0.0
sC,m_leg_l,67400,2900,185.01708984375,725,0.0,173.26171875,-725,0.0
sC,m_leg_l,70300,333,173.26171875,83,0.0,173.26171875,-83,0.0
sC,m_arm_l,70300,333,451.23046875,80,0.0,451.23046875,-83,0.0
sC,m_leg_r,70300,333,175.0927734375,83,0.0,175.0927734375,-83,0.0
sC,m_arm_r,70300,333,451.23046875,83,0.0,451.23046875,-83,0.0
sC,m_leg_r,70633,3700,175.0927734375,925,0.0,87.01904296875,-925,0.0
sC,m_arm_l,70633,4434,451.23046875,1107,0.0,275.9765625,-1107,0.0
sC,m_arm_r,70633,4434,451.23046875,1108,0.0,275.9765625,-1108,0.0
sC,m_leg_l,70633,3700,173.26171875,924,0.0,87.01904296875,-924,0.0
sC,m_leg_r,74333,6267,87.01904296875,1566,0.0,87.01904296875,-1566,0.0
sC,m_leg_l,74333,6267,87.01904296875,1566,0.0,87.01904296875,-1566,0.0
sC,m_arm_r,75067,5533,275.9765625,1383,0.0,275.9765625,-1383,0.0
sC,m_arm_l,75067,5533,275.9765625,1383,0.0,275.9765625,-1383,0.0
sC,m_leg_r,80600,2000,87.01904296875,500,0.0,87.01904296875,-500,0.0
sC,m_arm_r,80600,5800,275.9765625,1449,0.0,540.0,-1450,0.0
sC,m_leg_l,80600,2000,87.01904296875,500,0.0,87.01904296875,-500,0.0
sC,m_arm_l,80600,5800,275.9765625,1449,0.0,540.0,-1449,0.0
sC,m_leg_l,82600,3800,87.01904296875,949,0.0,183.2958984375,-949,0.0
sC,m_leg_r,82600,3800,87.01904296875,950,0.0,183.2958984375,-950,0.0
sC,m_leg_l,86400,2467,183.2958984375,605,0.0,257.783203125,-908,-32.666015625
sC,m_arm_r,86400,4333,540.0,1083,0.0,631.93359375,-1050,0.0
sC,m_leg_r,86400,4333,183.2958984375,1083,0.0,67.5,-1083,0.0
sC,m_arm_l,86400,4333,540.0,1083,0.0,471.26953125,-1083,0.0
sC,m_leg_l,88867,1866,257.783203125,717,25.78125,301.83837890625,-463,0.0
sC,m_leg_r,90733,5600,67.5,1400,0.0,301.83837890625,-1400,0.0
sC,m_leg_l,90733,5600,301.83837890625,1400,0.0,67.5,-1400,0.0
sC,m_arm_l,90733,5600,471.26953125,1400,0.0,619.1015625,-1400,0.0
sC,m_arm_r,90733,5600,631.93359375,1400,0.0,453.1640625,-1400,0.0
sC,m_leg_l,96333,1200,67.5,300,0.0,67.5,-300,0.0
sC,m_arm_l,96333,1200,619.1015625,300,0.0,619.1015625,-300,0.0
sC,m_leg_r,96333,1200,301.83837890625,300,0.0,301.83837890625,-300,0.0
sC,m_arm_r,96333,1200,453.1640625,300,0.0,453.1640625,-300,0.0
sC,m_arm_r,97533,2967,453.1640625,741,0.0,453.1640625,-741,0.0
sC,m_leg_r,97533,5567,301.83837890625,1391,0.0,147.07763671875,-1151,-41.748046875
sC,m_arm_l,97533,2967,619.1015625,741,0.0,619.1015625,-741,0.0
sC,m_leg_l,97533,2967,67.5,741,0.0,67.5,-741,0.0
sC,m_leg_l,100500,4067,67.5,1015,0.0,182.81982421875,-1015,0.0
sC,m_arm_l,100500,4067,619.1015625,1015,0.0,714.90234375,-1015,0.0
sC,m_arm_r,100500,2400,453.1640625,589,0.0,516.09375,-877,-29.53125
sC,m_arm_r,102900,1667,516.09375,635,21.4453125,544.39453125,-426,0.0
sC,m_leg_r,103100,1467,147.07763671875,467,16.9189453125,182.81982421875,-366,0.0
sC,m_arm_l,104567,4000,714.90234375,988,0.0,534.55078125,-1085,19.86328125
sC,m_leg_r,104567,3266,182.81982421875,816,0.0,30.0,-816,0.0
sC,m_leg_l,104567,3266,182.81982421875,816,0.0,30.0,-816,0.0
sC,m_arm_r,104567,2433,544.39453125,589,0.0,617.51953125,-827,-11.953125
