Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,streetshow_mic_p2,Controller name:,acrobot_act,Duration:,21233,Created at,22/07/2026 18:53:52,,
Start positions,ArmL ArmR legL legR,-49.5703125,180.0,181.50146484375,181.50146484375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,1600,-49.5703125,400,0.0,-49.5703125,-400,0.0
sC,m_leg_l,0,1600,181.50146484375,400,0.0,181.50146484375,-400,0.0
sC,m_arm_r,0,1600,180.0,400,0.0,180.0,-400,0.0
sC,m_leg_r,0,1600,181.50146484375,400,0.0,181.50146484375,-400,0.0
sC,m_arm_r,1600,2333,180.0,583,0.0,180.0,-583,0.0
sC,m_leg_r,1600,2333,181.50146484375,583,0.0,190.51025390625,-583,0.0
sC,m_arm_l,1600,2333,-49.5703125,583,0.0,61.34765625,-583,0.0
sC,m_leg_l,1600,2333,181.50146484375,583,0.0,190.51025390625,-583,0.0
sC,m_leg_r,3933,12067,190.51025390625,3016,0.0,190.51025390625,-3016,0.0
sC,m_leg_l,3933,12067,190.51025390625,3016,0.0,190.51025390625,-3016,0.0
sC,m_arm_r,3933,11034,180.0,2757,0.0,180.0,-2758,0.0
sC,m_arm_l,3933,12067,61.34765625,3016,0.0,61.34765625,-3016,0.0
sC,m_arm_r,14967,233,180.0,58,0.0,173.671875,-58,0.0
sC,m_arm_r,15200,233,173.671875,58,0.0,180.0,-58,0.0
sC,m_arm_r,15433,567,180.0,141,0.0,180.0,-141,0.0
sC,m_leg_l,16000,5233,190.51025390625,1308,0.0,190.51025390625,-1308,0.0
sC,m_arm_l,16000,2033,61.34765625,508,0.0,95.44921875,-508,0.0
sC,m_leg_r,16000,5233,190.51025390625,1308,0.0,190.51025390625,-1308,0.0
sC,m_arm_r,16000,5233,180.0,1308,0.0,180.0,-1308,0.0
sC,m_arm_l,18033,934,95.44921875,233,0.0,95.44921875,-233,0.0
sC,m_arm_l,18967,2266,95.44921875,566,0.0,61.34765625,-566,0.0
