Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,streetshow_reveal,Controller name:,acrobot_act,Duration:,33000,Created at,22/07/2026 18:53:52,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,5000,180.0,1250,0.0,180.0,-1250,0.0
sC,m_leg_r,0,15700,185.01708984375,3925,0.0,185.01708984375,-3925,0.0
sC,m_leg_l,0,15700,185.01708984375,3925,0.0,185.01708984375,-3925,0.0
sC,m_arm_r,0,5000,180.0,1250,0.0,180.0,-1250,0.0
sC,m_arm_l,5000,3067,180.0,766,0.0,4.04296875,-2567,0.87890625
sC,m_arm_r,5000,3067,180.0,766,0.0,4.04296875,-2567,0.87890625
sC,m_arm_r,8067,7633,4.04296875,987,-0.3515625,4.04296875,-2567,0.87890625
sC,m_arm_l,8067,7633,4.04296875,987,-0.3515625,4.04296875,-2567,0.87890625
sC,m_arm_l,15700,6133,4.04296875,987,-0.3515625,180.0,-1533,0.0
sC,m_leg_r,15700,17300,185.01708984375,4325,0.0,185.01708984375,-4325,0.0
sC,m_leg_l,15700,17300,185.01708984375,4325,0.0,185.01708984375,-4325,0.0
sC,m_arm_r,15700,5500,4.04296875,588,-0.17578125,116.89453125,-2200,2.63671875
sC,m_arm_r,21200,4800,116.89453125,1200,-1.40625,116.89453125,-1200,1.40625
sC,m_arm_l,21833,4167,180.0,1041,0.0,180.0,-1041,0.0
sC,m_arm_l,26000,7000,180.0,1750,0.0,180.0,-1750,0.0
sC,m_arm_r,26000,7000,116.89453125,1750,-2.109375,180.0,-1750,0.0
