Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,studio-demo,Controller name:,acrobot_act,Duration:,72633,Created at,28/01/2026 14:30:54,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_arm_r,0,200,180.0,50,0.0,180.0,-50,0.0
sC,m_leg_r,0,267,185.01708984375,66,0.0,185.01708984375,-66,0.0
sC,m_leg_l,0,267,185.01708984375,66,0.0,185.01708984375,-66,0.0
sC,m_arm_l,0,200,180.0,50,0.0,180.0,-50,0.0
sC,m_arm_l,200,1200,180.0,300,0.0,7.20703125,-300,0.0
sC,m_arm_r,200,1200,180.0,300,0.0,180.0,-300,0.0
sC,m_leg_l,267,866,185.01708984375,216,0.0,186.9580078125,-216,0.0
sC,m_leg_r,267,866,185.01708984375,216,0.0,186.9580078125,-216,0.0
sC,m_leg_r,1133,700,186.9580078125,175,0.0,186.2255859375,-175,0.0
sC,m_leg_l,1133,700,186.9580078125,175,0.0,186.2255859375,-175,0.0
sC,m_arm_r,1400,433,180.0,108,0.0,180.0,-108,0.0
sC,m_arm_l,1400,433,7.20703125,108,0.0,7.20703125,-108,0.0
sC,m_leg_r,1833,1034,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_leg_l,1833,1034,186.2255859375,258,0.0,185.01708984375,-258,0.0
sC,m_arm_r,1833,1700,180.0,425,0.0,7.20703125,-425,0.0
sC,m_arm_l,1833,1700,7.20703125,425,0.0,7.20703125,-425,0.0
sC,m_leg_l,2867,5166,185.01708984375,1291,0.0,185.01708984375,-1291,0.0
sC,m_leg_r,2867,5166,185.01708984375,1291,0.0,185.01708984375,-1291,0.0
sC,m_arm_l,3533,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_r,3533,300,7.20703125,75,0.0,7.20703125,-75,0.0
sC,m_arm_l,3833,467,7.20703125,116,0.0,-15.1171875,-116,0.0
sC,m_arm_r,3833,467,7.20703125,116,0.0,29.53125,-116,0.0
sC,m_arm_l,4300,1133,-15.1171875,283,0.0,-15.1171875,-283,0.0
sC,m_arm_r,4300,2167,29.53125,541,0.0,29.53125,-541,0.0
sC,m_arm_l,5433,834,-15.1171875,208,0.0,121.025390625,-208,0.0
sC,m_arm_l,6267,3933,121.025390625,983,0.0,117.0703125,-983,0.3515625
sC,m_arm_r,6467,866,29.53125,216,0.0,121.025390625,-216,0.0
sC,m_arm_r,7333,2867,121.025390625,716,0.0,117.0703125,-716,0.3515625
sC,m_leg_r,8033,567,185.01708984375,141,0.0,174.6533203125,-141,0.0
sC,m_leg_l,8033,567,185.01708984375,141,0.0,193.916015625,-141,0.0
sC,m_leg_r,8600,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,8600,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,9133,534,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_l,9133,534,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_l,9667,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_r,9667,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_leg_r,10200,533,193.916015625,133,0.0,174.6533203125,-133,0.0
sC,m_leg_l,10200,533,174.6533203125,133,0.0,193.916015625,-133,0.0
sC,m_arm_r,10200,533,117.0703125,133,-0.087890625,116.982421875,-133,0.0
sC,m_arm_l,10200,533,117.0703125,133,0.0,116.982421875,-133,0.0
sC,m_arm_l,10733,267,116.982421875,66,0.0,116.982421875,-66,0.0
sC,m_arm_r,10733,467,116.982421875,116,0.0,116.982421875,-116,0.0
sC,m_leg_r,10733,600,174.6533203125,150,0.0,193.916015625,-150,0.0
sC,m_leg_l,10733,600,193.916015625,150,0.0,174.6533203125,-150,0.0
sC,m_arm_l,11000,1067,116.982421875,266,0.0,0.0,-266,0.0
sC,m_arm_r,11200,667,116.982421875,166,0.0,143.4375,-166,-3.515625
sC,m_leg_l,11333,600,174.6533203125,150,0.0,202.30224609375,-150,0.0
sC,m_leg_r,11333,600,193.916015625,150,0.0,180.0,-150,0.0
sC,m_arm_r,11867,600,143.4375,150,3.1640625,143.4375,-150,-2.28515625
sC,m_leg_l,11933,1034,202.30224609375,258,0.0,180.0,-258,0.0
sC,m_leg_r,11933,1034,180.0,258,0.0,180.0,-258,0.0
sC,m_arm_l,12067,1400,0.0,350,0.0,0.0,-350,0.0
sC,m_arm_r,12467,400,143.4375,100,1.494140625,181.142578125,-100,1.93359375
sC,m_arm_r,12867,600,181.142578125,150,-2.98828125,163.125,-150,5.625
sC,m_leg_r,12967,500,180.0,125,0.0,200.03173828125,-125,0.0
sC,m_leg_l,12967,500,180.0,125,0.0,200.03173828125,-125,0.0
sC,m_arm_r,13467,1100,163.125,275,-10.283203125,111.97265625,-275,0.0
sC,m_arm_l,13467,1100,0.0,275,0.0,-57.48046875,-275,0.0
sC,m_leg_l,13467,1100,200.03173828125,134,0.0,244.19677734375,-275,0.0
sC,m_leg_r,13467,1100,200.03173828125,134,0.0,243.24462890625,-275,0.0
sC,m_arm_r,14567,200,111.97265625,50,0.0,111.97265625,-50,0.0
sC,m_arm_l,14567,200,-57.48046875,50,0.0,-57.48046875,-50,0.0
sC,m_leg_r,14567,200,243.24462890625,50,0.0,243.24462890625,-50,0.0
sC,m_leg_l,14567,200,244.19677734375,50,0.0,244.19677734375,-50,0.0
sC,m_leg_r,14767,1333,243.24462890625,333,0.0,243.24462890625,-333,0.0
sC,m_arm_l,14767,266,-57.48046875,66,0.0,-57.48046875,-66,0.0
sC,m_leg_l,14767,1333,244.19677734375,333,0.0,244.19677734375,-333,0.0
sC,m_arm_r,14767,1333,111.97265625,333,0.0,111.97265625,-333,0.0
