Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,tango-downward-dog-sequence,Controller name:,acrobot_act,Duration:,32000,Created at,03/12/2024 23:25:26,,
Start positions,ArmL ArmR legL legR,0.0,0.0,89.9853515625,270.0146484375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,2033,270.0146484375,491,0.0,270.0146484375,-806,0.0
sC,m_arm_r,0,2000,0.0,793,0.0,0.0,-440,0.0
sC,m_leg_l,0,2033,89.9853515625,491,0.0,89.9853515625,-806,0.0
sC,m_arm_l,0,2000,0.0,805,0.0,79.189453125,-500,0.0
sC,m_arm_l,2000,5967,79.189453125,1491,0.0,79.189453125,-1491,0.0
sC,m_arm_r,2000,1967,0.0,481,0.0,79.189453125,-491,0.0
sC,m_leg_r,2033,4534,270.0146484375,1887,0.0,270.0146484375,-379,0.0
sC,m_leg_l,2033,4534,89.9853515625,1887,0.0,89.9853515625,-379,0.0
sC,m_arm_r,3967,4000,79.189453125,1000,0.0,79.189453125,-1000,0.0
sC,m_leg_l,6567,1400,89.9853515625,349,0.0,117.01171875,-350,0.0
sC,m_leg_r,6567,1400,270.0146484375,349,0.0,287.99560546875,-350,0.0
sC,m_arm_l,7967,3066,79.189453125,766,0.0,79.189453125,-2241,0.0
sC,m_arm_r,7967,3066,79.189453125,766,0.0,79.189453125,-2241,0.0
sC,m_leg_r,7967,3066,287.99560546875,766,0.0,287.99560546875,-747,-1.57470703125
sC,m_leg_l,7967,3066,117.01171875,766,0.0,117.01171875,-766,0.0
sC,m_leg_l,11033,8967,117.01171875,2241,0.0,117.01171875,-220,0.3662109375
sC,m_leg_r,11033,4967,287.99560546875,1786,3.77197265625,117.01171875,-2065,-4.35791015625
sC,m_arm_l,11033,8967,79.189453125,2241,0.0,79.189453125,-999,0.0
sC,m_arm_r,11033,8967,79.189453125,2241,0.0,79.189453125,-999,0.0
sC,m_leg_r,16000,4000,117.01171875,999,2.08740234375,117.01171875,-220,0.3662109375
sC,m_arm_r,20000,4000,79.189453125,999,0.0,180.0,-1000,0.0
sC,m_arm_l,20000,4000,79.189453125,999,0.0,180.0,-1000,0.0
sC,m_leg_r,20000,4000,117.01171875,233,-0.3662109375,186.005859375,-1000,0.0
sC,m_leg_l,20000,4000,117.01171875,233,-0.3662109375,186.005859375,-1000,0.0
sC,m_leg_l,24000,4000,186.005859375,1000,0.0,186.005859375,-1000,0.0
sC,m_arm_r,24000,4000,180.0,1000,0.0,180.0,-999,0.0
sC,m_leg_r,24000,4000,186.005859375,1000,0.0,186.005859375,-1000,0.0
sC,m_arm_l,24000,4000,180.0,1000,0.0,180.0,-999,0.0
sC,m_arm_r,28000,4000,180.0,999,0.0,7.20703125,-1000,0.0
sC,m_arm_l,28000,4000,180.0,999,0.0,7.20703125,-1000,0.0
sC,m_leg_l,28000,4000,186.005859375,1000,0.0,186.005859375,-1000,0.0
sC,m_leg_r,28000,4000,186.005859375,1000,0.0,186.005859375,-1000,0.0
