Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,tango-sequence-dst-splits,Controller name:,acrobot_act,Duration:,6500,Created at,26/11/2024 14:37:31,,
Start positions,ArmL ArmR legL legR,0.0,0.0,89.9853515625,270.0146484375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,1067,270.0146484375,266,0.0,270.0146484375,-266,0.0
sC,m_arm_l,0,267,0.0,66,0.0,0.0,-66,0.0
sC,m_leg_l,0,1067,89.9853515625,266,0.0,89.9853515625,-266,0.0
sC,m_arm_r,0,267,0.0,66,0.0,0.0,-66,0.0
sC,m_arm_l,267,266,0.0,66,0.0,7.20703125,-51,0.0
sC,m_arm_r,267,266,0.0,66,0.0,-7.20703125,-66,0.0
sC,m_arm_l,533,267,7.20703125,66,0.0,0.0,-66,0.0
sC,m_arm_r,533,267,-7.20703125,66,0.0,0.0,-66,0.0
sC,m_arm_r,800,267,0.0,66,0.0,0.0,-66,0.0
sC,m_arm_l,800,267,0.0,66,0.0,0.0,-66,0.0
sC,m_leg_l,1067,366,89.9853515625,91,0.0,186.005859375,-91,0.0
sC,m_arm_r,1067,1366,0.0,338,0.0,0.0,-339,0.0
sC,m_leg_r,1067,366,270.0146484375,91,0.0,186.005859375,-91,0.0
sC,m_arm_l,1067,1366,0.0,338,0.0,0.0,-339,0.0
sC,m_leg_l,1433,1000,186.005859375,248,0.0,186.005859375,-248,0.0
sC,m_leg_r,1433,1000,186.005859375,248,0.0,186.005859375,-248,0.0
sC,m_arm_l,2433,4067,0.0,987,0.0,-28.828125,-1165,0.0
sC,m_leg_r,2433,4067,186.005859375,1016,0.0,239.3994140625,-1016,0.0
sC,m_leg_l,2433,4067,186.005859375,1016,0.0,200.98388671875,-1016,0.0
sC,m_arm_r,2433,2200,0.0,530,0.0,-158.37890625,-687,20.830078125
sC,m_arm_r,4633,1867,-158.37890625,691,-20.91796875,-136.7578125,-540,0.0
