Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,tango-sequence-dst-splits2,Controller name:,acrobot_act,Duration:,13500,Created at,26/11/2024 14:37:31,,
Start positions,ArmL ArmR legL legR,56.6015625,94.5703125,201.49658203125,186.55517578125,0.0,0.0,0.0,0.0
sC,m_arm_l,0,1967,56.6015625,491,0.0,56.6015625,-491,0.0
sC,m_arm_r,0,1967,94.5703125,491,0.0,94.5703125,-491,0.0
sC,m_leg_l,0,1967,201.49658203125,491,0.0,201.49658203125,-491,0.0
sC,m_leg_r,0,1967,186.55517578125,491,0.0,186.55517578125,-483,2.45361328125
sC,m_leg_r,1967,700,186.55517578125,233,-1.171875,144.00146484375,-400,3.33251953125
sC,m_arm_l,1967,6633,56.6015625,1591,0.0,47.197265625,-2129,0.0
sC,m_arm_r,1967,6633,94.5703125,1567,0.0,94.5703125,-2129,0.0
sC,m_leg_l,1967,6633,201.49658203125,1628,0.0,201.49658203125,-1657,0.0
sC,m_leg_r,2667,133,144.00146484375,22,-0.18310546875,144.00146484375,-32,-0.03662109375
sC,m_leg_r,2800,533,144.00146484375,255,0.439453125,171.796875,-290,-2.89306640625
sC,m_leg_r,3333,634,171.796875,167,1.64794921875,171.796875,-102,2.34375
sC,m_leg_r,3967,2766,171.796875,1000,-22.96142578125,34.1015625,-2700,2.08740234375
sC,m_leg_r,6733,1867,34.1015625,461,-0.3662109375,34.1015625,-714,0.0
sC,m_leg_l,8600,1400,201.49658203125,350,0.0,227.20458984375,-733,-1.64794921875
sC,m_arm_r,8600,1400,94.5703125,526,0.0,50.361328125,-397,0.0
sC,m_arm_l,8600,1400,47.197265625,526,0.0,47.197265625,-397,0.0
sC,m_arm_l,10000,2500,47.197265625,624,0.0,47.197265625,-625,0.0
sC,m_leg_l,10000,2500,227.20458984375,624,1.3916015625,227.20458984375,-625,0.0
sC,m_arm_r,10000,2500,50.361328125,624,0.0,180.0,-625,0.0
sC,m_leg_l,12500,1000,227.20458984375,250,0.0,197.54150390625,-250,0.0
sC,m_arm_l,12500,1000,47.197265625,250,0.0,14.94140625,-250,0.0
