Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,tango-sequence-dst-stoeltje,Controller name:,acrobot_act,Duration:,8567,Created at,01/11/2024 11:45:10,,
Start positions,ArmL ArmR legL legR,108.017578125,108.017578125,134.99267578125,134.99267578125,0.0,0.0,0.0,0.0
sC,m_arm_l,0,533,108.017578125,131,0.0,182.28515625,-133,-24.697265625
sC,m_leg_l,0,533,134.99267578125,131,0.0,248.51806640625,-133,-37.5
sC,m_arm_r,0,533,108.017578125,131,0.0,182.28515625,-133,-24.697265625
sC,m_leg_r,0,533,134.99267578125,131,0.0,248.51806640625,-133,-37.5
sC,m_leg_r,533,1034,248.51806640625,258,72.83935546875,89.9853515625,-257,0.0
sC,m_arm_l,533,1034,182.28515625,258,48.076171875,108.017578125,-257,0.0
sC,m_arm_r,533,1034,182.28515625,258,48.076171875,108.017578125,-257,0.0
sC,m_leg_l,533,1034,248.51806640625,258,72.83935546875,89.9853515625,-257,0.0
sC,m_arm_r,1567,1300,108.017578125,325,0.0,-21.62109375,-325,0.0
sC,m_arm_l,1567,1300,108.017578125,325,0.0,-21.62109375,-325,0.0
sC,m_leg_l,1567,866,89.9853515625,216,0.0,84.01611328125,-216,0.0
sC,m_leg_r,1567,866,89.9853515625,216,0.0,84.01611328125,-216,0.0
sC,m_leg_r,2433,1434,84.01611328125,358,0.0,180.0,-358,0.0
sC,m_leg_l,2433,1434,84.01611328125,358,0.0,180.0,-358,0.0
sC,m_arm_r,2867,1000,-21.62109375,250,0.0,0.0,-250,0.0
sC,m_arm_l,2867,1000,-21.62109375,250,0.0,0.0,-250,0.0
sC,m_arm_l,3867,1066,0.0,266,0.0,0.0,-266,0.0
sC,m_arm_r,3867,1066,0.0,266,0.0,0.0,-266,0.0
sC,m_leg_r,3867,1066,180.0,266,0.0,180.0,-266,0.0
sC,m_leg_l,3867,1066,180.0,266,0.0,180.0,-266,0.0
sC,m_leg_r,4933,1234,180.0,348,0.0,30.0,-307,0.0
sC,m_arm_l,4933,1034,0.0,257,0.0,-21.62109375,-258,0.0
sC,m_leg_l,4933,1234,180.0,348,0.0,30.0,-307,0.0
sC,m_arm_r,4933,1034,0.0,257,0.0,-21.62109375,-258,0.0
sC,m_arm_l,5967,1433,-21.62109375,358,0.0,180.0,-358,0.0
sC,m_arm_r,5967,1433,-21.62109375,358,0.0,180.0,-358,0.0
sC,m_leg_r,6167,400,30.0,100,0.0,30.0,-100,0.0
sC,m_leg_l,6167,400,30.0,100,0.0,30.0,-100,0.0
sC,m_leg_r,6567,833,30.0,208,0.0,89.9853515625,-208,0.0
sC,m_leg_l,6567,833,30.0,208,0.0,89.9853515625,-208,0.0
sC,m_leg_l,7400,1167,89.9853515625,291,0.0,186.005859375,-291,0.0
sC,m_leg_r,7400,1167,89.9853515625,291,0.0,186.005859375,-291,0.0
sC,m_arm_r,7400,1167,180.0,291,0.0,201.62109375,-291,0.0
sC,m_arm_l,7400,1167,180.0,291,0.0,201.62109375,-291,0.0
