Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,travel_walk_96bmp,Controller name:,acrobot_act,Duration:,1333,Created at,01/11/2024 11:45:07,,
Start positions,ArmL ArmR legL legR,197.314453125,159.609375,165.64453125,197.3583984375,0.0,0.0,0.0,0.0
sC,m_arm_l,0,667,197.314453125,167,0.0,159.609375,-167,0.0
sC,m_arm_r,0,667,159.609375,167,0.0,197.314453125,-167,0.0
sC,m_leg_l,0,667,165.64453125,167,0.0,197.3583984375,-167,0.0
sC,m_leg_r,0,667,197.3583984375,167,0.0,165.64453125,-167,0.0
sC,m_arm_l,667,666,159.609375,167,0.0,197.314453125,-167,0.0
sC,m_arm_r,667,666,197.314453125,167,0.0,159.609375,-167,0.0
sC,m_leg_l,667,666,197.3583984375,167,0.0,165.64453125,-167,0.0
sC,m_leg_r,667,666,165.64453125,167,0.0,197.3583984375,-167,0.0
