Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,trick-backflip4,Controller name:,acrobot_act,Duration:,13033,Created at,01/11/2024 11:45:10,,
Start positions,ArmL ArmR legL legR,180.0,180.0,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_r,0,5800,185.01708984375,1450,0.0,185.01708984375,-1450,0.0
sC,m_leg_l,0,5800,185.01708984375,1450,0.0,185.01708984375,-1450,0.0
sC,m_arm_r,0,3000,180.0,750,0.0,158.37890625,-750,0.0
sC,m_arm_l,0,3000,180.0,750,0.0,158.37890625,-750,0.0
sC,m_arm_r,3000,2000,158.37890625,500,0.0,158.37890625,-500,0.0
sC,m_arm_l,3000,2000,158.37890625,500,0.0,158.37890625,-500,0.0
sC,m_arm_r,5000,800,158.37890625,200,0.0,143.96484375,-200,0.0
sC,m_arm_l,5000,800,158.37890625,200,0.0,143.96484375,-200,0.0
sC,m_arm_r,5800,600,143.96484375,150,0.0,178.59375,-150,0.0
sC,m_arm_l,5800,600,143.96484375,150,0.0,180.0,-150,0.0
sC,m_leg_r,5800,600,185.01708984375,150,0.0,186.005859375,-150,0.0
sC,m_leg_l,5800,600,185.01708984375,150,0.0,186.005859375,-150,0.0
sC,m_leg_r,6400,333,186.005859375,83,0.0,198.017578125,-83,0.0
sC,m_arm_r,6400,333,178.59375,83,0.0,14.4140625,-83,0.0
sC,m_leg_l,6400,333,186.005859375,83,0.0,198.017578125,-83,0.0
sC,m_arm_l,6400,333,180.0,83,0.0,14.4140625,-83,0.0
sC,m_arm_r,6733,267,14.4140625,66,0.0,93.603515625,-66,0.0
sC,m_leg_l,6733,267,198.017578125,66,0.0,81.01318359375,-66,0.0
sC,m_leg_r,6733,267,198.017578125,66,0.0,81.01318359375,-66,0.0
sC,m_arm_l,6733,267,14.4140625,66,0.0,93.603515625,-66,0.0
sC,m_leg_l,7000,267,81.01318359375,66,0.0,81.01318359375,-66,0.0
sC,m_arm_l,7000,267,93.603515625,66,0.0,172.79296875,-66,0.0
sC,m_arm_r,7000,267,93.603515625,66,0.0,172.79296875,-66,0.0
sC,m_leg_r,7000,267,81.01318359375,66,0.0,81.01318359375,-66,0.0
sC,m_leg_r,7267,266,81.01318359375,66,0.0,170.9912109375,-66,0.0
sC,m_arm_r,7267,266,172.79296875,66,0.0,79.189453125,-66,0.0
sC,m_leg_l,7267,266,81.01318359375,66,0.0,170.9912109375,-66,0.0
sC,m_arm_l,7267,266,172.79296875,66,0.0,79.189453125,-66,0.0
sC,m_leg_r,7533,3200,170.9912109375,785,0.0,170.9912109375,-800,0.0
sC,m_leg_l,7533,3200,170.9912109375,785,0.0,170.9912109375,-800,0.0
sC,m_arm_r,7533,167,79.189453125,41,0.0,28.828125,-41,0.0
sC,m_arm_l,7533,167,79.189453125,41,0.0,28.828125,-41,0.0
sC,m_arm_r,7700,3033,28.828125,756,0.0,28.828125,-756,0.0
sC,m_arm_l,7700,3033,28.828125,756,0.0,28.828125,-756,0.0
sC,m_arm_l,10733,2300,28.828125,575,0.0,180.0,-575,0.0
sC,m_leg_l,10733,2300,170.9912109375,575,0.0,186.005859375,-575,0.0
sC,m_leg_r,10733,2300,170.9912109375,575,0.0,186.005859375,-575,0.0
sC,m_arm_r,10733,2300,28.828125,575,0.0,180.0,-575,0.0
