Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,trick-ropeskipping,Controller name:,acrobot_act,Duration:,7000,Created at,20/03/2025 17:56:25,,
Start positions,ArmL ArmR legL legR,-177.802734375,-177.802734375,185.01708984375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,7000,185.01708984375,1750,0.0,185.01708984375,-1750,0.0
sC,m_arm_r,0,1000,-177.802734375,250,0.0,-177.802734375,0,0.0
sC,m_leg_r,0,7000,185.01708984375,1750,0.0,185.01708984375,-1750,0.0
sC,m_arm_l,0,1000,-177.802734375,249,0.0,-177.802734375,0,0.0
sC,m_arm_l,1000,367,-177.802734375,167,146.953125,49.658203125,0,0.0
sC,m_arm_r,1000,367,-177.802734375,167,146.953125,49.658203125,0,0.0
sC,m_arm_r,1367,2633,49.658203125,533,26.89453125,180.0,-327,0.0
sC,m_arm_l,1367,2633,49.658203125,533,26.89453125,180.0,-327,0.0
sC,m_arm_r,4000,1000,180.0,249,0.0,410.361328125,-499,0.0
sC,m_arm_l,4000,1000,180.0,249,0.0,410.361328125,-499,0.0
sC,m_arm_l,5000,2000,410.361328125,499,0.0,540.0,-486,0.0
sC,m_arm_r,5000,2000,410.361328125,499,0.0,540.0,-486,0.0
