Command,Motor,Time start,Duration,Start pos,Start cp X,Start cp Y,End pos,End cp X,End cp Y
Animation Name:,trick-walkover2,Controller name:,acrobot_act,Duration:,18000,Created at,01/11/2024 11:45:10,,
Start positions,ArmL ArmR legL legR,0.0,0.0,186.005859375,185.01708984375,0.0,0.0,0.0,0.0
sC,m_leg_l,0,8000,186.005859375,0,0.0,186.005859375,-2000,0.0
sC,m_leg_r,0,3000,185.01708984375,0,0.0,73.2861328125,0,0.0
sC,m_arm_r,0,8000,0.0,0,0.0,-22.8515625,0,0.0
sC,m_arm_l,0,3000,0.0,0,0.0,95.009765625,0,0.0
sC,m_arm_l,3000,1133,95.009765625,0,0.0,95.009765625,0,0.0
sC,m_leg_r,3000,2000,73.2861328125,0,0.0,73.2861328125,0,0.0
sC,m_arm_l,4133,3000,95.009765625,0,0.0,19.51171875,0,0.0
sC,m_leg_r,5000,3000,73.2861328125,0,0.0,186.005859375,-750,0.0
sC,m_arm_l,7133,2867,19.51171875,0,0.0,19.51171875,0,0.0
sC,m_leg_r,8000,2000,186.005859375,500,0.0,186.005859375,-500,0.0
sC,m_leg_l,8000,2000,186.005859375,500,0.0,186.005859375,-500,0.0
sC,m_arm_r,8000,2000,-22.8515625,0,0.0,-22.8515625,0,0.0
sC,m_leg_l,10000,3000,186.005859375,750,0.0,300.00732421875,-750,0.0
sC,m_arm_l,10000,8000,19.51171875,0,0.0,0.0,0,0.0
sC,m_leg_r,10000,8000,186.005859375,2000,0.0,186.005859375,-2000,0.0
sC,m_arm_r,10000,3000,-22.8515625,0,0.0,-93.603515625,-750,0.0
sC,m_leg_l,13000,2000,300.00732421875,500,0.0,300.00732421875,-500,0.0
sC,m_arm_r,13000,2000,-93.603515625,500,0.0,-93.603515625,-500,0.0
sC,m_arm_r,15000,3000,-93.603515625,750,0.0,0.0,0,0.0
sC,m_leg_l,15000,3000,300.00732421875,750,0.0,186.005859375,-750,0.0
